Id,Unknown0,Unknown1_0,Unknown1_1,Unknown2_0,Unknown2_1,Unknown3
"1","17","0","0","134217728","0","0"
"6","139","0","0","2281701376","0","0"
"9","467","0","0","1073741824","0","0"
"10","483","0","0","0","0","-1"
"11","527","134217728","0","2147483648","0","0"
"12","528","0","0","134217728","0","0"
"13","585","134217728","0","0","0","0"
"16","589","0","0","134217728","0","0"
"17","596","134217728","0","2147483648","0","0"
"18","605","0","0","134217728","0","0"
"22","740","1073741824","4","0","0","0"
"23","768","0","0","0","0","2"
"26","774","1073741845","4","0","0","0"
"28","783","1073741826","0","0","0","3"
"30","921","0","0","536870912","0","0"
"31","952","0","0","0","0","-1"
"32","1066","1073741826","0","0","0","0"
"33","1079","0","0","1","0","0"
"36","1178","0","0","16","0","0"
"38","1706","335544320","0","134217728","0","0"
"41","1822","0","0","1","0","0"
"42","1825","0","0","1","0","0"
"43","1833","0","0","536870912","0","0"
"45","2006","134217728","0","0","0","0"
"46","2050","134217728","0","2147483648","0","0"
"47","2060","134217728","0","2147483648","0","0"
"48","2061","134217728","0","2147483648","0","0"
"49","2096","0","0","134217728","0","0"
"50","2369","335544320","0","0","0","0"
"51","2371","335544320","0","0","0","0"
"54","2575","2","0","0","0","0"
"55","2576","2","0","0","0","0"
"58","2912","0","0","1073741826","0","0"
"60","3025","0","0","1","0","0"
"61","3026","0","0","0","0","2"
"63","3564","2","0","0","0","0"
"64","5176","0","0","1073741824","0","0"
"70","5221","0","0","1","0","0"
"71","5225","0","0","1","0","0"
"74","5421","0","0","8","0","0"
"78","6247","2147483648","0","0","0","0"
"82","6770","0","0","536870912","0","0"
"85","6807","0","0","16","0","0"
"86","7092","0","0","8192","0","0"
"87","7266","0","0","0","0","-1"
"90","7620","2","0","0","0","0"
"91","7731","2","0","0","0","0"
"92","7732","2","0","0","0","0"
"95","8122","0","0","134217728","0","0"
"97","8676","0","0","536870912","0","0"
"98","8921","0","0","1073741842","4","0"
"102","9484","0","0","134217728","0","0"
"105","10248","2","0","0","0","0"
"106","10270","0","0","0","0","2"
"108","11327","0","0","536870912","0","1"
"116","13099","0","0","0","0","-1"
"117","13119","0","0","0","0","-1"
"118","13120","0","0","0","0","-1"
"119","13138","0","0","0","0","-1"
"120","13491","0","0","65536","0","0"
"121","13532","0","0","65536","0","0"
"131","14909","134217728","0","0","0","0"
"135","14914","134217728","0","0","0","0"
"143","15017","134217728","0","0","0","0"
"155","15407","0","0","134217728","0","0"
"156","15487","0","0","134217728","0","0"
"158","16053","0","0","134217728","0","0"
"159","16329","0","0","134217728","0","0"
"160","16511","0","0","0","0","-1"
"161","16566","0","0","0","0","-1"
"170","16949","0","0","1","0","0"
"172","16953","0","0","1","0","0"
"177","16979","0","0","16","0","0"
"182","18125","0","0","134217728","0","0"
"183","18141","0","0","134217728","0","0"
"184","18248","2","0","0","0","0"
"190","18562","1073741845","4","2","0","0"
"191","18669","0","0","0","0","-1"
"192","18960","0","0","1073741826","0","0"
"193","18976","0","0","0","0","2"
"194","19213","0","0","0","0","-1"
