Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5_0,Unknown5_1,Unknown5_2,Unknown5_3,Unknown6_0,Unknown6_1,Unknown6_2,Unknown6_3,Unknown6_4,Unknown6_5,Unknown6_6,Unknown6_7,Unknown7,Unknown8,Unknown9
"1","Cat Form","0.4","248","1534","1000","892","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"2","Tree of Life Form","0","2257","0","0","37165","0","0","0","0","0","0","0","0","0","0","0","0","7","0"
"3","Travel Form","0","216","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"4","Aquatic Form","0","216","0","0","2428","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"5","Bear Form","0.4","248","496","2500","2281","0","0","0","0","0","0","0","0","0","0","0","0","1","3"
"6","Ambient","0","0","0","0","328","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Ghoul","0","9689","0","0","25527","0","0","0","6603","47468","47481","47482","47480","0","47484","47496","0","6","0"
"8","Dire Bear Form","0.4","248","496","2500","2281","0","0","0","0","0","0","0","0","0","0","0","0","1","3"
"9","Crane Stance","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","1"
"10","Tharon'ja Skeleton","0","1034","0","0","9784","0","0","0","50799","49613","49609","49617","0","0","0","0","0","6","0"
"11","Darkmoon - Test of Strength","0","1226","0","0","0","0","0","0","62022","62023","62024","62025","0","0","0","0","0","-1","0"
"12","BLB Player","0","0","0","0","0","0","0","0","44029","44752","44083","44010","44012","44817","0","0","0","-1","0"
"13","Shadow Dance","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","2"
"14","Creature - Bear","0","0","0","0","2281","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"15","Creature - Cat","0","0","0","0","892","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"16","Ghost Wolf","0","216","0","0","55287","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"17","Battle Stance","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","1"
"18","Defensive Stance","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","2"
"19","Berserker Stance","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","0"
"20","Serpent Stance","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","3"
"21","Zombie","0","5150","0","0","26942","0","0","0","57596","51230","56560","43949","56528","0","0","0","0","6","0"
"22","Metamorphosis","0","2252","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0"
"23","Ox Stance","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","2"
"24","Tiger Stance","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","1"
"25","Undead","0","200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0"
"26","Frenzy","0","216","0","0","17170","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"27","Flight Form, Epic","0","32776","0","0","21243","0","0","0","0","0","0","0","0","0","0","0","246","1","0"
"28","Shadowform","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","0"
"29","Flight Form","0","32776","0","0","20857","0","0","0","0","0","0","0","0","0","0","0","245","1","0"
"30","Stealth","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"31","Moonkin Form","0","2241","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","4"
"32","Spirit of Redemption","0","82704","0","0","16031","0","0","0","0","0","0","0","0","0","0","0","0","-1","0"
"33","Gladiator Stance","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"34","Metamorphosis","0.4","472","10027","0","64560","0","0","0","0","0","0","0","0","0","0","0","0","3","0"
"36","Treant Form","0","2257","0","0","864","0","0","0","0","0","0","0","0","0","0","0","0","7","0"
"37","zzReuseMe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"35","Moonkin Form","0","2241","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","4"
"38","zzReuseMe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"39","zzReuseMe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40","zzReuseMe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"41","zzReuseMe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"42","zzReuseMe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"43","zzReuseMe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
