Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7
"1","4","0","0","32","0","0","0","0"
"4","14","0","0","128","0","0","0","0"
"6","27","0","0","32","0","0","0","0"
"8","101","0","0","0","64","0","0","0"
"9","118","0","0","0","8385","0","1","0"
"10","120","90","0","0","0","0","0","0"
"11","136","0","0","0","257","0","0","0"
"12","261","0","0","64","0","0","0","0"
"13","265","0","0","64","0","0","0","0"
"14","269","0","0","64","0","0","0","0"
"16","605","0","0","0","16603","0","0","0"
"17","710","0","0","0","16396","0","0","0"
"19","747","0","0","64","0","0","0","0"
"22","1098","0","0","0","4","0","0","0"
"23","1122","0","0","64","0","0","0","0"
"38","1364","0","0","256","0","0","0","0"
"39","1373","0","0","256","0","0","0","0"
"41","1446","0","0","256","0","0","0","0"
"42","1462","0","0","0","257","0","0","0"
"51","1515","0","0","0","257","0","0","0"
"52","1528","0","0","0","1","0","0","0"
"53","1538","0","0","16384","0","0","0","0"
"54","1543","0","0","64","0","0","0","0"
"56","1588","0","0","256","0","0","0","0"
"57","1650","0","0","256","0","0","0","0"
"58","1666","0","0","256","0","0","0","0"
"59","1669","0","0","256","0","0","0","0"
"60","1680","0","0","0","0","0","255","0"
"61","1725","0","0","64","0","0","0","0"
"62","1800","0","0","256","0","0","0","0"
"63","1809","0","0","256","0","0","0","0"
"64","1810","0","0","256","0","0","0","0"
"68","1843","0","0","16384","0","0","0","0"
"69","1940","0","0","64","0","0","0","0"
"70","1950","0","0","256","0","0","0","0"
"72","2000","0","0","256","0","0","0","0"
"75","2020","0","0","256","0","0","0","0"
"76","2021","0","0","256","0","0","0","0"
"77","2118","0","0","256","0","0","0","0"
"78","2119","0","0","256","0","0","0","0"
"90","2366","0","0","16384","0","0","0","0"
"91","2368","0","0","16384","0","0","0","0"
"92","2369","0","0","16384","0","0","0","0"
"93","2371","0","0","16384","0","0","0","0"
"96","2425","0","0","128","0","0","0","0"
"97","2442","0","0","256","0","0","0","0"
"98","2443","0","0","256","0","0","0","0"
"99","2444","0","0","256","0","0","0","0"
"100","2446","0","0","256","0","0","0","0"
"102","2575","0","0","16384","0","0","0","0"
"103","2576","0","0","16384","0","0","0","0"
"105","2633","0","0","256","0","0","0","0"
"106","2634","0","0","256","0","0","0","0"
"107","2636","0","0","256","0","0","0","0"
"109","2641","0","0","0","257","0","0","0"
"114","2828","0","0","16","0","0","0","0"
"115","2829","0","0","16","0","0","0","0"
"116","2830","0","0","16","0","0","0","0"
"117","2831","0","0","16","0","0","0","0"
"118","2832","0","0","16","0","0","0","0"
"119","2833","0","0","16","0","0","0","0"
"123","3106","0","0","32","0","0","0","0"
"124","3109","0","0","64","0","0","0","0"
"125","3112","0","0","16","0","0","0","0"
"126","3113","0","0","16","0","0","0","0"
"127","3114","0","0","16","0","0","0","0"
"130","3279","0","0","256","0","0","0","0"
"131","3280","0","0","256","0","0","0","0"
"132","3286","0","0","256","0","0","0","0"
"134","3365","0","0","16384","0","0","0","0"
"135","3366","0","0","16384","0","0","0","0"
"136","3407","0","0","16384","0","0","0","0"
"138","3442","0","0","0","64","0","0","0"
"140","3539","0","0","256","0","0","0","0"
