Id,Unknown0,Unknown1_0,Unknown1_1,Unknown2_0,Unknown2_1
"6","2661","0","0","162","0"
"7","2662","0","0","162","0"
"8","2663","0","0","162","0"
"9","2664","0","0","162","0"
"10","2666","0","0","162","0"
"11","2667","0","0","162","0"
"12","2668","0","0","162","0"
"13","2670","0","0","162","0"
"14","2671","0","0","162","0"
"15","2672","0","0","162","0"
"16","2673","0","0","162","0"
"17","2675","0","0","162","0"
"18","2737","0","0","162","0"
"19","2738","0","0","162","0"
"20","2739","0","0","162","0"
"21","2740","0","0","162","0"
"22","2741","0","0","162","0"
"23","2742","0","0","162","0"
"25","3292","0","0","162","0"
"26","3293","0","0","162","0"
"27","3294","0","0","162","0"
"28","3295","0","0","162","0"
"29","3296","0","0","162","0"
"30","3297","0","0","162","0"
"31","3319","0","0","162","0"
"32","3321","0","0","162","0"
"33","3323","0","0","162","0"
"34","3324","0","0","162","0"
"35","3325","0","0","162","0"
"36","3328","0","0","162","0"
"37","3330","0","0","162","0"
"38","3331","0","0","162","0"
"39","3333","0","0","162","0"
"40","3334","0","0","162","0"
"41","3336","0","0","162","0"
"42","3491","0","0","162","0"
"43","3492","0","0","162","0"
"44","3493","0","0","162","0"
"45","3494","0","0","162","0"
"46","3495","0","0","162","0"
"47","3496","0","0","162","0"
"48","3497","0","0","162","0"
"49","3498","0","0","162","0"
"50","3500","0","0","162","0"
"51","3501","0","0","162","0"
"52","3502","0","0","162","0"
"53","3503","0","0","162","0"
"54","3504","0","0","162","0"
"55","3505","0","0","162","0"
"56","3506","0","0","162","0"
"57","3507","0","0","162","0"
"58","3508","0","0","162","0"
"59","3511","0","0","162","0"
"60","3513","0","0","162","0"
"61","3515","0","0","162","0"
"65","3922","0","0","162","0"
"66","3923","0","0","162","0"
"67","3924","0","0","162","0"
"68","3925","0","0","162","0"
"70","3928","0","0","162","14"
"71","3932","0","0","162","14"
"72","3934","0","0","14","0"
"73","3936","0","0","162","14"
"74","3937","0","0","162","0"
"75","3938","0","0","162","0"
"76","3939","0","0","162","14"
"77","3941","0","0","162","0"
"78","3942","0","0","162","14"
"79","3944","0","0","162","14"
"80","3950","0","0","162","14"
"81","3954","0","0","162","14"
"82","3955","0","0","162","14"
"83","3956","0","0","14","0"
"84","3957","0","0","162","14"
"85","3958","0","0","162","0"
"86","3959","0","0","162","14"
"87","3960","0","0","162","14"
