Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12
"1","Spells\SeedOfCorruption_State.mdx","0","0","1","0.01","100","1","0","0","0","0","0","0"
"2","Spells\FireBolt_ImpactDD_Med_Chest.mdx","0","0","1","0.01","100","1","0","0","0","0","0","0"
"3","Spells\Heal\Heal.mdl","0","0","1","0.01","100","1","0","0","0","0","0","0"
"4","Spells\HealCast\HealCast.mdl","0","0","1","0.01","100","1","0","0","0","0","0","0"
"6","Spells\TeleportIn\TeleportIn.mdx","0","0","1","0.01","100","1","0","0","0","0","0","0"
"10","Spells\TeleportCast\TeleportCast.mdl","0","0","1","0.01","100","1","0","0","0","0","0","0"
"11","Particles\FootstepSpraySnow.mdl","0","0","1","0.01","100","1","0","0","0","0","0","0"
"12","Particles\FootstepSpraySnowWalk.mdl","0","0","1","0.01","100","1","0","0","0","0","0","0"
"14","particles\lootfx.mdx","0","0","1","0.5","10","1","0","0","0","0","0","0"
"17","Spells\Shadow_Precast_Low_Hand.mdx","0","0","1","0.01","100","1","0","0","0","0","0","0"
"18","Spells\DeathTouchCast\DeathTouchCast.mdl","0","0","1","0.01","100","1","0","0","0","0","0","0"
"20","Spells\HealHands\HealHands.mdl","0","0","1","0.01","100","1","0","0","0","0","0","0"
"21","Spells\LevelUp\LevelUp.mdl","0","0","1","0.01","100","1","0","0","0","0","0","0"
"23","Particles\FreezingFinger2_Impact_Head.MDL","0","0","1","0.01","100","1","0","0","0","0","0","0"
"24","Particles\FreezingFinger_Impact_Chest.MDL","0","0","1","0.01","100","1","0","0","0","0","0","0"
"25","Particles\FreezingFinger_Impact_Base.MDL","0","0","1","0.01","100","1","0","0","0","0","0","0"
"26","Particles\FrostCastConeofCold.MDL","0","0","1","0.01","100","1","0","0","0","0","0","0"
"27","particles\morphfx.mdx","0","0","1","0.01","100","1","0","0","0","0","0","0"
"28","Particles\Numb_Impact_Base.MDL","0","0","1","0.01","100","1","0","0","0","0","0","0"
"29","Particles\FreezingCloud_Impact_Base.MDL","0","0","1","0.01","100","1","0","0","0","0","0","0"
"30","Particles\Numb_Precast_Hand.MDL","0","0","1","0.01","100","1","0","0","0","0","0","0"
"32","Particles\FrostBolt_Missle.mdl","0","0","1","0.01","100","1","0","0","0","0","0","0"
"33","Particles\FrostBlast_Precast_Hand.MDL","0","0","1","0.01","100","1","0","0","0","0","0","0"
"34","Particles\FrostBolt_Impact_Chest.mdl","0","0","1","0.01","100","1","0","0","0","0","0","0"
"36","Particles\Freeze_Impact_Base.MDL","0","0","1","0.01","100","1","0","0","0","0","0","0"
"37","Particles\Freeze_Impact_Chest.MDL","0","0","1","0.01","100","1","0","0","0","0","0","0"
"38","Particles\FrostArmor_Impact_Head.MDL","0","0","1","0.01","100","1","0","0","0","0","0","0"
"39","Particles\FrostNova_Impact_Chest.MDL","0","0","1","0.01","100","1","0","0","0","0","0","0"
"40","Particles\FreezeNova_Impact_Chest.MDL","0","0","1","0.01","100","1","0","0","0","0","0","0"
