Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5
"1","165716","5","0","1","0","0"
"2","166677","5","0","1","0","0"
"3","165768","0","0","1","0","0"
"4","166193","0","0","1","0","0"
"5","165887","5","0","1","0","0"
"6","165591","5","0","1","0","0"
"7","166980","3","0","1","0","0"
"8","166095","5","0","1","0","0"
"9","166306","3","0","1","0","0"
"21","165886","5","0","1","0","0"
"41","240826","0","0","1","0","0"
"61","240877","30","0","1","0","0"
"81","165599","0","0","1","0","0"
"82","165598","0","0","1","0","0"
"83","341895","5","0","1","0","0"
"85","371173","1","0","1","0","0"
"86","405429","3","8","1.2","0","0"
"87","464032","0","0","1","0","0"
"88","467855","50","4","1","3000","6"
"102","165716","10","0","1","0","0"
"103","165716","15","0","1","0","0"
"104","165716","30","0","1","0","0"
"105","165716","99","0","1","0","0"
"106","166677","8","0","1","0","0"
"107","165768","0.7","0","1","0","0"
"108","165768","2","0","1","0","0"
"109","165887","20","0","1","0","0"
"110","166980","5","0","1","0","0"
"111","166306","5","0","1","0","0"
"112","166306","8","0","1","0","0"
"113","166306","10","0","1","0","0"
"114","405429","20","0","1","0","0"
"115","367950","20","4","0.5","2500","3"
"127","166306","20","0","1","0","0"
"131","307486","0","3","0.75","3000","7"
"132","610473","1000","1","1.5","0","7"
"133","166284","0","3","0.25","2000","5"
"134","793012","1","3","1","8000","1"
"135","240877","10","0","1","0","0"
"136","419340","0","5","2.5","2000","5"
"137","469401","0","4","1","1000","5"
"138","166701","0","3","0.75","3000","7"
"139","528517","2","0","1","0","8"
"140","348086","2","0","1","0","0"
"141","307486","0","6","0.75","3000","7"
"142","516722","0.5","1","0.25","0","7"
"143","516722","0.5","1","0.25","2000","3"
"144","431769","0","5","0.07","3000","7"
"146","166677","25","3","1.5","0","0"
"148","588649","2","0","1","0","8"
"150","529304","0","2","1.5","1000","7"
"151","419340","0","3","1.5","2000","5"
"152","166507","5","0","0.2","10000","7"
"153","537701","8","0","0.3","10000","7"
"154","240786","8","0","0.2","10000","7"
"155","307486","0","7","1.5","0","7"
"157","165591","20","0.5","2","0","6"
"158","307486","0","8","1.5","1000","5"
"159","396420","0","6","1","3000","7"
"160","307486","10","100","0.75","3000","0"
"161","382346","0","12","1","3500","5"
"162","589668","0","12","2","2000","7"
"163","396420","0","3","1","3000","7"
"164","528517","2","0","0.5","0","8"
"166","165591","10","0","1","0","0"
"169","528517","2","0","4","0","8"
"170","165768","1.5","0","3","0","8"
"171","165886","4","0","0.5","0","4"
"172","240877","5","0","1","0","0"
"173","165764","0","0","1","1000","1"
"174","326407","10","1","1","1000","4"
"175","395843","0","2","0.65","1500","7"
"176","419340","0","2","1","2000","5"
"178","165768","3","0","1","0","0"
"180","166095","25","0","1","0","0"
"181","463430","0","0","1","1000","5"
"182","327202","0","6","1.5","3000","7"
"183","165738","0","3","5","350","7"
"184","166067","0","6","8","1000","7"
"185","327203","0","6","2","5000","7"
"186","419340","0","3","0.75","2000","5"
"187","307486","0","3","0.35","3000","7"
"188","514319","0","10","2","0","7"
"189","166067","0","3","3","1000","5"
"190","419340","0","5","2","1200","7"
"191","464482","0","7","1.75","2500","7"
"192","165544","0","4","1.5","2000","7"
"193","344272","0","3","2","350","7"
"194","307486","0","1.5","0.25","2000","1"
"196","165576","9","5","0.8","0","4"
"199","307486","0","1","0.25","2000","1"
"200","603341","0","2","1","6000","7"
"201","622137","0","2","2","2000","7"
"202","419340","0","3","1.5","1200","7"
"203","526663","0","6","1","2000","5"
"204","240944","0","5","3","2000","5"
"206","307486","0","5","1.5","1000","5"
"207","307486","0","1","0.35","2000","7"
"208","513071","0","2","2","500","7"
"209","243602","0","3","5","350","7"
"210","591178","0","2.5","1","6000","7"
"211","412601","0","3","1.5","2000","1"
"212","166306","10","3","1.5","5000","4"
"213","591178","0","3","1","3000","7"
"214","616825","0","3","1","1000","7"
"216","307486","0","2","0.65","2250","7"
"217","1269447","10","3","1","0","3"
"219","326407","0","0","1","0","5"
"220","610475","0","3","5","3000","7"
"221","165768","10","3","1","1500","6"
"222","610475","0","3","5","30000","7"
"223","610475","0","5","4","1000","7"
"225","307486","0","3","1","1000","5"
"226","240924","5","0","0.25","0","0"
"227","467855","15","3","1","0","0"
"228","610473","0","1","1.25","2000","7"
"229","610473","0","1","1.5","1000","7"
"230","654222","0","3","1","2000","7"
"231","655447","0","3","1","2000","5"
"232","396420","0","2","1","3000","7"
"238","166800","0","5","1","1000","7"
"239","166808","0","10","1","1000","1"
"244","464482","0","3","1","1500","7"
"245","467855","0","3.5","1","2000","7"
"246","622152","0","4","2","3500","7"
"247","647736","0","7.5","3","500","5"
"248","419340","0","2.5","1","1200","7"
"249","464482","0","3","0.7","2000","7"
"250","382348","0","2","0.1","2250","5"
"253","659079","10","3","1","0","8"
"255","431768","15","1","1","0","8"
"256","654222","0","3","0.75","4000","7"
"257","655447","0","3","1.75","3000","5"
"258","659609","0","3","1","3000","7"
"259","659607","0","3","1","2000","5"
"260","593877","9","5","0.8","0","4"
"261","610473","25","0.75","1","0","32"
"262","165599","120","0","1","0","32"
"263","530800","20","0","2","1000","0"
"264","367444","10","5","0.5","0","0"
"265","609759","3","15","3","0","0"
"266","610475","0","0.75","1.5","0","7"
"267","240786","10","6","0.4","0","7"
"268","382346","0","4","0.5","3000","7"
"269","469401","0","4","1","1000","7"
"270","307486","0","3","0.75","3000","135"
"271","167171","15","4","2.5","0","0"
"272","840411","200","1","1","0","0"
"273","840415","250","1","1","0","0"
"274","840361","300","1","1","0","0"
"275","467855","10","0","0.5","0","0"
"276","522081","0","3","0.5","0","1"
"277","659609","30","3","1","0","16"
"278","382348","0","5","0.5","10000","7"
"279","797819","5","4","2","48000","7"
"280","797819","10","2","1","1500","1"
"281","794786","0","1.5","1","0","7"
"282","660965","3","4","1","3000","7"
"283","603341","0","2","1","2000","7"
"284","654222","0","0","0.5","2000","7"
"285","622137","100","1","2","0","3"
"286","516722","0.5","3","1","0","7"
"287","526663","75","6","1","2000","11"
"288","603341","0","0","0.25","6000","7"
"289","629713","0","3","1","1000","1"
"290","629715","0","3","1","0","1"
"291","655447","0","3","1","2000","1"
"292","654222","5","2","0.5","0","7"
"293","165886","1","0","0.3","0","4"
"294","528517","1","0","0.5","0","8"
"295","588649","1","0","0.5","0","8"
"296","797819","100","5","2","3000","39"
"309","791675","0","3","1.25","830","7"
"310","791673","0","3","1.25","1700","7"
"311","797819","5","3","1","0","3"
"312","797819","10","0.5","0.4","8000","3"
"313","610475","0","3","5","0","39"
"314","667634","5","1","0.3","0","15"
"315","839165","5","3","0.2","0","15"
"316","840304","0","6","2.5","0","7"
"317","667369","0","5","5","2000","5"
"318","796544","75","1.5","2","0","7"
"320","667366","0","3","0.8","2000","5"
"321","667364","0","3","1.5","2000","5"
"322","791857","0","7","2","500","7"
"324","240915","15","0","1","0","32"
"325","654222","5","3","1","0","4"
"326","667369","0","1.5","0.5","1500","7"
"327","840304","0","3","1","0","7"
"328","791823","0","7","2","500","7"
"329","654658","5","4","1","0","0"
"330","667369","0","5","3","250","39"
"331","646785","1","6","2","1000","7"
"332","794786","0","3","1","0","5"
"333","792570","0","3","1","3000","7"
"334","792627","0","1","0.5","1000","7"
"335","796157","50","5","5","0","4"
"336","841096","75","0.75","0.2","0","3"
"337","367433","75","10","1","0","3"
"338","794770","1","3","1","0","7"
"339","792570","0","1","0.3","500","1"
"340","792570","0","2","1","0","71"
"341","791811","0","3","1","2000","7"
"342","794770","0","3","1","2000","7"
"343","791811","0","3","1","1000","5"
"344","655447","0","3","1.75","3000","7"
"345","654222","0","3","0.75","30000","7"
"346","667369","0","1.5","0.5","1000","7"
"347","794786","0","1.5","0.5","30000","7"
"348","667634","0","1.5","0.5","3000","7"
"349","610473","0","3","3","0","7"
"350","667634","0","5","2","0","7"
"351","792570","0","2","0.6","500","1"
