Id,Unknown0,Unknown1,Unknown2,Unknown3_0,Unknown3_1,Unknown3_2,Unknown4_0,Unknown4_1,Unknown4_2,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown14,Unknown15
"2","0","300","516","0","0","0","0","0","0","1","3557","0","0","750","13","-1","20","3011","0"
"3","0","300","516","0","0","0","0","0","0","2","408","0","0","750","0","-1","34","0","0"
"4","0","300","516","0","0","0","0","0","0","3","406","0","0","750","0","17","34","3012","0"
"5","0","300","516","0","0","0","0","0","0","4","3235","0","0","750","0","-1","20","3256","0"
"6","0","300","516","0","0","0","0","0","0","5","618","0","0","750","0","-1","19","0","0"
"7","0","300","516","0","0","0","0","0","0","6","2998","0","0","750","0","-1","34","0","0"
"8","0","300","524","0","0","0","0","0","0","7","3398","0","0","750","13","-1","19","3011","0"
"9","0","300","516","0","0","0","0","0","0","8","3030","0","0","750","81","19","34","3015","0"
"10","0","300","517","0","0","0","0","0","0","9","2994","0","0","750","121","-1","19","0","0"
"11","0","300","516","0","0","0","0","0","0","10","3393","0","0","750","38","-1","34","3011","0"
"12","0","300","516","0","0","0","0","0","0","11","3366","0","0","750","38","-1","34","0","0"
"13","0","300","516","0","0","0","0","0","0","12","3367","0","0","750","38","-1","20","0","0"
"14","0","300","516","0","0","0","0","0","0","13","3220","0","0","750","0","-1","34","3011","0"
"15","0","300","516","0","0","0","0","0","0","14","2980","0","0","750","13","24","34","0","0"
"16","0","300","516","0","0","0","0","0","0","15","675","0","0","750","0","-1","34","0","0"
"17","0","300","516","0","0","0","0","0","0","16","2662","0","0","750","0","-1","34","0","0"
"18","0","300","516","0","0","0","0","0","0","17","365","0","0","750","0","-1","34","3011","0"
"19","0","300","518","0","0","0","0","0","0","18","1843","0","0","750","24","22","34","3318","0"
"20","0","300","516","0","0","0","0","0","0","19","408","0","0","750","0","-1","34","3012","0"
"21","0","300","516","0","0","0","0","0","0","20","399","0","0","750","0","-1","20","0","0"
"22","0","300","516","0","0","0","0","0","0","21","8184","0","0","750","2843","-1","19","3015","0"
"23","100","300","516","0","0","0","0","0","0","22","365","0","0","750","0","-1","34","3011","0"
"24","0","300","516","0","0","0","0","0","0","23","3770","0","0","750","0","17","34","3011","0"
"25","0","300","516","0","0","0","0","0","0","24","3767","0","0","750","0","-1","34","12348","0"
"26","0","300","516","0","0","0","0","0","0","25","1524","0","0","750","861","-1","34","3013","0"
"27","0","300","516","0","0","0","0","0","0","26","259","0","0","750","0","-1","34","3013","0"
"28","0","300","516","0","0","0","0","0","0","27","1962","0","0","750","0","-1","20","0","0"
"29","0","300","516","0","0","0","0","0","0","28","675","0","0","750","0","-1","34","0","0"
"30","0","300","516","0","0","0","0","0","0","29","2662","0","0","750","0","-1","34","0","0"
"31","0","300","516","0","0","0","0","0","0","30","2682","0","0","750","0","-1","34","0","0"
"32","0","300","516","0","0","0","0","0","0","31","2","0","0","750","0","-1","34","0","0"
"33","0","300","516","0","0","0","0","0","0","32","3408","0","0","750","13","17","34","0","0"
"34","0","300","516","0","0","0","0","0","0","33","3409","0","0","750","125","-1","20","0","0"
