Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4
"41","0","1","0","5","5"
"61","2","1","0","2","0"
"63","1048578","1","0","4","1"
"64","0","0","0","0","0"
"65","0","3","0","0","0"
"66","1","0","0","0","0"
"67","0","2","0","1","0"
"81","1048578","1","0","4","255"
"83","1048578","1","0","4","4"
"121","2","1","0","0","0"
"161","0","4","0","0","0"
"181","0","1","0","0","0"
"182","0","0","0","0","5"
"183","2","1","106","2","0"
"184","2","1","210","2","0"
"185","2","0","210","2","0"
"186","2","0","106","2","0"
"207","2","2","0","1","0"
"208","2","1","0","6","0"
"209","512","1","0","7","0"
"247","8388608","1","0","12","0"
"307","0","1","35","5","5"
"347","2147483650","1","0","0","0"
"387","514","1","0","5","6"
"407","2060","1","0","5","0"
"409","4","1","0","1","5"
"410","8","1","0","4","1"
"427","0","3","1616","0","0"
"428","4","3","1616","0","0"
"429","2","0","0","0","0"
"447","2","1","0","2","6"
"487","770","1","0","2","6"
"488","8","4","0","0","0"
"489","0","1","35","8","0"
"490","16","1","0","0","0"
"491","8","0","0","0","0"
"494","10","1","0","3","0"
"495","9","0","0","0","0"
"527","9","0","2089","0","0"
"547","8216","1","974","0","6"
"567","0","1","0","0","6"
"607","264","4","0","2","6"
"627","10","1","2064","0","0"
"628","8","0","0","0","6"
"648","64","0","0","0","0"
"649","66","1","0","2","0"
"667","64","1","0","0","0"
"687","4719106","1","0","3","0"
"688","2","1","35","2","0"
"689","256","4","0","0","0"
"709","1","0","0","0","4"
"710","264","4","0","0","0"
"711","514","1","0","2","255"
"712","256","1","190","0","0"
"713","514","1","0","2","0"
"715","320","0","0","0","0"
"719","16","0","0","0","0"
"720","0","1","0","7","0"
"780","8","4","0","0","6"
"781","80","1","0","0","0"
"821","10","1","0","2","6"
"822","2","1","0","0","6"
"823","2120","1","0","2","1"
"826","530","1","0","0","0"
"828","264","1","0","0","1"
"829","514","1","0","2","1"
"830","258","1","0","2","0"
"831","9026","1","0","2","6"
"833","0","2","0","3","0"
"841","10","1","0","5","6"
"843","16","4","0","0","0"
"901","2304","1","0","0","0"
"921","256","2","0","1","0"
"941","0","0","0","10","0"
"942","272","1","0","0","0"
"943","2048","0","0","0","0"
"944","2306","1","0","6","0"
"961","264","1","0","0","0"
"962","3336","1","0","0","6"
"963","2312","1","0","0","0"
"967","2826","1","0","0","0"
"968","648","1","0","0","0"
"981","0","1","35","3","0"
"1021","2562","1","0","0","0"
"1041","2048","0","35","0","0"
"1081","256","4","0","9","0"
"1101","6","1","0","2","0"
"1121","3200","1","0","0","1"
"1141","4096","1","0","11","1"
"1161","134236672","1","0","2","255"
"1162","4096","0","0","9","0"
"1181","2048","0","0","9","0"
"1202","256","0","0","0","0"
"1221","6666","1","0","2","255"
"1261","2562","1","0","2","0"
"1301","2304","3","0","0","0"
"1302","1032","1","0","3","6"
"1342","0","2","0","0","0"
"1343","770","1","0","2","0"
"1381","133401","0","2102","0","0"
"1401","2","1","35","2","1"
"1421","2056","1","0","5","0"
"1442","2056","2","0","5","0"
"1461","264","1","0","5","0"
"1501","0","0","0","0","1"
"1502","0","0","0","0","2"
"1503","0","0","0","0","3"
"1504","0","0","0","0","4"
"1521","16","1","0","0","6"
"1541","2048","4","35","10","0"
"1561","16384","2","0","1","0"
"1581","2050","1","0","2","0"
"1661","2056","3","0","3","6"
"1701","2120","1","0","0","6"
"1721","514","2","0","1","0"
"1761","10","1","0","0","0"
"1781","2056","1","0","0","0"
"1801","132874","1","0","2","6"
"1841","256","1","0","5","5"
"1861","4360","4","0","0","0"
"1881","32768","0","0","0","0"
"1901","256","1","0","0","6"
"1982","778","1","0","5","6"
"2002","0","2","0","7","6"
"2021","133912","1","0","5","0"
"2041","0","1","0","3","0"
"2061","2048","1","0","0","0"
"2062","6144","1","0","7","0"
"2081","2058","1","0","7","0"
"2101","17","0","0","0","0"
"2121","4104","2","0","5","6"
"2122","0","1","0","5","6"
"2141","4194306","1","0","2","0"
"2161","0","2","0","1","6"
"2181","4096","0","0","12","0"
"2201","1288","2","0","3","6"
"2241","1034","1","0","2","6"
"2261","131848","1","0","5","6"
"2262","520","1","0","0","0"
"2281","8","1","0","0","0"
"2301","4194818","1","0","0","0"
"2341","131850","1","0","2","0"
"2361","3200","1","0","0","2"
"2362","3200","1","0","0","3"
"2363","3200","1","0","0","4"
"2401","321","0","0","0","0"
"2421","133392","1","0","0","0"
"2441","1","0","14","0","0"
"2461","1034","1","0","0","6"
"2481","4096","0","0","0","0"
"2501","8194","1","0","0","0"
"2521","1802","1","1801","5","0"
"2541","1802","1","1801","0","0"
"2561","4112","0","0","9","0"
"2581","2058","1","0","0","0"
"2601","4096","4","0","0","0"
"2661","2","1","0","7","0"
"2681","0","0","2189","0","0"
"2741","66","1","109","2","0"
"2761","1","5","14","0","0"
"2801","0","2","0","5","0"
"2841","2064","1","0","0","0"
"2882","136986","1","0","0","6"
"2901","10","1","0","5","0"
"2903","5634","2","0","1","6"
"2905","2121","0","0","0","0"
"2907","786","1","0","0","0"
