Id,Unknown0_0,Unknown0_1,Unknown0_2,Unknown0_3,Unknown0_4,Unknown0_5,Unknown0_6,Unknown0_7
"15","62","203","106","18","120","80","80","250"
"52","84","197","113","196","9","69","133","226"
"55","90","153","140","23","130","203","226","142"
"56","5","176","201","78","15","129","19","88"
"57","234","67","237","102","113","33","158","127"
"58","247","147","55","210","100","211","168","196"
"59","229","198","242","188","174","52","162","64"
"60","229","74","206","203","207","223","247","156"
"61","79","91","72","184","202","222","75","78"
"62","228","112","255","78","197","10","165","148"
"63","44","28","222","1","14","59","151","186"
"64","239","139","16","142","142","111","74","73"
"65","2","144","132","195","208","109","141","145"
"66","202","221","90","145","87","105","95","11"
"67","43","182","138","205","198","37","79","121"
"68","33","61","103","193","84","58","99","169"
"69","234","61","22","62","107","137","93","94"
"70","127","253","13","1","181","54","190","14"
"71","15","12","69","250","207","40","232","1"
"72","174","230","24","254","112","209","123","74"
"73","79","124","232","117","185","156","84","105"
"74","102","161","178","114","195","146","12","70"
"75","98","25","161","204","1","216","101","129"
"81","201","218","10","9","153","201","241","163"
