Id,Unknown0,Unknown1,Unknown3
"6","2","4","110"
"7","4","2","110"
"8","5","2","210"
"9","2","5","210"
"12","6","2","50"
"13","2","6","50"
"15","8","6","110"
"16","6","8","110"
"17","7","6","330"
"18","6","7","330"
"20","11","10","110"
"21","10","11","110"
"22","12","2","330"
"23","2","12","330"
"24","13","11","330"
"25","11","13","330"
"26","14","6","330"
"27","6","14","330"
"30","16","6","530"
"31","6","16","530"
"32","17","11","530"
"33","11","17","530"
"34","20","18","630"
"35","18","20","630"
"36","18","21","630"
"37","21","18","630"
"38","21","11","630"
"39","11","21","630"
"40","2","19","630"
"41","19","2","630"
"42","23","22","50"
"44","25","22","110"
"45","25","23","110"
"46","22","25","110"
"47","23","25","110"
"50","28","26","330"
"51","26","28","330"
"52","29","22","210"
"53","22","29","210"
"54","30","22","430"
"55","22","30","430"
"56","32","31","430"
"57","31","32","730"
"58","33","26","330"
"59","26","33","330"
"82","18","56","630"
"101","26","27","0"
"102","27","26","0"
"121","56","18","630"
"141","37","32","530"
"161","38","22","530"
"162","22","38","530"
"163","32","37","530"
"181","26","32","630"
"182","32","26","630"
"201","39","32","630"
"222","32","39","730"
"223","40","23","730"
"224","23","40","730"
"225","41","26","730"
"226","26","41","730"
"227","42","22","730"
"228","22","42","730"
"229","43","14","330"
"230","14","43","730"
"241","0","0","0"
"242","44","23","830"
"243","23","44","830"
"244","45","2","830"
"245","2","45","830"
"249","4","5","210"
"250","4","12","330"
"252","12","4","110"
"253","46","7","0"
"254","5","4","110"
"255","4","19","630"
"256","19","4","530"
"257","5","12","330"
"258","12","5","210"
"259","12","19","630"
"260","19","12","330"
"261","12","45","830"
"262","45","12","330"
"263","6","43","730"
"264","43","6","730"
"265","8","7","330"
"266","7","8","110"
"267","8","16","530"
"268","16","8","110"
"269","7","16","530"
"270","16","7","330"
"271","7","14","330"
"272","14","7","330"
"273","16","14","330"
"274","14","16","530"
"275","16","43","730"
"276","43","16","530"
"279","25","29","210"
"280","29","25","210"
"281","25","30","430"
"282","30","25","430"
"283","25","44","830"
"284","44","25","830"
"285","0","0","0"
"286","48","25","930"
"287","25","48","930"
"289","26","49","830"
"290","22","44","830"
"291","44","22","830"
"292","0","0","0"
"293","585","585","0"
"295","50","51","0"
"298","52","49","830"
"301","0","0","0"
"302","0","0","0"
"303","54","24","0"
"304","55","25","110"
"305","58","25","110"
"306","53","48","930"
"307","48","53","1020"
"308","30","40","730"
"309","22","40","730"
"310","40","30","430"
"311","40","22","730"
"312","59","6","0"
"313","60","11","0"
"314","6","59","1020"
"315","62","27","0"
"316","63","22","0"
"317","21","56","710"
"318","56","21","630"
"319","21","17","630"
"320","17","21","630"
"321","17","13","330"
"322","13","17","530"
"323","39","31","630"
"324","31","39","730"
"325","31","41","630"
"326","41","31","430"
"327","61","23","530"
"328","23","61","530"
"329","64","26","730"
"330","26","64","730"
"332","64","65","730"
"333","61","25","530"
"334","25","61","530"
"335","23","55","630"
"336","55","23","630"
"338","23","48","830"
"339","52","65","730"
"341","48","23","930"
"343","56","20","630"
"344","20","56","630"
"345","22","55","630"
"346","66","14","330"
"347","14","66","830"
"348","55","22","630"
"349","43","67","1020"
"350","58","61","530"
"351","61","58","330"
"352","67","43","730"
"353","42","25","730"
"354","25","58","330"
"355","25","42","730"
"356","38","29","210"
"357","11","68","1020"
"358","29","38","530"
"359","68","11","1020"
"360","25","55","630"
"361","20","21","630"
"362","21","20","530"
"363","53","69","830"
"364","69","48","930"
"365","48","69","830"
"366","69","53","1020"
"367","49","52","1020"
"368","49","26","830"
"369","65","26","730"
"371","65","52","1020"
"372","65","64","730"
"373","37","41","730"
"374","41","37","730"
"375","42","38","730"
"376","38","42","730"
"377","70","21","830"
"378","21","70","830"
"379","70","56","830"
"380","56","70","830"
"381","71","45","830"
"382","45","71","830"
"383","11","60","1020"
"384","37","26","530"
"385","26","37","530"
"386","26","65","730"
"387","22","23","50"
"388","40","55","630"
"389","40","42","630"
"390","55","40","730"
"391","42","40","630"
"392","40","25","730"
"393","25","40","730"
"394","39","73","1020"
"395","40","72","1020"
"398","53","23","1020"
"399","23","53","1020"
"400","44","48","930"
"401","48","44","830"
"402","74","6","830"
"404","6","74","830"
"406","21","75","830"
"407","75","21","630"
"408","70","75","830"
"409","75","70","830"
"410","71","74","830"
"411","74","71","830"
"412","76","13","730"
"413","13","76","730"
"414","11","76","730"
"415","76","11","730"
"416","77","25","110"
"417","25","77","110"
"419","22","77","110"
"420","77","22","110"
"421","77","30","430"
"422","30","77","430"
"423","72","40","730"
"424","73","39","730"
"425","71","2","830"
"427","2","71","830"
"428","6","66","1020"
"429","66","6","1020"
"431","66","67","1020"
"432","67","66","1020"
"436","78","24","0"
"437","67","6","1020"
"438","6","67","1020"
"439","36","24","0"
"440","10","13","330"
"441","13","10","110"
"443","28","33","330"
"444","33","28","330"
"445","32","64","730"
"446","64","32","630"
"447","64","52","1030"
"448","52","64","730"
"449","72","42","730"
"450","42","72","1030"
"451","73","41","730"
"452","79","39","730"
"453","79","40","730"
"454","79","72","1030"
"455","79","73","1030"
"456","72","79","830"
"457","73","79","830"
"458","39","79","730"
"459","40","79","730"
"460","80","32","630"
"461","80","25","110"
"462","25","80","110"
"464","32","80","110"
"465","64","80","110"
"466","80","64","730"
"467","28","64","730"
"468","64","28","330"
"469","5","71","830"
"470","71","5","210"
"471","41","73","1030"
"473","76","68","1030"
"474","68","76","730"
"475","43","66","1020"
"476","66","43","730"
"477","37","33","330"
"478","33","37","530"
"479","49","65","730"
"480","65","49","1020"
"481","61","44","830"
"482","44","61","530"
"484","17","76","730"
"485","76","17","530"
"486","42","30","430"
"487","30","42","730"
"488","83","82","110"
"489","82","83","330"
"494","84","85","730"
"495","84","86","730"
"496","84","87","730"
"499","53","44","830"
"500","44","53","1020"
"503","0","0","0"
"506","92","91","0"
"507","628","628","110"
"508","626","626","110"
"512","95","96","0"
"514","97","98","0"
"515","101","100","1020"
"516","100","101","1020"
"517","102","99","1020"
"518","99","102","1020"
"520","103","104","0"
"522","107","108","0"
"523","105","106","0"
"524","109","110","0"
"525","74","8","110"
"526","8","74","830"
"527","58","48","830"
"528","48","58","330"
"529","29","58","330"
"530","58","29","210"
"531","111","112","0"
"532","113","114","0"
"534","115","116","0"
"535","117","101","1020"
"536","101","117","1020"
"537","118","102","1020"
"538","102","118","1020"
"539","119","117","1020"
"540","117","119","1020"
"541","120","118","1020"
"542","118","120","1020"
"543","120","102","1020"
"544","102","120","1020"
"545","121","119","1020"
"546","119","121","1020"
"547","121","100","1020"
"548","127","99","1020"
"549","127","128","1020"
"550","127","123","1020"
"551","123","127","1020"
"552","128","127","1020"
"553","121","124","1020"
"554","124","121","1020"
"555","121","128","1020"
"557","128","121","1020"
"558","100","121","1020"
"559","119","128","1020"
"560","128","119","1020"
"561","117","128","1020"
"562","128","117","1020"
"564","129","100","0"
"565","130","99","0"
"566","100","129","0"
"567","99","130","0"
"568","122","125","1020"
"569","125","122","1020"
"570","125","117","1020"
"571","120","128","1020"
"572","128","120","1020"
"573","102","128","1020"
"574","128","102","1020"
"575","99","127","1020"
"576","128","118","1020"
"577","118","128","1020"
"578","126","118","1020"
"579","118","126","1020"
"580","122","126","1020"
"581","126","122","1020"
"582","129","101","0"
"583","130","102","0"
"584","131","132","0"
"585","133","134","0"
"587","135","136","0"
"589","137","138","0"
"590","139","126","1020"
"591","140","123","1020"
"592","126","139","1020"
"593","125","139","1020"
"594","123","140","875"
"595","140","124","875"
"598","124","140","875"
"600","139","125","1020"
"601","141","99","1020"
"602","99","141","1020"
"603","117","125","1020"
"604","142","141","1020"
"605","144","143","0"
"606","145","146","0"
"607","148","147","0"
"608","147","148","0"
"611","149","129","0"
"612","133","149","0"
"613","129","149","0"
"614","100","149","0"
"615","149","100","0"
"616","150","122","1020"
"617","122","150","1020"
"618","151","102","1020"
"619","102","151","1020"
"620","151","118","1020"
"621","118","151","1020"
"622","151","128","1020"
"623","128","151","1020"
"624","126","151","1020"
"625","151","126","1020"
"627","152","153","0"
"628","154","155","0"
"629","81","36","0"
"630","156","125","510"
"631","125","156","510"
"632","157","158","0"
"633","122","139","1020"
"634","139","122","1020"
"635","159","124","875"
"636","159","123","875"
"637","150","139","1020"
"638","139","150","1020"
"639","123","159","875"
"640","124","159","875"
"641","156","122","1020"
"642","122","156","1020"
"643","160","126","510"
"644","160","125","510"
"645","125","160","510"
"646","126","160","510"
"647","160","122","710"
"648","122","160","710"
"649","161","162","0"
"650","163","122","1020"
"652","126","163","1020"
"653","122","163","1020"
"654","163","126","1020"
"655","164","117","1020"
"656","117","164","1020"
"657","164","125","1020"
"658","125","164","1020"
"659","165","175","0"
"660","28","32","730"
"661","32","28","730"
"662","166","48","830"
"663","166","61","530"
"664","166","65","830"
"665","48","166","830"
"666","65","166","830"
"668","28","166","830"
"669","166","28","530"
"670","61","166","830"
"671","167","28","330"
"672","166","58","530"
"673","58","166","830"
"674","167","64","730"
"675","167","166","830"
"676","166","167","330"
"677","28","167","330"
"678","64","167","330"
"679","160","156","510"
"680","74","2","830"
"681","2","74","730"
"682","20","70","830"
"683","70","20","630"
"685","156","160","510"
