Id,Unknown0,Unknown1,Unknown2
"33","Deepholmblack","tileset\terrain cube maps\tcm_deepholmemineralb.blp","2"
"36","BadLands","tileset\terrain cube maps\redcracklesenva.blp","2"
"61","TESTHAWAII","tileset\expansion03\deepholm\dh_cubes09.blp","0"
"64","AI_TH","tileset\terrain cube maps\tcm_deepholmemineralb.blp","1"
"98","Desert","tileset\terrain cube maps\tcm_deepholmemineralb.blp","1"
"105","Highmountain_Ice_Sky","tileset\terrain cube maps\tcb_skyblue_a.blp","2"
"106","Highmountain_Ice_Test","tileset\terrain cube maps\tcb_crystalsong_a.blp","3"
"107","Highmountain_Ice_Test2","tileset\terrain cube maps\oilslickenva.blp","3"
"108","Highmountain_Ice_Test3","tileset\terrain cube maps\tcb_paleblue_a.blp","3"
"109","Highmountain_Ice_Test4","tileset\terrain cube maps\tcb_crystalsong_b.blp","3"
