Id,Unknown0_0,Unknown0_1,Unknown0_2,Unknown1_0,Unknown1_1,Unknown1_2,Unknown2_0,Unknown2_1,Unknown2_2,Unknown3_0,Unknown3_1,Unknown3_2,Unknown4_0,Unknown4_1,Unknown4_2,Unknown5_0,Unknown5_1,Unknown5_2,Unknown5_3,Unknown6,Unknown7,Unknown8,Unknown9
"1","980740","1096112","1096112","0","0","0","0","0","0","1","1","1","1","1","1","4","4","4","4","0","1","2","3"
"2","1252438","1310527","1310527","0","0.07","0.07","0","0.07","-0.07","1","1","1","1","1","1","4","4","4","4","0","1","2","3"
"3","1346468","1346475","1346477","0","0","0","0","0","0.02","1","1","1","1","1","1","3","3","3","3","0","1","2","3"
"4","1346464","1002607","1002607","0","0","0","0","0","0","1","1","1","1","1","1","4","3","3","3","0","1","2","3"
"5","1346468","1346471","1346472","0","0.01","0","0","0","-0.02","0.75","1","1","0.75","1","1","3","3","3","3","0","1","2","3"
"6","875911","1346471","1346472","0","0.02","0","0","0","0.01","2","1","2","2","1","2","3","3","3","3","0","1","2","3"
"9","1137594","1002607","1002607","0","0","0","0","0","0","1","1","1","1","1","1","1.5","1.5","1.5","1.5","0","1","2","3"
"10","1346468","1131614","1137594","0","0.05","0","0","0","0.05","1","1","0.4","1","1","0.4","1.5","1.5","1.5","1.5","0","1","2","3"
"11","1346468","1346472","1346472","0","0.04","0","0","0","0.02","1","1","1","1","1","1","4","4","3.5","2","0","1","2","3"
"12","1346461","1346472","1002607","0.003","0.003","0","0.001","0","0.01","1","1","1","1","1","1","4","3.5","3","2","0","1","2","3"
"13","1346462","1002607","1002607","0","0","0","0","0","0","1","1","1","1","1","1","4","4","4","4","0","1","2","3"
"14","1346468","1346473","1346474","0","0","0","0","0","0.02","1","1","1","1","1","1","4","4","4","4","0","1","2","3"
"15","1346461","1002607","1002607","0","0","0","0","0","0","1","1","1","1","1","1","4","4","4","4","0","1","2","3"
"16","1346468","1346471","1346472","0","0","0","0","0","0.02","1","1","1","1","1","1","4","4","4","4","0","1","2","3"
"17","1006544","1006561","939361","0.01","0.001","0","0.005","0.002","0.02","0.5","1","0.5","0.5","1","0.5","4.4","4.4","4.4","2.2","0","1","2","3"
"18","965233","1346471","1346472","0","0.04","0","0","0","0.02","0.5","0.5","0.5","0.5","0.5","0.5","4","4","4","4","0","1","2","3"
"19","1094538","1002607","1002607","0","0","0","0","0","0","1","1","1","1","1","1","4","4","4","4","0","1","2","3"
"20","1346468","1119161","1119160","0","0","0","0","0","0","0.5","0.5","0.5","0.5","0.5","0.5","4","4","4","4","0","1","2","3"
"21","1346448","1002607","1002607","0","0","0","0","0","0","1","1","1","1","1","1","4","4","4","4","0","1","2","3"
"22","1346461","1002607","1002607","0","0","0","0","0","0","1","1","1","1","1","1","4","2","2","2","0","1","2","3"
"24","1346466","1002607","1002607","0","0","0","0","0","0","1","1","1","1","1","1","4","4","4","4","0","1","2","3"
"25","1346468","1346469","1346470","0","0","0","0","0","0.02","1","1","1","1","1","1","4","4","4","4","0","1","2","3"
"26","1346468","1346471","1346472","0","0","0","0","0","0.02","1","1","1","1","1","1","4","2","2","2","0","1","2","3"
"28","1346468","1346478","1346479","0","0","0","0","0","0.02","1","1","1","1","1","1","4","4","4","4","0","1","2","3"
"29","1347128","1002607","1002607","0","0","0","0","0","0","1","1","1","1","1","1","4","4","4","4","0","1","2","3"
