Id,Unknown0,Unknown1,Unknown2
"1","Skinning Knife (OLD)","1","1"
"2","Earth Totem","1","2"
"3","Air Totem","2","2"
"4","Fire Totem","4","2"
"5","Water Totem","8","2"
"6","Runed Copper Rod","65536","24"
"11","Mining Pick (OLD)","1","21"
"12","Philosopher's Stone","1","22"
"13","Blacksmith Hammer (OLD)","1","23"
"14","Arclight Spanner","1","24"
"15","Gyromatic Micro-Adjustor","2","24"
"21","Master Totem","15","2"
"81","Hollow Quill","4","22"
"101","Runed Copper Rod","69631","24"
"121","Virtuoso Inking Set","2147483648","24"
"141","Drums","1073741824","24"
"161","Gnomish Army Knife","127","24"
"162","Blacksmith Hammer","4","24"
"165","Mining Pick","8","24"
"166","Skinning Knife","16","24"
"167","Hammer Pick","12","24"
"168","Bladed Pickaxe","24","24"
"169","Flint and Tinder","32","24"
"210","High-Powered Bolt Gun","64","24"
"238","Jeweler's Kit","64","24"
"250","Ultimate Gnomish Army Knife","2147549311","24"
"7","Runed Copper Rod","65536","24"
"8","Runed Copper Rod","65536","24"
"9","Runed Copper Rod","65536","24"
"10","Runed Copper Rod","65536","24"
"41","Runed Copper Rod","65536","24"
"62","Runed Copper Rod","65536","24"
"63","Runed Copper Rod","65536","24"
"189","Runed Copper Rod","65536","24"
"190","Runed Copper Rod","65536","24"
"209","Runed Copper Rod","65536","24"
"230","Runed Copper Rod","65536","24"
