Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4
"46","Disenchant","333","353","1020","0"
"47","Boots","333","353","1100","0"
"48","Gloves","333","353","1100","0"
"49","Chest","333","353","1100","0"
"50","Upgrade","333","353","1100","0"
"51","Pandaria","333","353","1000","0"
"52","Cloak","333","353","1100","0"
"53","Ring","333","353","1140","0"
"54","Shields and Off-Hands","333","353","1100","0"
"55","Bracers","333","353","1100","0"
"56","2H Weapons","333","353","1040","0"
"57","Weapons","333","353","1030","0"
"58","Holiday Cooking","185","0","4","0"
"59","Wintersveil","185","58","0","0"
"60","Leg Armor, Tier 1","165","379","0","0"
"61","Leg Armor, Tier 2","165","379","0","0"
"63","Everyday Cooking","185","90","7","0"
"64","Way of the Grill","975","90","1","1"
"65","Way of the Wok","976","90","2","1"
"66","Way of the Pot","977","90","3","1"
"67","Way of the Steamer","978","90","4","1"
"68","Way of the Oven","979","90","5","1"
"69","Way of the Brew","980","90","6","1"
"70","Unusual Delights","185","0","5","0"
"71","Cooking with Feeling","185","0","6","0"
"72","Old World Recipes","185","0","10","0"
"73","Outlandish Dishes","185","0","9","0"
"74","Recipes of the Cold North","185","0","8","0"
"75","Cataclysm Recipes","185","0","7","0"
"76","Basic","165","379","0","0"
"77","Stuff","165","76","0","0"
"78","Ninja Gear","165","76","0","0"
"81","Self-Only Enchantments","197","362","5","0"
"82","Legs","197","81","0","0"
"83","Cloak","197","81","0","0"
"84","Other","197","362","10","0"
"90","Pandaren Cuisine","185","0","3","0"
"91","Glyph - Death Knight","773","415","140","0"
"92","Glyph - Mage","773","415","170","0"
"93","Glyph - Priest","773","415","200","0"
"94","Glyph - Warlock","773","415","230","0"
"95","Glyph - Druid","773","415","150","0"
"96","Glyph - Monk","773","415","180","0"
"97","Glyph - Rogue","773","415","210","0"
"98","Glyph - Hunter","773","415","160","0"
"99","Glyph - Shaman","773","415","220","0"
"100","Glyph - Paladin","773","415","190","0"
"101","Glyph - Warrior","773","415","240","0"
"102","Staves & Wands","773","415","70","0"
"103","Off-hand","773","415","80","0"
"104","Ink","773","415","20","0"
"105","Clear Mind","773","415","110","0"
"106","Card","773","415","50","0"
"107","Attribute Enhancement","773","415","100","0"
"108","Research","773","415","10","0"
"113","Glyph","773","415","0","0"
"114","Other","773","415","250","0"
"115","Quest","773","415","60","0"
"116","Crafts","773","415","90","0"
"117","Teleportation","773","415","120","0"
"118","Material","773","415","0","0"
"119","Shoulder Inscription","773","415","40","0"
"127","Self-Only","773","415","30","0"
"128","Bind on Equip","773","415","20","0"
"129","Bind to Account","773","415","10","0"
"130","Bind on Use","773","415","20","0"
"131","Bind on Pick Up","773","415","10","0"
"134","Potions","171","337","40","0"
"135","Elixirs","171","337","50","0"
"136","Flasks","171","337","30","0"
"137","Transmutation","171","337","20","0"
"138","Trinkets","171","337","100","0"
"139","Oils","171","337","100","0"
"140","Research","171","337","10","0"
"141","Materials","171","337","100","0"
"142","Cauldrons","171","337","100","0"
"143","Special","171","337","100","0"
"144","Mounts","171","337","100","0"
"150","Bandages","129","397","100","0"
"151","Antidotes","129","397","200","0"
"152","Rods","333","353","1150","0"
"153","Wands","333","353","1150","0"
"154","Oils","333","353","1100","0"
"155","Odds & Ends","333","353","1100","0"
"156","Pets","333","353","1100","0"
"157","Materials","333","353","1010","0"
"164","Blue Gems","755","372","15","0"
"165","Fist Weapons","755","372","90","0"
"166","Green Gems","755","372","30","0"
"167","Crowns","755","372","80","0"
"168","Materials","755","372","65","0"
"169","Meta Gems","755","372","40","0"
"170","Mounts","755","372","60","0"
"171","Necklaces","755","372","55","0"
"172","Orange Gems","755","372","25","0"
"173","Prismatic Gems","755","372","45","0"
"174","Purple Gems","755","372","35","0"
"175","Red Gems","755","372","10","0"
"176","Rings","755","372","50","0"
"177","Prisms","755","372","70","0"
"178","Statues","755","372","95","0"
