Id,Unknown0,Unknown1,Unknown2,Unknown3
"1","Master of Apexis","20529","28227","3"
"3","Master Draenor Crafter","19152","27762","3"
"4","Defender of Draenor","19153","28169","4"
"5","Draenor Pet Brawler","20514","28226","3"
"9","Mythic Draenor Raider","19207","28220","3"
"10","Mythic Draenor Raiding","19209","28220","4"
"11","Master Draenor Crafter","19573","27762","4"
"12","Defender of Draenor","20403","28169","3"
"13","Draenor Pet Brawler","20528","28226","4"
"14","Master of Apexis","20530","28227","4"
"15","Not Special Statue","10782","24827","0"
"16","The King in Green","23436","30838","4"
"17","The King in Green","23502","30838","3"
"18","Chapter IV: Darkness Incarnate","26914","34184","3"
"19","Draenor Pet Brawler","20514","27108","0"
"20","Chapter IV: Darkness Incarnate","26914","34184","4"
