Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4
"12","221","1","0","3","0"
"13","674","1","0","5","0"
"14","226","1","0","10","0"
"15","227","1","0","8","0"
"16","228","1","0","7","0"
"17","229","1","0","4","0"
"18","230","1","0","19","0"
"19","234","1","0","6","0"
"20","235","1","0","16","0"
"21","236","1","0","1","0"
"22","237","1","0","9","0"
"24","274","1","1","1","0"
"25","275","1","1","3","0"
"26","276","1","1","16","0"
"27","278","1","1","5","0"
"28","278","1","1","4","0"
"29","279","1","1","19","0"
"30","280","1","1","9","0"
"31","281","1","1","10","0"
"32","282","1","1","6","0"
"33","283","1","1","7","0"
"34","284","1","1","8","0"
"35","285","24","0","1","0"
"36","286","24","0","3","0"
"37","287","24","0","16","0"
"38","675","24","0","5","0"
"39","289","24","0","4","0"
"40","290","24","0","19","0"
"41","291","24","0","9","0"
"42","292","24","0","10","0"
"43","293","24","0","6","0"
"44","294","24","0","7","0"
"45","295","24","0","8","0"
"46","285","25","0","1","0"
"47","286","25","0","3","0"
"48","287","25","0","16","0"
"49","675","25","0","5","0"
"50","289","25","0","4","0"
"51","290","25","0","19","0"
"52","291","25","0","9","0"
"53","292","25","0","10","0"
"54","293","25","0","6","0"
"55","294","25","0","7","0"
"56","295","25","0","8","0"
"57","285","26","0","1","0"
"58","286","26","0","3","0"
"59","287","26","0","16","0"
"60","675","26","0","5","0"
"61","289","26","0","4","0"
"62","290","26","0","19","0"
"63","291","26","0","9","0"
"64","292","26","0","10","0"
"65","293","26","0","6","0"
"66","294","26","0","7","0"
"67","295","26","0","8","0"
"68","298","24","1","1","0"
"69","299","24","1","3","0"
"70","300","24","1","16","0"
"71","676","24","1","5","0"
"72","302","24","1","4","0"
"73","303","24","1","19","0"
"74","304","24","1","9","0"
"75","305","24","1","10","0"
"76","306","24","1","6","0"
"77","307","24","1","7","0"
"78","308","24","1","8","0"
"79","298","25","1","1","0"
"80","299","25","1","3","0"
"81","300","25","1","16","0"
"82","676","25","1","5","0"
"83","302","25","1","4","0"
"84","303","25","1","19","0"
"85","304","25","1","9","0"
"86","305","25","1","10","0"
"87","306","25","1","6","0"
"88","307","25","1","7","0"
"89","308","25","1","8","0"
"90","298","26","1","1","0"
"91","299","26","1","3","0"
"92","300","26","1","16","0"
"93","676","26","1","5","0"
"94","302","26","1","4","0"
"95","303","26","1","19","0"
"96","304","26","1","9","0"
"97","305","26","1","10","0"
"98","306","26","1","6","0"
"99","307","26","1","7","0"
"100","308","26","1","8","0"
"101","309","22","0","1","0"
"102","310","22","0","3","0"
"103","311","22","0","16","0"
"104","313","22","0","5","0"
"105","313","22","0","4","0"
"106","314","22","0","19","0"
"107","315","22","0","9","0"
"108","316","22","0","10","0"
"109","317","22","0","6","0"
"110","318","22","0","7","0"
"111","319","22","0","8","0"
"112","320","22","1","1","0"
"113","321","22","1","3","0"
"114","322","22","1","16","0"
"115","324","22","1","5","0"
"116","324","22","1","4","0"
"117","325","22","1","19","0"
"118","326","22","1","9","0"
"119","327","22","1","10","0"
"120","328","22","1","6","0"
"121","329","22","1","7","0"
"122","330","22","1","8","0"
"123","331","11","0","1","0"
"124","332","11","0","3","0"
"125","333","11","0","16","0"
"126","677","11","0","5","0"
"127","335","11","0","4","0"
"128","336","11","0","19","0"
"129","337","11","0","9","0"
"130","338","11","0","10","0"
"131","339","11","0","6","0"
"132","340","11","0","7","0"
"133","341","11","0","8","0"
"134","342","11","1","1","0"
"135","343","11","1","3","0"
"136","345","11","1","16","0"
"137","348","11","1","5","0"
"138","348","11","1","4","0"
"139","349","11","1","19","0"
"140","350","11","1","9","0"
"141","352","11","1","10","0"
"142","355","11","1","6","0"
"143","356","11","1","7","0"
"144","358","11","1","8","0"
"145","363","3","0","1","0"
"146","364","3","0","3","0"
"147","365","3","0","16","0"
"148","367","3","0","5","0"
"149","367","3","0","4","0"
"150","368","3","0","19","0"
"151","369","3","0","9","0"
"152","370","3","0","10","0"
"153","371","3","0","6","0"
"154","372","3","0","7","0"
"155","373","3","0","8","0"
"156","374","3","1","1","0"
"157","375","3","1","3","0"
"158","376","3","1","16","0"
"159","378","3","1","5","0"
"160","378","3","1","4","0"
"161","379","3","1","19","0"
"162","380","3","1","9","0"
"163","381","3","1","10","0"
"164","382","3","1","6","0"
"165","383","3","1","7","0"
