Id,Unknown0,Unknown1_0,Unknown1_1,Unknown1_2,Unknown2_0,Unknown2_1,Unknown2_2,Unknown3_0,Unknown3_1,Unknown3_2,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8
"4","til","0","-0.04604984","-0.7105254","-2.474665","0","0","0","0","0","897","7","1","0","1"
"7","Test 123","-0.2417314","0.02681286","-1.053034","0","0","0","0","0","0","-1","7","-1","0","0"
"9","Tilt","-1.949586","0.01543986","0.5209966","-0.006705523","-0.05730704","0.5568096","3.450118","0","0","-1","7","-1","0","0"
"10","New Test","0","0.05263093","-0.1973684","1.099999","-0.6525","0","0","0","0","-1","7","-1","1","0"
"11","Test 15","-4.049202","-2.725177","-0.1337314","0.1645369","-0.003186848","0.002353489","0","0","0","-1","7","-1","0","0"
"14","Tilt 4","-2.123984","-0.7309858","0.6461643","0.1176936","0.08873368","0.6821032","3.450118","0","0","-1","7","-1","0","0"
"18","Test 18","-1.504949","2.455405","0.1870552","0.1622669","-0.006846827","0.1141122","0","0","0","-1","7","-1","0","0"
"19","Test 19","-1.111419","0.8759398","1.954513","0.1645369","-0.003186848","0.002353489","0","0","0","-1","7","-1","0","0"
"20","Test 20","-4.049202","-2.725177","-0.1337314","0.1645369","-0.003186848","0.002353489","0","0","0","-1","7","-1","0","0"
"21","Test 21","-2.16333","-0.2097859","0.5260799","0.02576783","-0.04568773","0.7571095","0","0","0","-1","7","-1","0","0"
"25","Test 22","2.528556","-0.0131571","0.5328948","0","-0.0131571","0.5328948","0","0","0","-1","7","-1","0","0"
"26","Test 1111","-1.85381","-0.9977316","0.3661267","0.4168492","0.3173045","0.002670348","0","0","0","-1","7","-1","0","0"
"33","Test th2","2.5","0.01973799","-1.375","-0.6400012","0","0","0","0","0","-1","9","-1","0","0"
"34","test th3","2.25","-0.1447367","-1.381579","0.4522668","0","0","0","0","0","-1","9","-1","0","0"
"35","test 161","0","-0.2368417","-0.9210529","-0.5175","0","0","0","0","0","-1","7","-1","0","0"
"36","test new","0","0","0","0","0","0","0","0","0","-1","7","-1","0","0"
"37","Test New deleteme","-1.949586","0.01543986","0.5209966","-0.006705523","-0.05730704","0.5568096","3.450118","0","0","-1","7","-1","0","0"
"42","Ashbringer Test","0","-0.006578575","-0.1973683","1.071945","-1.166926","0","0","0","0","-1","14","-1","0","0"
"43","Ashbringer Test 2","0.196258","-2.499013","-0.004578914","0.4078938","-0.04616412","0.04322588","1.4336","0","0","-1","14","-1","0","0"
