Id,Unknown0,Unknown1,Unknown2
"88","878877","1024","1024"
"103","904010","1024","1024"
"110","921230","512","256"
"111","922389","512","512"
"112","922390","512","256"
"114","922037","64","128"
"116","922034","128","128"
"117","922036","256","256"
"118","922035","32","32"
"120","929716","128","128"
"121","939608","512","256"
"122","939609","256","256"
"123","939604","512","1024"
"124","939605","512","512"
"125","939606","512","1024"
"126","939612","512","1024"
"127","939613","512","1024"
"128","939607","256","256"
"129","939610","256","256"
"130","939611","256","256"
"134","940508","256","256"
"135","940509","256","256"
"136","940510","256","256"
"140","940511","128","128"
"141","940512","128","128"
"142","940513","128","128"
"143","940514","256","256"
"144","940515","256","256"
"145","940516","256","256"
"146","940517","128","128"
"147","940518","128","128"
"148","940519","128","128"
"149","947347","128","256"
"150","952639","512","512"
"152","952657","1024","1024"
"153","952658","1024","256"
"154","952660","256","512"
"155","952659","256","256"
"156","952656","1024","512"
"157","952638","128","128"
"158","955768","1024","1024"
"159","953549","256","256"
"160","954006","256","256"
"161","954007","256","256"
"162","954008","256","256"
"163","955661","256","256"
"164","955662","256","256"
"165","955663","256","256"
"166","955664","256","128"
"167","955665","128","128"
"168","955666","128","128"
"169","955667","128","128"
"170","955668","128","128"
"171","955669","256","128"
"172","955672","256","256"
"173","955673","128","128"
"174","955674","256","256"
"175","955675","256","256"
"176","955676","128","128"
"177","955677","128","128"
"178","955678","256","256"
"179","955679","256","256"
"180","955680","256","256"
"181","955681","128","128"
"182","955682","128","128"
"183","955683","128","128"
"184","955762","128","128"
"185","955763","128","128"
"186","955764","128","128"
"187","955765","256","256"
"188","955766","256","256"
"189","955767","256","256"
"190","955769","256","256"
"191","955770","256","256"
"192","955771","256","256"
"193","955772","128","128"
"194","955773","128","128"
"195","955774","128","128"
"197","959719","256","512"
"198","962472","256","256"
"199","962479","16","32"
"200","969834","128","256"
"202","969828","256","256"
"203","984826","512","512"
"204","984835","256","256"
"208","973339","512","512"
"209","973338","128","256"
"213","974985","512","512"
"217","975752","32","32"
"220","997675","512","256"
"225","978201","512","1024"
"226","978202","512","1024"
"227","978203","512","1024"
"230","979307","128","256"
"236","985877","1024","1024"
"254","981401","256","256"
"255","981418","256","256"
"256","981428","256","256"
"257","981445","128","128"
"258","981447","128","128"
"259","981471","128","128"
"268","982840","1024","1024"
"269","982841","256","256"
"270","983017","256","256"
"271","983018","256","256"
"272","983019","256","256"
"273","983020","128","128"
"274","983021","128","128"
"275","983022","128","128"
"276","983024","256","512"
"277","983055","256","256"
"278","983056","256","256"
"279","983057","256","256"
"280","983058","128","128"
"281","983070","128","128"
"282","983071","128","128"
"283","983072","256","256"
"284","983073","128","128"
"285","983077","256","256"
"286","983078","256","256"
"287","983079","256","256"
"288","983080","128","128"
"289","983081","128","128"
"290","983082","128","128"
"291","983163","256","256"
"292","983164","256","256"
"293","983165","256","256"
"294","983166","128","128"
"295","983167","128","128"
"296","983168","128","128"
"297","983169","256","256"
"298","983170","128","128"
"299","983174","256","256"
"300","983175","256","256"
"301","983176","256","256"
"302","983177","128","128"
"303","983178","128","128"
"304","983179","128","128"
"307","984489","128","512"
"308","984952","512","512"
"309","1030382","32","64"
"310","986189","128","128"
"314","999232","32","64"
"319","1019184","128","512"
"320","1019181","1024","512"
"321","1019182","1024","512"
"322","1019183","1024","512"
"323","1000173","512","512"
"324","1000176","256","256"
"330","1001820","512","1024"
"331","1001822","512","1024"
"332","1005293","256","1024"
"333","1003737","256","512"
"334","1005292","512","512"
"335","1005297","1024","1024"
"336","1006680","256","256"
"337","1006681","256","256"
"338","1006682","256","256"
"339","1006683","128","128"
"340","1006684","128","128"
"341","1006685","128","128"
"342","1006826","256","256"
"343","1006827","256","256"
"344","1006828","256","256"
"345","1006829","128","128"
"346","1006830","128","128"
"347","1006831","128","128"
"348","1006892","256","256"
"349","1006893","256","256"
"350","1006894","256","256"
"351","1006895","128","128"
"352","1006896","128","128"
"353","1006897","128","128"
"354","1006898","256","256"
"355","1006899","256","256"
"356","1006900","256","256"
"357","1006901","128","128"
"358","1006902","128","128"
"359","1006903","128","128"
"360","1008379","256","256"
"361","1008380","256","256"
"362","1008390","256","256"
"363","1008401","128","128"
"364","1008438","128","128"
"365","1008441","128","128"
"366","1008507","256","256"
"367","1008510","256","256"
"368","1008533","256","256"
"369","1008540","128","128"
"370","1008541","128","128"
"371","1008542","128","128"
"372","1008903","256","256"
"373","1008904","256","256"
"374","1008905","256","256"
"375","1008906","128","128"
"376","1008907","128","128"
"377","1008908","128","128"
"378","1009085","256","256"
"379","1009088","256","256"
"380","1009089","256","256"
"381","1009090","128","128"
"382","1009091","128","128"
"383","1009100","128","128"
"391","1014504","256","256"
"392","1014508","256","256"
"393","1014511","256","256"
"394","1015633","256","256"
"395","1015634","128","128"
"396","1015750","1024","1024"
"397","1015751","1024","1024"
"398","1015756","1024","1024"
"399","1015758","1024","1024"
"400","1015775","1024","1024"
"401","1015791","1024","1024"
"402","1015889","1024","1024"
"403","1016194","1024","1024"
"404","1016661","256","256"
"405","1016662","128","128"
"406","1016663","256","256"
"407","1016664","256","256"
"408","1016665","128","128"
"409","1016666","128","128"
"410","1016667","256","256"
"411","1016668","256","256"
"412","1016669","256","256"
"413","1016670","128","128"
"414","1016671","128","128"
"415","1016672","128","128"
"416","1016997","256","256"
"417","1016998","256","256"
"418","1016999","256","256"
"419","1017000","128","128"
"420","1017001","128","128"
"421","1017003","128","128"
"423","1017437","256","256"
"424","1017438","256","256"
"425","1017439","256","256"
"426","1017440","128","128"
"427","1017441","128","128"
"429","1017443","128","128"
"430","1017452","256","256"
"431","1017453","256","256"
"432","1017454","256","256"
"433","1017455","128","128"
"434","1017456","128","128"
"435","1017457","128","128"
"437","1018853","256","256"
"438","1018856","256","256"
"439","1018857","256","256"
"440","1018858","128","128"
"441","1018859","128","128"
"442","1018860","128","128"
"443","1019055","256","256"
"444","1019056","256","256"
"445","1019057","256","256"
"446","1019058","128","128"
"447","1019059","128","128"
"448","1019060","128","128"
"449","1019124","256","256"
"450","1019125","256","256"
"451","1019126","256","256"
"452","1019127","128","128"
"453","1019128","128","128"
"454","1019129","128","128"
"455","1019132","256","256"
"456","1019133","256","256"
"457","1019134","256","256"
"458","1019135","128","128"
"459","1019136","128","128"
"460","1019137","128","128"
