Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6
"2009","MainPet-PetFamilyFrame","88","881","915","987","1021","0"
"2010","Timer-Frame","88","521","860","671","688","0"
"2011","MainPet-HealthBarBG","88","743","898","767","814","0"
"2012","Timer-BG","88","521","994","644","671","0"
"2014","BackupPet-DeadFrame","88","943","990","853","900","0"
"2015","MainPet-HealthBarFrame","88","217","372","880","927","0"
"2016","Start-VersusSplash","88","0","217","644","856","0"
"2017","BackupPet-Frame","88","950","997","970","1017","0"
"2019","BattleHUD-Top","88","0","574","395","513","0"
"2021","BattleBar-ButtonBG-EndCap","88","27","51","856","934","0"
"2022","BattleBar-SwapPetFrame-DeadIcon","88","915","948","987","1020","0"
"2023","MainPet-HealthBarFill","88","406","551","913","950","0"
"2024","BattleBar-EndCap","88","551","678","853","978","0"
"2026","BattleBar-Button-Highlight","88","788","881","918","1011","0"
"2029","BattleBar-SwapPetFrame","88","551","743","767","853","0"
"2030","Timer-Fill","88","521","860","688","705","0"
"2031","BattleBar-SwapPetIcon","88","724","768","962","1004","0"
"2034","MainPet-Frame","88","678","788","853","962","0"
"2035","BattleBar-Countdown-Shadow","88","950","1003","918","970","0"
"2036","BattleBar-ButtonBG-Divider","88","0","27","856","937","0"
"2037","BattleBar-SwapPetShadow","88","406","551","767","913","0"
"2038","BattleBar-SwapPetFrame-Highlight","88","217","386","927","969","0"
"2040","MainPet-PetFamilyActivate","88","678","724","962","1008","0"
"2041","MainPet-LevelBubble","88","997","1021","970","994","0"
"2042","BattleHUD-Versus","88","788","943","853","918","0"
"2043","_BattleBar-ButtonBGMid","88","0","256","124","202","4"
"2044","_BattleBar-Mid","88","0","256","0","124","4"
"2102","BackArrow-Brown","103","486","495","877","894","0"
"2105","MapCornerShadow-Left","103","290","472","845","875","0"
"2106","MapCornerShadow-Right","103","290","336","899","952","0"
"2107","NoQuestsBackground","103","1","288","1","465","0"
"2108","OptionsIcon-Brown","103","468","484","877","893","0"
"2109","QuestCollapse-Hide-Down","103","290","322","954","986","0"
"2110","QuestCollapse-Hide-Up","103","390","422","899","931","0"
"2111","QuestCollapse-Show-Down","103","338","370","978","1010","0"
"2112","QuestCollapse-Show-Up","103","338","370","944","976","0"
"2113","QuestDetails-RewardsBottomOverlay","103","290","577","797","843","0"
"2114","QuestDetails-RewardsOverlay","103","290","577","467","742","0"
"2115","QuestDetails-TopOverlay","103","290","577","744","795","0"
"2116","QuestDetailsBackgrounds","103","1","288","467","931","0"
"2117","QuestionMarkContinent-Icon","103","265","285","962","989","0"
"2118","QuestionMarkContinent-IconHighlight","103","265","285","933","960","0"
"2119","QuestLogBackground","103","290","577","1","465","0"
"2120","StoryHeader-BG","103","1","263","933","1010","0"
"2121","StoryHeader-CheevoIcon","103","338","388","899","942","0"
"2122","StoryHeader-Shadow","103","1","253","1012","1021","0"
"2123","TaskPOI-Icon","103","447","466","877","896","0"
"2124","TaskPOI-IconHighlight","103","426","445","877","896","0"
"2125","TaskPOI-IconSelect","103","265","284","991","1010","0"
"2126","UI-OuterBorderButtonPatch","103","390","408","967","989","0"
"2127","UI-SquareButtonBrown-Down","103","390","422","933","965","0"
"2128","UI-SquareButtonBrown-Up","103","290","322","988","1020","0"
"2130","QuestItemBorder-Small","103","290","424","877","897","0"
"2131","QuestItemBorder","103","474","576","845","875","0"
"2158","Talent-Separator","110","1","69","328","378","0"
"2159","Talent-BottomLeftCurlies","110","124","189","104","159","0"
"2160","Talent-Highlight","110","1","201","226","279","0"
"2161","Talent-TopRightCurlies","110","191","255","104","159","0"
"2162","Talent-TopLeftCurlies","110","191","254","161","216","0"
"2164","Talent-Background","110","0","32","1","44","4"
"2165","Talent-Selection","110","1","191","281","326","0"
"2166","Talent-RingWithDot","110","1","122","104","224","0"
"2167","Talent-BottomRightCurlies","110","124","189","161","216","0"
"2168","PetJournal-BattleSlot-Active","111","1","405","174","280","0"
"2169","PetJournal-BattleSlot-Locked","111","1","405","282","388","0"
"2170","PetJournal-PetCard-BG","111","1","409","1","172","0"
"2172","PetJournal-BattleSlotFrame-Corner","112","238","255","98","115","0"
"2173","PetJournal-ExpBar-Left","112","238","249","130","141","0"
"2175","PetJournal-BattleSlotTitle-Right","112","1","41","330","370","0"
"2176","PetJournal-ExpBar-Background","112","238","249","117","128","0"
"2177","PetJournal-PetBattleAchievementGlow","112","1","236","98","147","0"
"2179","PetJournal-HealthBar-Left","112","167","178","214","221","0"
"2180","PetJournal-PetCard-Abilities","112","1","58","223","328","0"
"2182","PetJournal-BattleSlot-AbilityBorder","112","1","34","372","405","0"
"2183","PetJournal-ExpBar-Divider","112","238","245","149","156","0"
"2184","PetJournal-ExpBar-Right","112","154","165","205","216","0"
"2185","PetJournal-BattleSlot-IconBorder","112","141","194","149","203","0"
"2187","PetJournal-LevelBubble","112","36","57","372","393","0"
"2188","PetJournal-ExpBar-Mid","112","141","152","205","216","0"
"2189","PetJournal-PetBattleAchievementBG","112","196","246","191","213","0"
"2191","PetJournal-BattleSlot-Shadow","112","1","139","149","221","0"
"2192","PetJournal-BattleSlotTitle-Left","112","196","236","149","189","0"
"2193","PetJournal-HealthBar-Mid","112","180","191","205","212","0"
"2194","PetJournal-HealthBar-Right","112","180","191","214","221","0"
"2195","PetJournal-HealthBar-Background","112","167","178","205","212","0"
"2198","_BattleSlotTitle-BG","112","0","64","43","67","4"
"2199","_BattleSlotFrame-Top","112","0","64","69","85","4"
"2200","_BattleSlotFrame-Divider","112","0","64","87","96","4"
"2201","_BattleSlotTitle-Mid","112","0","64","1","41","4"
"2233","MountJournalIcons-Alliance","114","1","47","1","45","0"
"2234","MountJournalIcons-Horde","114","49","95","1","45","0"
"2240","_Talent-blue-glow","110","0","16","46","62","4"
"2241","_Talent-Bottom-Tile","110","0","64","97","102","4"
