Id,Unknown0_0,Unknown0_1,Unknown0_2,Unknown0_3,Unknown0_4,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6
"1","textures\BloodSplats\BloodSplatRed01","textures\BloodSplats\BloodSplatRed02","textures\BloodSplats\BloodSplatRed03","textures\BloodSplats\BloodSplatRed04","","58821","58822","58823","71932","71367","71931"
"2","textures\BloodSplats\BloodSplatGreen01","textures\BloodSplats\BloodSplatGreen02","textures\BloodSplats\BloodSplatGreen03","textures\BloodSplats\BloodSplatGreen04","","58824","58825","58826","71941","71939","71938"
"3","textures\BloodSplats\BloodSplatBlack01","textures\BloodSplats\BloodSplatBlack02","textures\BloodSplats\BloodSplatBlack03","textures\BloodSplats\BloodSplatBlack04","","58827","58828","58829","71934","71921","71933"
"4","","","","","","0","0","0","0","0","0"
"5","textures\BloodSplats\BloodSplatRed01","textures\BloodSplats\BloodSplatRed02","textures\BloodSplats\BloodSplatRed03","textures\BloodSplats\BloodSplatRed04","","61430","61432","61431","0","0","0"
"6","textures\BloodSplats\BloodSplatRed01","textures\BloodSplats\BloodSplatRed02","textures\BloodSplats\BloodSplatRed03","textures\BloodSplats\BloodSplatRed04","","61427","61429","61428","69224","69225","69226"
"7","textures\BloodSplats\BloodSplatRed01","textures\BloodSplats\BloodSplatRed02","textures\BloodSplats\BloodSplatRed03","textures\BloodSplats\BloodSplatRed04","","61448","61450","61449","72125","72127","72126"
"8","textures\BloodSplats\BloodSplatRed01","textures\BloodSplats\BloodSplatRed02","textures\BloodSplats\BloodSplatRed03","textures\BloodSplats\BloodSplatRed04","","61454","61456","61455","72131","72133","72132"
"9","textures\BloodSplats\BloodSplatRed01","textures\BloodSplats\BloodSplatRed02","textures\BloodSplats\BloodSplatRed03","textures\BloodSplats\BloodSplatRed04","","61457","61459","61458","72135","72137","72136"
"10","textures\BloodSplats\BloodSplatRed01","textures\BloodSplats\BloodSplatRed02","textures\BloodSplats\BloodSplatRed03","textures\BloodSplats\BloodSplatRed04","","61433","61435","61434","72070","72072","72071"
"11","textures\BloodSplats\BloodSplatRed01","textures\BloodSplats\BloodSplatRed02","textures\BloodSplats\BloodSplatRed03","textures\BloodSplats\BloodSplatRed04","","61451","61453","61452","72128","72130","72129"
"12","textures\BloodSplats\BloodSplatRed01","textures\BloodSplats\BloodSplatRed02","textures\BloodSplats\BloodSplatRed03","textures\BloodSplats\BloodSplatRed04","","61422","61423","61421","72056","72061","72060"
"13","textures\BloodSplats\BloodSplatRed01","textures\BloodSplats\BloodSplatRed02","textures\BloodSplats\BloodSplatRed03","textures\BloodSplats\BloodSplatRed04","","61436","61438","61437","72115","72117","72116"
"14","textures\BloodSplats\BloodSplatRed01","textures\BloodSplats\BloodSplatRed02","textures\BloodSplats\BloodSplatRed03","textures\BloodSplats\BloodSplatRed04","","61439","61441","61440","72118","72121","72120"
"15","textures\BloodSplats\BloodSplatRed01","textures\BloodSplats\BloodSplatRed02","textures\BloodSplats\BloodSplatRed03","textures\BloodSplats\BloodSplatRed04","","61425","61426","61424","72059","72063","72062"
"16","textures\BloodSplats\BloodSplatRed01","textures\BloodSplats\BloodSplatRed02","textures\BloodSplats\BloodSplatRed03","textures\BloodSplats\BloodSplatRed04","","61388","61389","61390","71947","71946","71945"
"17","textures\BloodSplats\BloodSplatRed01","textures\BloodSplats\BloodSplatRed02","textures\BloodSplats\BloodSplatRed03","textures\BloodSplats\BloodSplatRed04","","61386","61385","61387","71951","71950","71949"
"18","textures\BloodSplats\BloodSplatRed01","textures\BloodSplats\BloodSplatRed02","textures\BloodSplats\BloodSplatRed03","textures\BloodSplats\BloodSplatRed04","","61420","61419","61418","72055","72054","72053"
"19","textures\BloodSplats\BloodSplatRed01","textures\BloodSplats\BloodSplatRed02","textures\BloodSplats\BloodSplatRed03","textures\BloodSplats\BloodSplatRed04","","61442","61444","61443","72122","72124","72123"
"20","","","","","","0","0","0","0","0","0"
"21","","","","","","0","0","0","0","0","0"
