Id,Unknown0_0,Unknown0_1,Unknown0_2,Unknown0_3,Unknown0_4,Unknown0_5,Unknown0_6,Unknown0_7,Unknown1,Unknown2_0,Unknown2_1,Unknown2_2,Unknown2_3,Unknown2_4,Unknown2_5,Unknown2_6,Unknown2_7,Unknown3_0,Unknown3_1,Unknown3_2,Unknown3_3,Unknown3_4,Unknown3_5,Unknown3_6,Unknown3_7
"1","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
"2","0","1","0","0","0","0","0","0","0","53","44","0","0","0","0","0","0","1","5","0","0","0","0","0","0"
"21","7","13","0","0","0","0","0","0","1","22","22","0","0","0","0","0","0","1","1","0","0","0","0","0","0"
"22","0","0","0","0","0","0","0","0","0","42","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"23","40","60","0","0","0","0","0","0","0","12","13","0","0","0","0","0","0","3","5","0","0","0","0","0","0"
"42","50","0","0","0","0","0","0","0","0","12","43","7","54","0","0","0","0","5","1","1","1","0","0","0","0"
"43","10","0","0","0","0","0","0","0","0","14","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0"
"44","1","1","0","0","0","0","0","0","0","38","40","0","0","0","0","0","0","1","1","0","0","0","0","0","0"
"46","20","0","0","0","0","0","0","0","0","14","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0"
"47","90","10","0","0","0","0","0","0","0","12","14","0","0","0","0","0","0","5","3","0","0","0","0","0","0"
"48","0","0","0","0","0","0","0","0","0","16","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
"81","1","0","0","0","0","0","0","0","0","44","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
"101","3","0","0","0","0","0","0","0","0","21","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"102","1","0","0","0","0","0","0","0","0","21","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"103","1","0","0","0","0","0","0","0","0","38","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"104","75","0","0","0","0","0","0","0","0","12","76","0","0","0","0","0","0","3","1","0","0","0","0","0","0"
"121","50","30","0","0","0","0","0","0","0","12","39","0","0","0","0","0","0","3","4","0","0","0","0","0","0"
"122","95","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0"
"141","0","0","0","0","0","0","0","0","0","54","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
"142","0","0","0","0","0","0","0","0","0","37","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
"143","5","0","0","0","0","0","0","0","0","41","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
"144","20","0","0","0","0","0","0","0","0","12","54","0","0","0","0","0","0","3","5","0","0","0","0","0","0"
"145","4","0","0","0","0","0","0","0","0","21","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"146","0","0","0","0","0","0","0","0","0","26","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
"147","1","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"148","0","0","0","0","0","0","0","0","0","28","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
"149","0","0","0","0","0","0","0","0","0","27","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
"150","1","0","0","0","0","0","0","0","0","18","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"151","0","0","0","0","0","0","0","0","0","24","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
"152","5","10","1","0","0","0","0","0","1","22","22","22","0","0","0","0","0","1","1","1","0","0","0","0","0"
"161","0","0","0","0","0","0","0","0","1","26","28","27","0","0","0","0","0","5","5","5","0","0","0","0","0"
"162","0","0","0","0","0","0","0","0","0","53","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"163","0","75","0","0","0","0","0","0","0","53","12","0","0","0","0","0","0","1","3","0","0","0","0","0","0"
"164","0","75","0","0","0","0","0","0","0","53","13","0","0","0","0","0","0","1","3","0","0","0","0","0","0"
"165","1","25","0","0","0","0","0","0","0","5","12","0","0","0","0","0","0","1","3","0","0","0","0","0","0"
"166","0","20","0","0","0","0","0","0","0","53","12","0","0","0","0","0","0","1","5","0","0","0","0","0","0"
"167","0","1","25","0","0","0","0","0","0","53","44","12","0","0","0","0","0","1","5","5","0","0","0","0","0"
"168","50","30","0","0","0","0","0","0","0","12","13","0","0","0","0","0","0","5","3","0","0","0","0","0","0"
"169","1","5","0","0","0","0","0","0","0","6","12","0","0","0","0","0","0","1","3","0","0","0","0","0","0"
"170","1","3","4","0","0","0","0","0","1","21","21","21","0","0","0","0","0","1","1","1","0","0","0","0","0"
"172","0","0","0","0","0","0","0","0","0","31","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"173","6","1","20","0","0","0","0","0","0","56","42","39","0","0","0","0","0","1","1","3","0","0","0","0","0"
"175","5","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0"
"176","3","4","0","0","0","0","0","0","1","21","21","0","0","0","0","0","0","1","1","0","0","0","0","0","0"
"177","0","0","0","0","0","0","0","0","0","64","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
"179","75","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
"180","30","0","0","0","0","0","0","0","0","12","54","0","0","0","0","0","0","3","5","0","0","0","0","0","0"
"181","10","10","0","0","0","0","0","0","0","12","24","0","0","0","0","0","0","3","5","0","0","0","0","0","0"
"182","75","1","0","0","0","0","0","0","0","12","57","0","0","0","0","0","0","3","1","0","0","0","0","0","0"
"201","6","0","0","0","0","0","0","0","0","56","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"202","50","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0"
"221","20","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0"
"222","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"241","2","0","0","0","0","0","0","0","0","21","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"242","50","20","0","0","0","0","0","0","0","12","39","0","0","0","0","0","0","3","4","0","0","0","0","0","0"
"243","6","20","0","0","0","0","0","0","0","56","39","0","0","0","0","0","0","1","3","0","0","0","0","0","0"
"281","17","1","14","0","0","0","0","0","1","22","22","22","0","0","0","0","0","1","1","1","0","0","0","0","0"
"301","1","0","0","0","0","0","0","0","0","57","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"321","0","0","0","0","0","0","0","0","0","59","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
"341","50","0","0","0","0","0","0","0","0","12","5","0","0","0","0","0","0","5","1","0","0","0","0","0","0"
"361","0","0","0","0","0","0","0","0","0","37","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
