Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16,Unknown17,Unknown18_0,Unknown18_1,Unknown19,Unknown20,Unknown21_0,Unknown21_1,Unknown22,Unknown23,Unknown24_0,Unknown24_1,Unknown24_2,Unknown24_3,Unknown24_4,Unknown24_5,Unknown24_6,Unknown24_7,Unknown25,Unknown26_0,Unknown26_1,Unknown26_2,Unknown27,Unknown28
"1","532087","1.047","0.5236","-0.6981","1.396","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","121","201","0","0","0","0","0","0","0","0","0","0"
"6","1074266126","1.000074","3.141593","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","441","0","0","0","0","0","0","0","0","0","0","0"
"7","1074266541","0.7854","0","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","541","0","0","0","0","0","0","0","0","0","0","0"
"8","1075372040","3.141593","3.141593","-0.5235988","0.7853982","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","261","461","0","0","0","0","0","0","0","0","0","0"
"14","524291","1.047","1.047","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","203","0","0","0","0","0","0","0","0","0","0","0"
"16","524327","1.047","1.047","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","281","0","0","0","0","0","0","0","0","0","0","0"
"17","524288","1.047","1.047","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","141","0","0","0","0","0","0","0","0","0","0","0"
"21","524288","1.047","1.047","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","202","0","0","0","0","0","0","0","0","0","0","0"
"22","1074323458","1.047","1.047","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","221","0","0","0","0","0","0","0","0","0","0","0"
"23","524288","1.047","1.047","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","241","0","0","0","0","0","0","0","0","0","0","0"
"24","1091051127","1.047","0.5236","-0.1745","1.484","0","0.9","1.3","0","0","0","1","2","3","0.67","4","0.2","6","7","0","Interface\Vehicles\Arrow.blp","","Interface\Vehicles\Vehicle_Target_01.mdx","Interface\Vehicles\Vehicle_Target_02.mdx","7","0","305","1773","1774","0","0","0","0","0","0","0","0","0","0","0"
"25","1074266112","1.047198","1.047198","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","341","0","0","0","0","0","0","0","0","0","0","0"
"26","1192060535","3.142","1.571","-0.6981","0.7854","0.523599","1","1.5","0","0","0","1.5","1.5","1","1","0.5","0.5","1.6","10","1","SPELLS\TEXTURES\Target_Line.blp","SPELLS\TEXTURES\Reticle_BrightGround.blp","Interface\Vehicles\Vehicle_Target_02.mdx","","1","0","365","366","367","368","0","0","0","0","0","0","0","0","0","0"
"27","528423","1.047","1.047","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","381","382","383","384","481","482","483","0","0","0","0","0"
"28","524288","1.047","1.047","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","411","412","413","414","415","416","417","0","0","0","0","0"
"29","1074307072","1.047198","1.047198","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","422","0","0","0","0","0","0","0","0","0","0","0"
"30","524288","1.047","1.047","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","502","0","0","0","0","0","0","0","0","0","0","0"
"31","524320","0.1745","1.047","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","522","0","0","0","0","0","0","0","0","0","0","0"
"32","235738231","1.047","1.047","-0.6981","1.396","0.785398","1","1.5","0.261799","0","0","1.5","1.5","1","1","0.5","0.5","1.6","8","0","Arrow.tga","Textures\UnitSelectTexture.blp","","","0","8","38906","15812","561","701","0","0","0","0","0","0","0","0","0","0"
"33","524288","1.047","1.047","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","581","0","0","0","0","0","0","0","0","0","0","0"
"34","8","3.142","5.236","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","601","0","0","0","0","0","0","0","0","0","0","0"
"35","524288","1.047","1.047","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","621","0","0","0","0","0","0","0","0","0","0","0"
"36","1082946675","1.571","1.047","0","1.047","0.785398","1","1.5","0.261799","0","0","1.5","1.5","1","1","0.5","0.5","1.6","1","1","Spells\Textures\Target_Line.blp","","Interface\Vehicles\Vehicle_Target_01.mdx","","1","0.095993","644","0","0","0","0","0","0","0","0","0","0","0","0","0"
