Id,Unknown0,Unknown1,Unknown2,Unknown3_0,Unknown3_1,Unknown3_2,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16,Unknown17,Unknown18,Unknown19,Unknown20,Unknown21,Unknown22,Unknown23,Unknown24,Unknown25,Unknown26,Unknown27_0,Unknown27_1,Unknown27_2,Unknown28,Unknown29,Unknown30,Unknown31,Unknown32,Unknown33,Unknown34,Unknown35,Unknown36,Unknown37,Unknown38,Unknown39,Unknown40,Unknown41,Unknown42,Unknown43,Unknown44,Unknown45,Unknown46,Unknown47,Unknown48,Unknown49,Unknown50,Unknown51,Unknown52,Unknown53,Unknown54,Unknown55,Unknown56,Unknown57,Unknown58,Unknown59,Unknown60
"121","33621015","0","0","0","0","-0.38","0","7","19.29","0","1","0","4","0","7","19.29","0","1","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","534043","37","38","-1","102","128","123","37","38","39","-1","-1","-1","0","0","0","0","0","0","0","0","-1","-1","-1","-1","1","0","0"
"141","33554434","0","0","-0.15","-0.3","0.25","0","7","19.29","0","1","0","4","0","7","19.29","0","1","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","534043","37","38","96","97","97","97","37","38","39","-1","-1","-1","0","0","0","0","0","0","0","1","-1","-1","-1","-1","1","0","0"
"201","33619985","0","0","0","0.3","0","0","7","19.29","0","1","0","4","0","7","19.29","0","1","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","534043","37","38","-1","102","128","123","37","38","39","-1","-1","-1","0","0","0","0","0","0","0","2","-1","-1","-1","-1","1","0","0"
"202","33554439","0","0","0","0","0","0","7","19.29","0","1","0","4","0","7","19.29","0","1","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","534043","37","38","97","97","97","97","37","38","39","-1","-1","-1","0","0","0","0","0","0","0","5","-1","-1","-1","-1","1","0","0"
"203","33587209","0","0","0","0","0","0","7","19.29","0","1","0","4","0","7","19.29","0","1","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","534043","37","38","-1","102","128","123","37","38","39","-1","-1","-1","0","0","0","0","0","0","0","2","-1","-1","-1","-1","1","0","0"
"221","1645251080","0","0","0","0","0","0","7","19.29","0","1","0","4","0","7","19.29","0","1","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","534041","37","38","-1","102","128","123","37","38","39","-1","-1","-1","0","0","0","0","0","0","0","2","-1","-1","-1","-1","1","0","0"
"241","33587215","0","0","0","0","-1.5","0","7","19.29","0","1","0","4","0","7","19.29","0","1","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","534043","37","38","14","14","14","14","37","38","39","-1","-1","-1","0","0","0","0","0","0","0","3","-1","-1","-1","-1","1","0","0"
"261","1645283347","0","0","0","0","0","0","7","19.29","0","1","0","4","0","7","19.29","0","1","0","4","0","0","0","0","0","0","0","0","0","0","0","1.15","0","0","0","0","0","534041","37","38","-1","91","128","123","37","38","39","-1","-1","-1","0","0","0","0","0","0","0","21","-1","-1","-1","-1","1","0","0"
"281","33587849","0","0","0","0","0","0","7","19.29","0","1","0","4","0","7","19.29","0","1","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","534043","37","38","-1","102","128","123","37","38","39","-1","-1","-1","0","0","0","0","0","0","0","2","-1","-1","-1","-1","1","0","0"
"305","1192306699","0","0","0","0","0","0","7","19.29","0.6","1","1.5","4","0","7","19.29","0.6","1.2","1.5","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","534043","-1","-1","-1","5","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","1","0","0"
