Id,Unknown0,Unknown1,Unknown2,Unknown3
"221","0.504","0.778","221","1"
"222","0.693","0.293","221","2"
"223","0.5","0.802","222","1"
"224","0.705","0.347","222","2"
"225","0.307","0.345","222","3"
"226","0.501","0.14","223","1"
"227","0.698","0.799","223","2"
"228","0.303","0.799","223","3"
"229","0.5","0.578","223","4"
"230","0.653","0.712","224","1"
"231","0.348","0.76","225","1"
"232","0.652","0.76","225","2"
"233","0.508","0.681","226","1"
"234","0.663","0.71","226","2"
"235","0.5","0.229","227","1"
"236","0.5","0.601","227","4"
"237","0.505","0.387","228","1"
"238","0.505","0.563","228","2"
"242","0.5","0.55","249","1"
"257","0.5","0.229","254","1"
"259","0.5","0.601","254","4"
"679","0.247","0.67","489","1"
"681","0.754","0.67","489","2"
