Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6
"4","Vignette Test Kill","0","0","89","0","18071","0"
"5","Vignette Test Loot","0","0","108","0","18071","0"
"9","Vignette Test Event","0","0","90","3","10345","0"
"10","Starcrusher Roghash","0","0","89","0","22188","0"
"11","Farah Treasure Walker","0","0","88","0","22189","0"
"12","Captured Draenei","0","0","89","0","22190","0"
"13","The Voidseer","0","0","89","0","22191","0"
"14","Uraka","0","0","89","0","22192","0"
"15","Synodicus","0","0","89","0","22193","0"
"16","Embaari Defense Crystal","0","0","90","0","22194","0"
"17","Mysterious Void","0","0","90","0","22196","0"
"18","The Obliterator","0","0","89","0","22197","0"
"19","Prophecy of Jerrikar","0","0","89","0","22198","0"
"20","Prophecy of Kraator","0","0","89","0","22199","0"
"21","Prophecy of the Warp-Watcher","0","0","89","0","22200","0"
"22","Obliterator Construction","0","0","89","0","22201","0"
"23","Leaf-Reader Kurri","0","0","89","0","22202","0"
"24","Iron Chain Treasure","0","0","88","0","22203","0"
"25","Hygrocybe","0","0","89","0","22205","0"
"26","Rockhoof","0","0","89","0","22206","0"
"27","Talby","0","0","90","0","22213","0"
"28","Shadow Mountain Treasure","0","0","88","0","22215","0"
"29","Bergzoid","0","0","89","0","22216","0"
"30","Yggdrel","0","0","89","0","22217","33389"
"33","Bloodtip","0","0","89","0","19147","0"
"34","Cracklefang","0","0","89","0","0","0"
"35","Vicejaw","0","0","89","0","0","0"
"36","Quid","0","0","89","0","0","0"
"37","Aetha","0","0","89","0","0","0"
"38","Spirit of Lao-Fe","0","0","89","0","0","0"
"39","Bai'Jin the Butcher","0","0","89","0","0","0"
"40","Gochao the Ironfist","0","0","89","0","19146","0"
"41","Gaohun the Soul-Severer","0","0","89","0","19147","0"
"42","General Temuja","0","0","89","0","0","0"
"43","Shadowmaster Sydow","0","0","89","0","0","0"
"44","Wulon","0","0","89","0","0","0"
"45","Huo-Shuang","0","0","89","0","19147","0"
"46","Baolai the Immolator","0","0","89","0","0","0"
"47","Vyraxxis","0","0","89","0","0","0"
"48","Kri'chon","0","0","89","0","0","0"
"49","Really Skunky Beer","50","-50","90","0","0","0"
"50","Zesqua","50","-50","89","0","0","0"
"51","Sunken Treasure","50","-50","88","0","22051","0"
"52","Zarhym Altogether","50","-50","90","0","22056","0"
"53","Cranegnasher","50","-50","89","0","0","0"
"54","Blackguard's Jetsam","50","0","88","0","22347","0"
"55","Kukuru's Treasure Cache","50","-50","88","0","0","0"
"56","Rope-Bound Treasure Chest","0","-30","88","8","0","0"
"57","Gleaming Treasure Chest","0","-50","88","8","0","0"
