Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown14
"11550","4294967295","","1175","0","0","0","0","0","675","0","0","11","0","0"
"11552","4294967295","","657","0","0","0","0","0","675","0","0","11","0","0"
"11553","23","","657","50","0","0","0","0","675","0","75","0","0","0"
"11554","24","","657","50","0","0","0","0","675","0","75","0","0","0"
"11555","25","","657","50","0","0","0","0","675","0","75","0","0","0"
"11556","26","","657","0","0","0","0","0","675","0","0","0","0","0"
"11557","4294967295","","660","0","0","0","0","0","675","0","0","11","0","0"
"11558","27","","660","0","0","0","0","0","675","0","0","0","0","0"
"11559","4294967295","","653","50","204","0","0","0","675","0","75","11","0","0"
"11560","28","","653","0","0","0","0","0","675","0","0","0","0","0"
"11561","29","","653","50","0","0","0","0","675","0","0","0","0","0"
"11562","30","","653","50","0","0","0","0","675","0","75","0","0","0"
"11563","31","","653","50","0","0","0","0","675","0","75","0","0","0"
"11564","4294967295","","665","0","0","0","0","0","675","0","0","11","0","0"
"11565","32","","665","0","0","0","0","0","675","0","0","0","4","0"
"11566","4294967295","","668","50","204","0","0","0","675","0","75","11","0","0"
"11570","36","","668","0","0","0","0","0","675","0","0","0","0","0"
"11572","4294967295","","671","0","0","0","0","0","675","0","0","11","0","0"
"11573","38","","671","0","0","0","0","0","675","0","0","0","0","0"
"11574","39","","671","50","0","0","0","0","675","0","0","0","0","0"
"11575","40","","671","0","0","0","0","0","675","0","0","0","0","0"
"11576","4294967295","","674","629","204","0","0","0","675","0","0","11","0","0"
"11577","41","","674","50","0","0","0","0","675","0","75","0","0","0"
"11578","42","","674","0","0","0","0","0","675","0","0","0","0","0"
"11579","4294967295","","677","0","0","0","0","0","675","0","0","11","0","0"
"11580","43","","677","50","0","0","0","0","675","0","0","0","0","0"
"11581","44","","677","50","0","0","0","0","675","0","0","0","0","0"
"11582","4294967295","","63","0","0","0","0","0","675","0","0","11","0","0"
"11583","45","","63","0","0","0","0","0","675","0","0","0","0","0"
"11584","4294967295","","64","0","0","0","0","0","675","0","0","11","0","0"
"11585","46","","64","0","0","0","0","0","675","0","0","0","0","0"
"11586","4294967295","Ahn'Qiraj","1178","150","249","0","3428","0","675","0","75","11","0","0"
"11587","47","","1178","354","0","0","3428","0","675","0","0","0","4","0"
"11589","49","","1178","354","0","0","3428","0","675","0","0","0","4","0"
"11595","55","","1178","0","0","0","3428","0","675","0","0","0","4","0"
"11596","56","","1178","0","0","0","3428","0","675","0","0","0","4","0"
"11597","57","","1178","0","0","0","3428","0","675","0","0","0","4","0"
"11607","67","","1178","0","0","0","3428","0","675","0","0","0","4","0"
"11609","69","","1178","0","0","0","3428","0","675","0","0","0","4","0"
"11611","71","","1178","0","0","0","3428","0","675","0","0","0","4","0"
"11612","72","","1178","0","0","0","3428","0","675","0","0","0","4","0"
"11614","74","","1178","0","0","0","3428","0","675","0","0","0","4","0"
"11615","75","","1178","0","0","0","3428","0","675","0","0","0","4","0"
"11616","76","","1178","0","0","0","3428","0","675","0","0","0","4","0"
"11617","77","","1178","0","0","0","3428","0","675","0","0","0","4","0"
"11621","81","","1178","354","0","469","3428","0","675","0","0","0","4","0"
"11627","87","","1178","0","0","0","3428","0","675","0","0","0","4","0"
"11632","4294967295","","1269","0","0","0","0","0","675","0","0","11","0","0"
"11633","92","","1269","0","0","0","0","0","675","0","0","0","0","0"
"11634","4294967295","","1270","0","0","0","0","0","675","0","0","11","0","0"
"11635","93","","1270","0","0","0","0","0","675","0","0","0","0","0"
"11636","4294967295","","1271","0","0","0","0","0","675","0","0","11","0","0"
"11637","94","","1271","0","0","0","0","0","675","0","0","0","0","0"
"11638","4294967295","","629","0","0","0","0","0","675","0","0","11","0","0"
"11639","95","","629","34","0","0","0","0","675","0","75","0","0","0"
"11640","96","","629","34","0","0","0","0","675","0","75","0","0","0"
"11641","97","","629","34","0","0","0","0","675","0","75","0","0","0"
"11642","98","","629","34","0","0","0","0","675","0","75","0","0","0"
"11643","99","","629","34","0","0","0","0","675","0","75","0","0","0"
"11644","100","","629","34","0","0","0","0","675","0","75","0","0","0"
"11645","101","","629","0","0","0","0","0","675","0","0","0","0","0"
"11646","102","","629","34","0","0","0","0","675","0","75","0","0","0"
"11647","103","","629","34","0","0","0","0","675","0","75","0","0","0"
"11648","104","","629","34","0","0","0","0","675","0","75","0","0","0"
"11649","105","","629","34","0","0","0","0","675","0","75","0","0","0"
"11650","106","","629","0","0","0","0","0","675","0","0","0","0","0"
"11651","107","","629","34","0","0","0","0","675","0","75","0","0","0"
"11652","108","","629","34","0","0","0","0","675","0","75","0","0","0"
"11653","109","","629","34","0","0","0","0","675","0","75","0","0","0"
"11654","110","","629","34","0","0","0","0","675","0","75","0","0","0"
"11655","111","","629","34","0","0","0","0","675","0","75","0","0","0"
"11656","4294967295","","262","0","0","0","0","0","675","0","0","11","0","0"
"11657","112","","262","0","0","0","0","0","675","0","0","0","0","0"
"11658","4294967295","","883","0","0","0","0","0","675","0","0","11","0","0"
"11659","113","","883","0","0","0","0","0","675","0","0","0","0","0"
"11660","4294967295","","570","0","0","0","0","0","675","0","0","11","0","0"
"11661","114","","570","0","0","0","0","0","675","0","0","0","0","0"
"11663","4294967295","","752","0","0","0","0","0","675","0","75","11","0","0"
"11664","116","","752","0","0","0","0","0","675","0","0","0","0","0"
"11665","117","","752","50","0","0","0","0","675","0","75","0","0","0"
"11666","118","","752","50","0","0","0","0","675","0","75","0","0","0"
"11667","119","","752","50","0","0","0","0","675","0","75","0","0","0"
"11670","122","","752","50","0","0","0","0","675","0","75","0","0","0"
"11673","125","","752","50","0","0","0","0","675","0","75","0","0","0"
"11677","4294967295","","211","374","8","0","0","0","675","0","75","11","0","0"
"11678","129","","211","0","0","0","0","0","675","0","0","0","0","0"
"11679","130","","211","0","0","0","0","0","675","0","0","0","0","0"
"11680","131","","211","0","0","0","0","0","675","0","0","0","0","0"
"11681","132","","211","0","0","0","0","0","675","0","0","0","0","0"
"11682","133","","211","0","0","0","0","0","675","0","0","0","0","0"
"11683","134","","211","0","0","0","0","0","675","0","0","0","0","0"
"11684","135","","211","0","0","0","0","0","675","0","0","0","0","0"
"11685","136","","211","0","0","0","0","0","675","0","0","0","0","0"
"11686","137","","211","0","0","0","0","0","675","0","0","0","0","0"
"11687","138","","211","0","0","0","0","0","675","0","0","0","0","0"
"11688","139","","211","34","0","0","0","0","675","0","75","0","0","0"
"11689","140","","211","0","0","0","0","0","675","0","0","0","0","0"
"11690","141","","211","0","0","0","0","0","675","0","0","0","0","0"
"11691","4294967295","","933","0","0","0","0","0","675","0","0","11","0","0"
"11692","142","","933","0","0","0","0","0","675","0","0","0","0","0"
"11693","4294967295","","936","0","0","0","0","0","675","0","0","11","0","0"
"11694","143","","936","0","0","0","0","0","675","0","0","0","0","0"
"11695","4294967295","","1162","0","0","0","0","0","675","0","0","11","0","0"
"11696","144","","1162","0","0","0","0","0","675","0","0","0","0","0"
"11697","4294967295","","1161","0","0","0","0","0","675","0","0","11","0","0"
"11698","145","","1161","26","0","0","0","0","675","0","75","0","0","0"
"11699","4294967295","","1160","0","0","0","0","0","675","0","0","11","0","0"
"11700","146","","1160","0","0","0","0","0","675","0","0","0","0","0"
"11701","4294967295","","1159","0","0","0","0","0","675","0","0","11","0","0"
"11702","147","","1159","0","0","0","0","0","675","0","0","0","0","0"
