Id,Unknown0,Unknown1
"1","Utils\","1"
"2","Utils\libcef.dll","1"
"3","Utils\icudt.dll","1"
"4","Utils\locales\","1"
"5","Utils\locales\de.pak","1"
"6","Utils\locales\en-US.pak","1"
"7","Utils\locales\es.pak","1"
"8","Utils\locales\es-419.pak","1"
"9","Utils\locales\fr.pak","1"
"10","Utils\locales\it.pak","1"
"11","Utils\locales\ko.pak","1"
"12","Utils\locales\pt-BR.pak","1"
"13","Utils\locales\ru.pak","1"
"14","Utils\locales\zh-CN.pak","1"
"15","Utils\locales\zh-TW.pak","1"
"16","BlizzardError.exe","5"
