Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4_0,Unknown4_1,Unknown4_2,Unknown5_0,Unknown5_1,Unknown5_2,Unknown6_0,Unknown6_1,Unknown6_2,Unknown7_0,Unknown7_1,Unknown7_2,Unknown8_0,Unknown8_1,Unknown8_2
"1","1003306","90","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"2","1089591","90","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"3","1003306","90","0","0","1147505","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"4","953307","90","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"5","1003307","90","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"9","971054","90","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"11","950915","90","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"12","902200","90","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"16","1054820","90","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"21","1089767","90","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"22","1089052","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"23","1101646","0","0","0","1147504","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"24","0","0","0","0","1147508","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"25","0","0","0","0","1121467","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"32","1003306","90","0","0","984065","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"33","1089052","0","0","0","1147497","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"37","959109","90","0","0","1245031","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"39","0","0","0","0","1147498","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"40","1127353","0","0","0","1147499","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"41","1127359","0","0","0","1147506","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"42","0","0","0","0","1147502","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"43","0","0","0","0","1147505","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"45","0","0","0","0","1147501","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"46","1127357","0","0","0","1147503","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"47","0","0","0","0","1147500","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"58","1121467","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"59","1101645","90","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"62","0","0","0","0","1147509","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"68","0","0","0","0","1147497","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"71","0","0","0","0","1127354","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"76","0","0","0","0","1237598","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"78","0","0","0","0","1089595","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"79","0","90","0","0","1089595","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"318","0","90","0","0","1101646","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"437","0","0","0","0","1147495","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"438","0","0","0","0","1147492","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"439","1089592","0","0","0","1147497","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"440","0","0","0","0","1147491","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"441","0","0","0","0","1147490","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"442","0","0","0","0","1147493","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"443","0","0","0","0","1147494","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"444","0","0","0","0","1147496","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"446","0","0","0","0","1245031","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"447","0","0","0","0","1387203","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"448","1003306","90","0","0","1147498","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"452","1101646","0","0","0","1147497","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"453","1121467","0","0","0","1147500","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"455","1101646","0","0","0","1260194","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"468","0","90","0","0","1254360","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"469","0","90","0","0","1254362","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"470","0","90","0","0","1254361","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"471","0","90","0","0","1254363","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"472","1101646","0","0","0","1255207","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"473","1121467","0","0","0","1147490","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"478","0","90","0","0","1260192","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"479","0","90","0","0","1260197","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"480","0","90","0","0","1147497","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"484","1089052","0","0","0","1260193","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"485","1121467","0","0","0","1147505","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"486","1121467","0","0","0","1245031","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
