Id,Unknown0,Unknown1,Unknown2
"2","0","978","78"
"3","120590","58","79"
"241","119940","57","317"
"242","119940","58","318"
"243","119940","118","319"
"244","119940","516","320"
"245","119563","57","321"
"246","119563","58","322"
"247","119563","118","323"
"248","119563","516","324"
"249","121287","57","325"
"250","121287","58","326"
"251","121287","118","327"
"252","121287","516","328"
"253","121087","57","329"
"254","121087","58","330"
"255","121087","118","331"
"256","121087","516","332"
"257","118355","57","333"
"258","118355","58","334"
"259","118355","118","335"
"260","118355","516","336"
"261","118135","57","337"
"262","118135","58","338"
"263","118135","118","339"
"264","118135","516","340"
"265","120791","57","341"
"266","120791","58","342"
"267","120791","118","343"
"268","120791","516","344"
"269","120590","57","345"
"270","120590","118","346"
"271","120590","516","347"
"272","121768","57","348"
"273","121768","58","349"
"274","121768","118","350"
"275","121768","516","351"
"276","121608","57","352"
"277","121608","58","353"
"278","121608","118","354"
"279","121608","516","355"
"280","122055","57","356"
"281","122055","58","357"
"282","122055","118","358"
"283","122055","516","359"
"284","121961","57","360"
"285","121961","58","361"
"286","121961","118","362"
"287","121961","516","363"
"288","119159","57","364"
"289","119159","58","365"
"290","119159","118","366"
"291","119159","516","367"
"292","119063","57","368"
"293","119063","58","369"
"294","119063","118","370"
"295","119063","516","371"
"296","122560","57","372"
"297","122560","58","373"
"298","122560","118","374"
"299","122560","516","375"
"300","122414","57","376"
"301","122414","58","377"
"302","122414","118","378"
"303","122414","516","379"
"304","119376","57","380"
"305","119376","58","381"
"306","119376","118","382"
"307","119376","516","383"
"308","119369","57","384"
"309","119369","58","385"
"310","119369","118","386"
"311","119369","516","387"
"312","117170","57","388"
"313","117170","58","389"
"314","117170","118","390"
"315","117170","516","391"
"316","116921","57","392"
"317","116921","58","393"
"318","116921","118","394"
"319","116921","516","395"
"320","117721","57","396"
"321","117721","58","397"
"322","117721","118","398"
"323","117721","516","399"
"324","117437","57","400"
"325","117437","58","401"
"326","117437","118","402"
"327","117437","516","403"
"328","307454","57","404"
"329","307454","58","405"
"330","307454","118","406"
"331","307454","516","407"
"332","307453","57","408"
"333","307453","58","409"
"334","307453","118","410"
"335","307453","516","411"
"336","535052","57","412"
"337","535052","58","413"
"338","535052","118","414"
"339","535052","516","415"
"340","589715","57","416"
"341","589715","58","417"
"342","589715","118","418"
"343","589715","516","419"
"344","0","818","420"
"345","0","970","421"
"346","0","822","422"
"347","0","972","423"
"348","0","824","424"
"349","0","812","425"
"350","0","826","426"
"351","0","810","427"
"352","0","844","428"
"353","0","846","429"
"354","0","848","430"
"355","0","850","431"
"356","0","974","432"
"357","0","976","433"
"358","0","814","434"
"359","0","1000","450"
"360","0","1034","451"
"361","0","1052","457"
"362","0","996","458"
"363","0","998","459"
"364","0","1004","460"
"365","0","1014","461"
"366","0","1016","462"
"367","0","1018","463"
"368","0","1020","464"
"369","0","1022","465"
"370","0","1024","466"
"371","0","1028","467"
"372","0","1056","474"
"373","0","1058","475"
"374","0","1060","476"
"375","0","1062","481"
"376","0","1064","489"
"377","116921","1022","550"
"378","116921","1024","551"
"379","0","1080","561"
"406","119940","1102","659"
"407","119563","1102","660"
"408","121287","1102","661"
"409","121087","1102","662"
"410","118355","1102","663"
"411","118135","1102","664"
"412","120791","1102","665"
"413","120590","1102","666"
"414","121768","1102","667"
"415","121608","1102","668"
"416","122055","1102","669"
"417","121961","1102","670"
"418","119159","1102","671"
"419","119063","1102","672"
"420","122560","1102","673"
"421","122414","1102","674"
"422","119376","1102","675"
"423","119369","1102","676"
"424","117170","1102","677"
"425","116921","1102","678"
"426","117721","1102","679"
"427","117437","1102","680"
"428","307454","1102","681"
"429","307453","1102","682"
"430","535052","1102","683"
"431","589715","1102","684"
