Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9
"60","1","0.2","0.5","0","0.5","1","0","0","0","0"
"61","0.58","0.15","0.2","0","0.5","2","0","0","0","0"
"62","0.5","0.1","0.2","0.1","0.5","3","0","0","0","0"
"63","1","0.4","0.5","0","0.5","4","0","0","0","0"
"64","0.5","0.15","1","0","0.5","5","0","0","0","0"
"65","0.5","0.15","1","0","0.5","6","0","0","0","0"
"66","0.25","0.1","0.25","0","0.5","7","0","0","0","0"
"67","0.5","0.1","0.25","0","0.5","8","0","0","0","0"
"68","0.1","0.2","0.35","0","0.5","9","0","0","0","0"
"69","0.5","0.25","0.5","0","0.5","10","0","0","0","0"
"70","0.65","0.1","0.4","0","0.5","11","0","0","0","0"
"71","1","0.2","0.5","0","0.5","12","0","0","0","0"
"72","1","0.2","0.5","0","0.5","13","0","0","0","0"
"73","6","0.15","0.15","0","0.5","14","0","0","0","0"
"74","10","0.5","0.5","0","0.5","15","0","0","0","0"
"75","0.25","0.1","0.25","0","0.5","16","0","0","0","0"
"76","0.5","0.1","0.2","0","0.5","17","0","0","0","0"
"77","0.6","0.1","0.25","0","0.5","18","0","0","0","0"
"78","0.58","0.15","0.2","0","0.5","19","0","0","0","0"
"79","1.16","0.3","0.4","0","0.5","20","0","0","0","0"
"80","0.58","0.15","0.2","0","0.5","21","0","0","0","0"
"85","1","0.2","0.35","0","0.5","29","0","0","0","0"
"86","1","0.25","0.5","0","0.5","30","0","0","0","0"
"88","0.5","0.15","0.25","0","0.5","32","0","0","0","0"
"89","0.2","0.25","0.13","0.1","0.5","33","0","0","0","0"
"90","0.2","0.15","0.2","0","0.5","37","0","0","0","0"
"91","0.35","0.25","0.3","0","0.5","38","0","0","0","0"
"96","0.2","0.25","0.11","0.35","0.5","43","0","0","0","0"
"99","0.2","0.25","0.13","0.1","0.5","46","0","0","0","0"
"100","0.1","0.2","0.15","0.1","0.5","47","0","0","0","0"
"102","0.2","0.25","0.13","0.1","0.5","58","0","0","0","0"
"103","0.2","0.15","0.2","0","0.5","59","0","0","0","0"
"108","0.15","0.15","0.1","0.08","0.5","71","0","0","0","0"
"109","0.2","0.1","0.2","0.2","0.5","72","0","0","0","0"
