Id,Unknown0_0,Unknown0_1,Unknown1,Unknown2_0,Unknown2_1,Unknown2_2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13
"1","0","0","1","1","1","1","","1","0","0","1","0","0","1","0","0","0"
"2","0.25","0","1","1","1","1","","1","0","0","1","0","0","2","1","0","0"
"3","0.5","0","1","1","1","1","","1","0","0","1","0","0","2","1","0","8533"
"4","0.75","0","1","1","1","1","","1","0","0","1","0","0","2","1","0","8534"
"5","1","0","1","1","1","1","","1","0","0","1","0","0","2","1","0","8535"
"6","0.5","0","1","1","1","1","","1","0","0","1","0","0","3","2","0","8536"
"7","0.75","0","1","1","1","1","","1","0","0","1","0","0","3","2","0","8537"
"8","1","0","1","1","1","1","","1","0","0","1","0","0","3","2","0","8538"
"21","1","0","1","1","1","1","textures\Weather\RainDrop01.blp","1","0","0","1","0","0","2","1","13","18149"
"22","1","0","1","1","1","1","","1","0","0","1","0","0","4","3","0","8558"
"41","0.5","0","1","1","1","1","","1","0","0","1","0","0","4","3","0","8556"
"42","0.75","0","1","1","1","1","","1","0","0","1","0","0","4","3","0","8557"
"61","0.2","0","1","1","1","1","","1","0","0","1","0","0","3","2","0","0"
"81","0.2","0.3","1","1","1","1","","1","0","0","1","0","0","2","1","0","0"
"83","0.24","0.3","1","1","1","1","textures\Weather\SnowFlake01.blp","1","0","0","1","0","0","3","2","0","0"
"84","0.3","0","1","1","1","1","","1","0","0","1","0","0","4","3","0","8556"
"85","0.2","0.28","1","1","1","1","","1","0","0","1","0","0","4","3","0","8556"
"86","0.25","0","1","1","1","1","","1","0","0","1","0","0","2","1","0","4994"
"87","0.3","0","1","1","1","1","Textures\WEATHER\RAINDROP01.BLP","1","0","0","1","0","0","2","1","0","8533"
"90","0.3","0.3","1","1","1","1","Particles\LeafBrown.blp","1","0","0","1","0","0","1","1","0","0"
"91","0.75","0","1","1","1","1","textures\Weather\RainDrop01.blp","1","0","0","1","0","0","2","1","0","18149"
"96","0.5","0.75","1","1","1","1","textures\Weather\SnowFlake01.blp","1","0","0","1","0","0","3","2","0","8537"
"97","0.3","0.55","1","1","1","1","textures\Weather\SnowFlake01.blp","1","0","0","1","0","0","3","2","0","8537"
"98","0.28","0.28","1","1","1","1","textures\Weather\SnowFlake01.blp","1","0","0","1","0","0","3","2","0","0"
"99","0.5","0.9","1","1","1","1","textures\Weather\RainDrop01.blp","1","0","0","1","0","0","2","1","0","8535"
"100","1","0","1","1","1","1","textures\Weather\RainDropRed01.blp","1","0","0","1","0","0","2","1","0","8535"
"102","0.4","0","1","1","1","1","textures\Weather\RainDrop01.blp","1","0","0","1","0","0","2","1","0","8533"
"103","0.75","0","0","1","0.502","0","","1","0","0","1","0","0","4","3","0","8557"
"104","1","1","1","0","0","0","Textures\WEATHER\SNOWMIST01.BLP","1","0","0","1","0","0","4","3","0","0"
"105","0.28","0.3","0","1","1","1","","1","0","0","1","0","0","4","3","0","8556"
"106","0.5","0","0","1","1","1","","1","0","0","1","0","0","4","3","0","8556"
"107","0.3","0","0","1","1","1","","1","0","0","1","0","0","4","3","0","8556"
"109","0.5","0","1","0.9725","0.6941","0.3882","","1","0","0","1","0","0","4","3","0","8556"
"123","0.4","0","1","1","1","1","textures\Weather\RainDrop01.blp","1","0","0","1","0","0","2","1","0","0"
"139","1","1","1","1","1","1","TEXTURES\WEATHER\WEATHERMISTGRAINY01.BLP","1","0","0","1","0","0","1","2","0","0"
"144","1","0","1","1","1","1","TEXTURES\WEATHER\SNOWFLAKE01.BLP","1","0","0","1","0","0","3","2","0","8538"
"155","0","0","1","1","1","1","","1","0","0","1","0","0","1","0","0","34752"
"156","0","0","1","1","1","1","","1","0","0","1","0","0","1","0","0","34751"
"158","0.3","0","1","1","1","1","textures\Weather\RainDrop01.blp","1","0","0","1","0","0","2","1","0","0"
"159","0.5","0","1","1","1","1","","1","0","0","1","0","0","3","2","0","0"
"162","1","0","1","0","0","0","WORLD\EXPANSION03\DOODADS\FIRELANDS\SKY_FIREBALL\FIRELANDSFIREBALL01.BLP","1","0","0","1","0","0","4","3","0","24416"
"164","0.5","1","1","0.5608","0.07451","0.9137","CREATURE\BOUNDWATERELEMENTAL\RAIN2.BLP","1","0","0","1","0","0","2","1","0","0"
"168","0.3","0.3","1","1","1","1","World\EXPANSION03\DOODADS\deathwing\lavablood_glow.blp","1","0","0","1","0","0","2","1","0","0"
"169","0.3","0.3","1","1","1","1","Item\ObjectComponents\Shield\firespark.blp","1","0","0","1","0","0","1","2","0","0"
"173","0.3","0","1","1","1","1","","1","0","0","1","0","1338","3","2","1","8536"
"174","0.3","0.4","1","1","1","1","textures\Weather\SnowFlake01.blp","1","0","0","1","0","0","3","2","11","0"
"175","0.45","0.6","1","1","1","1","textures\Weather\SnowFlake01.blp","1","0","0","1","0","0","3","2","1","0"
"176","0.1","0.2","1","1","1","1","textures\Weather\SnowFlake01.blp","1","0","0","1","0","0","3","2","12","0"
"177","0.1","0.2","1","1","1","1","textures\Weather\RainDrop01.blp","1","0","0","1","0","0","2","1","0","8533"
"178","0.15","0.25","1","1","1","1","textures\Weather\RainDrop01.blp","1","0","0","1","0","0","2","1","0","8533"
"179","0.3","0","1","1","1","1","Textures\WEATHER\RAINDROPRED01.BLP","1","0","0","1","0","0","2","1","0","8533"
"180","0.4","0","1","1","1","1","Textures\WEATHER\RAINDROPRED01.BLP","1","0","0","1","0","0","2","1","0","8533"
"182","0.258","0.258","1","1","1","1","Textures\WEATHER\ArcaneSpark.BLP","3","5","1","0.7","0.2","0","3","2","11","0"
"197","0.28","0.28","1","0.4117647","0.509804","0.4196079","Textures\WEATHER\ash01.BLP","1","0","0","0.5","0.6","0","3","2","11","0"
"198","0.6","0","1","1","1","1","Textures\WEATHER\RAINDROP01.BLP","1","0","0","1","0","0","2","1","0","8533"
"202","0.15","0","1","1","1","1","textures\Weather\RainDrop01.blp","1","0","0","1","0","0","2","1","0","0"
"203","0.8","0.9","1","1","1","1","textures\Weather\SnowFlake01.blp","1","0","0","1","0","0","3","2","0","0"
"206","0.26","0","1","1","1","1","Textures\WEATHER\RAINDROP01.BLP","1","0","0","1","0","0","2","1","11","8533"
"207","0","0","1","1","1","1","","1","0","0","1","0","0","1","0","11","0"
"208","0","0","1","1","1","1","","1","0","0","1","0","0","1","0","12","0"
"211","0","0","1","1","1","1","","1","0","0","1","0","0","1","0","13","0"
"212","0.3","0","1","1","1","1","Textures\WEATHER\RAINDROP01.BLP","1","0","0","1","0","0","2","1","11","8533"
"213","0.25","0","1","1","1","1","Textures\WEATHER\RAINDROP01.BLP","1","0","0","1","0","0","2","1","11","0"
"214","0.4","0","1","1","1","1","textures\Weather\RainDrop01.blp","1","0","0","1","0","0","2","1","11","8533"
"215","0.75","0","1","1","1","1","textures\Weather\RainDrop01.blp","1","0","0","1","0","0","2","1","13","18149"
"216","0.25","0","1","1","1","1","Textures\WEATHER\RAINDROP01.BLP","1","0","0","1","0","0","2","1","14","0"
"217","0","0","1","1","1","1","","1","0","0","1","0","0","1","0","14","0"
"218","0.6","0","1","1","1","1","Textures\WEATHER\RAINDROP01.BLP","1","0","0","1","0","0","2","1","11","8533"
"219","0.2","0.3","1","1","1","1","Textures\WEATHER\RAINDROP01.BLP","1","0","0","1","0","0","2","1","12","0"
"220","0","0","1","1","1","1","","1","0","0","1","0","0","1","0","17","0"
"221","0","0","1","1","1","1","","1","0","0","1","0","0","1","0","18","0"
"223","0.28","0.28","1","0.509804","0.4431373","0.4117647","Textures\WEATHER\ash01.BLP","0.75","0","0","0.5","0.6","0","3","2","11","0"
"108","1","0","1","1","1","1","textures\Weather\RainDropRed01.blp","1","0","0","1","0","0","2","1","0","8535"
"181","0.4","0","1","1","1","1","textures\Weather\RainDrop01.blp","1","0","0","1","0","0","2","1","0","0"
