Unknown0,Unknown1,Unknown2,Unknown3,Unknown4
"10837","13345","3","52","0"
"10837","13346","3","53","0"
"10837","13347","3","53","0"
"10837","13348","3","53","0"
"10837","13349","3","53","0"
"10837","13350","3","53","0"
"10837","13351","3","53","0"
"10837","13352","3","53","0"
"10837","13353","3","53","0"
"10837","13354","3","53","0"
"10837","13422","3","54","0"
"10837","13423","3","54","0"
"10837","13424","3","54","0"
"10837","13425","3","54","0"
"10837","13426","3","54","0"
"10837","13364","3","55","0"
"10837","13365","3","55","0"
"10837","13420","3","58","0"
"10837","13456","3","59","0"
"10837","13457","3","59","0"
"10837","13458","3","59","0"
"10837","13460","3","59","0"
"10837","13461","3","59","0"
"10837","13462","3","59","0"
"10837","13463","3","59","0"
"10837","13464","3","59","0"
"10837","13465","3","59","0"
"10837","30551","16","59","0"
"10837","13540","3","60","0"
"10837","13541","3","60","0"
"10837","13542","3","60","0"
"10837","13543","3","60","0"
"10837","13544","3","60","0"
"10837","13545","3","60","0"
"10837","13546","3","60","0"
"10837","13547","3","60","0"
"10837","13548","3","60","0"
"10837","13549","3","60","0"
"10837","13550","3","60","0"
"10837","13551","3","60","0"
"10837","13581","3","61","0"
"10837","13603","3","61","0"
"10837","13604","3","61","0"
"10837","13616","3","61","0"
"10837","13617","3","61","0"
"10837","13618","3","61","0"
"10837","13619","3","61","0"
"10837","13620","3","61","0"
"10837","13621","3","61","0"
"10837","13622","3","61","0"
"10837","13623","3","61","0"
"10837","13624","3","61","0"
"10837","13625","3","61","0"
"10837","13626","3","61","0"
"10837","13627","3","61","0"
"10837","13628","3","61","0"
"10837","13629","3","61","0"
"10837","13630","3","61","0"
"10837","13631","3","61","0"
"10837","13632","3","61","0"
"10837","13633","3","61","0"
"10837","13634","3","61","0"
"10837","13635","3","61","0"
"10837","13636","3","61","0"
"10837","13637","3","61","0"
"10837","13638","3","61","0"
"10837","13640","3","61","0"
"10837","13642","3","61","0"
"10837","13643","3","61","0"
"10837","13644","3","61","0"
"10837","13645","3","61","0"
"10837","13646","3","61","0"
"10837","13647","3","61","0"
"10837","13648","3","61","0"
"10837","13649","3","61","0"
"10837","13654","3","61","0"
"10837","13655","3","61","0"
"10837","13656","3","61","0"
"10837","13657","3","61","0"
"10837","13669","3","61","0"
"10837","13675","3","61","0"
"10837","13679","3","61","0"
"10837","13680","3","61","0"
"10837","13681","3","61","0"
"10837","13682","3","61","0"
"10837","13683","3","61","0"
"10837","13684","3","61","0"
"10837","13685","3","61","0"
"10837","13686","3","61","0"
"10837","13687","3","61","0"
"10837","13688","3","61","0"
"10837","13689","3","61","0"
"10837","13690","3","61","0"
"10837","13691","3","61","0"
"10837","13692","3","61","0"
"10837","13696","3","61","0"
"10837","13697","3","61","0"
"10837","13698","3","61","0"
"10837","13699","3","61","0"
"10837","13700","3","61","0"
"10837","13701","3","61","0"
"10837","13702","3","61","0"
"10837","13703","3","61","0"
"10837","13704","3","61","0"
"10837","13705","3","61","0"
"10837","13706","3","61","0"
"10837","13707","3","61","0"
"10837","13708","3","61","0"
"10837","13709","3","61","0"
"10837","13710","3","61","0"
"10837","13711","3","61","0"
"10837","13712","3","61","0"
"10837","13713","3","61","0"
"10837","13714","3","61","0"
"10837","13715","3","61","0"
"10837","13716","3","61","0"
"10837","13717","3","61","0"
"10837","13718","3","61","0"
"10837","13719","3","61","0"
"10837","13720","3","61","0"
"10837","13721","3","61","0"
"10837","13722","3","61","0"
"10837","13723","3","61","0"
"10837","13724","3","61","0"
"10837","13725","3","61","0"
"10837","13726","3","61","0"
"10837","13727","3","61","0"
"10837","13728","3","61","0"
"10837","13729","3","61","0"
"10837","13730","3","61","0"
"10837","13731","3","61","0"
"10837","13734","3","61","0"
"10837","13736","3","61","0"
"10837","13737","3","61","0"
"10837","13738","3","61","0"
"10837","13739","3","61","0"
"10837","13740","3","61","0"
"10837","13741","3","61","0"
"10837","13742","3","61","0"
"10837","13743","3","61","0"
"10837","13744","3","61","0"
"10837","13745","3","61","0"
"10837","13746","3","61","0"
"10837","13747","3","61","0"
"10837","13748","3","61","0"
"10837","13749","3","61","0"
"10837","13750","3","61","0"
"10837","13751","3","61","0"
"10837","13752","3","61","0"
"10837","13753","3","61","0"
"10837","13754","3","61","0"
"10837","13755","3","61","0"
"10837","13756","3","61","0"
"10837","13757","3","61","0"
"10837","13758","3","61","0"
"10837","13759","3","61","0"
"10837","13760","3","61","0"
"10837","13761","3","61","0"
"10837","13762","3","61","0"
"10829","13763","3","61","0"
"10340","13764","3","61","0"
"10872","13770","3","61","0"
"10648","13771","3","61","0"
"10648","13772","3","61","0"
"9803","13773","3","61","0"
"9803","13774","3","61","0"
"9803","13775","3","61","0"
"9803","13776","3","61","0"
"9803","13777","3","61","0"
"9803","13778","3","61","0"
"9803","13779","3","61","0"
"9803","13780","3","61","0"
"9803","13781","3","61","0"
"9803","13782","3","61","0"
"9803","13783","3","61","0"
"9803","13784","3","61","0"
"9803","13785","3","61","0"
"9803","13786","3","61","0"
"9803","13787","3","61","0"
"9803","13788","3","61","0"
"9803","13789","3","61","0"
"9803","13790","3","61","0"
"9803","13791","3","61","0"
"9803","13792","3","61","0"
"9803","13793","3","61","0"
"9803","13795","3","61","0"
"9803","13796","3","61","0"
"9803","13797","3","61","0"
"9803","13798","3","61","0"
"9803","13799","3","61","0"
"9803","13800","3","61","0"
"9803","13801","3","61","0"
"9803","13803","3","61","0"
"10419","13809","3","61","0"
"10419","13810","3","61","0"
"10419","13812","3","61","0"
"10419","13814","3","61","0"
"10419","13815","3","61","0"
"10419","13816","3","61","0"
"10419","13817","3","61","0"
"10419","13818","3","61","0"
"10419","13819","3","61","0"
"10419","13820","3","61","0"
"10419","13821","3","61","0"
"10419","13825","3","61","0"
"10419","13826","3","61","0"
"10419","13827","3","61","0"
"10419","13833","3","61","0"
"10419","13834","3","61","0"
"10419","13835","3","61","0"
