Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5
"501","59898","13","0","0","1","1"
"502","59897","13","0","0","1","1"
"503","59896","13","0","0","1","1"
"504","59408","13","0","0","1","1"
"505","0","11","0","0","0","1"
"506","58487","53","0","0","1","1"
"507","58486","53","0","0","1","1"
"508","58485","53","0","0","1","1"
"509","58484","53","0","0","1","1"
"510","58483","53","0","0","1","1"
"511","58482","53","0","0","1","1"
"512","58481","53","0","0","1","1"
"513","58480","53","0","0","1","1"
"514","58479","53","0","0","1","1"
"515","58437","53","0","0","1","1"
"516","0","39","0","0","0","1"
"517","210117","10","0","0","2","1"
"518","210228","10","0","0","2","1"
"519","61788","11","0","0","1","1"
"520","0","14","0","0","0","1"
"521","212008","13","0","0","2","1"
"522","212512","13","0","0","2","1"
"523","212511","13","0","0","2","1"
"524","212510","13","0","0","2","1"
"525","212279","13","0","0","2","1"
"526","212509","13","0","0","2","1"
"528","62586","14","0","0","1","1"
"529","62585","14","0","0","1","1"
"530","62584","14","0","0","1","1"
"531","62311","14","0","0","1","1"
"532","62303","11","16770","0","1","1"
"533","62380","11","16769","0","1","1"
"534","62354","11","16768","0","1","1"
"535","212133","13","0","0","2","1"
"536","212132","13","0","0","2","1"
"537","212131","13","0","0","2","1"
"538","0","10","0","0","0","1"
"539","61810","10","0","0","1","1"
"540","61806","10","0","0","1","1"
"541","61808","10","0","0","1","1"
"542","62851","13","0","0","1","1"
"543","210040","10","0","0","2","1"
"544","210037","13","0","0","2","1"
"545","55597","11","0","0","1","1"
"546","62834","11","0","0","1","1"
"547","62380","11","0","0","1","1"
"548","58113","11","0","0","1","1"
"549","59136","11","0","0","1","1"
"550","212038","10","16647","0","2","1"
"551","212008","10","0","0","2","1"
"552","212980","10","0","0","2","1"
"553","0","16","0","0","0","1"
"554","62128","14","0","1139","1","1"
"555","212225","14","0","0","2","1"
"556","62539","14","0","0","1","1"
"557","212324","14","0","0","2","1"
"558","56838","11","0","0","1","1"
"559","59305","11","0","0","1","1"
"560","56840","11","0","0","1","1"
"561","56841","11","0","0","1","1"
"562","210376","13","0","0","2","1"
"563","63273","13","0","0","1","1"
"564","60094","10","0","0","1","1"
"565","210933","10","0","0","2","1"
"566","56267","11","0","0","1","1"
"567","59610","39","0","0","1","1"
"568","54960","11","0","0","1","1"
"569","0","13","0","0","0","1"
"570","211307","13","0","0","2","1"
"571","60027","13","0","0","1","1"
"572","211365","10","0","0","2","1"
"573","211686","13","0","0","2","1"
"574","209885","10","0","0","2","1"
"575","209890","10","0","0","2","1"
"576","209889","10","0","0","2","1"
"577","209888","10","0","0","2","1"
"578","209582","38","0","0","2","1"
"579","62550","11","17012","0","1","1"
"580","62546","11","17011","0","1","1"
"581","62978","11","17013","0","1","1"
"582","212933","10","0","0","2","1"
"583","56434","11","0","0","1","1"
"584","212903","10","0","0","2","1"
"585","59619","11","0","0","1","1"
"586","59563","11","0","0","1","1"
"587","62107","11","0","0","1","1"
"588","54959","11","0","0","1","1"
"589","56592","11","0","0","1","1"
"590","56585","11","0","0","1","1"
"591","56591","11","0","0","1","1"
"592","60187","11","0","0","1","1"
"593","56851","10","0","0","1","1"
"594","56850","10","0","0","1","1"
"595","56852","10","0","0","1","1"
"596","56853","10","0","0","1","1"
"597","211480","13","0","0","2","1"
"598","211454","13","0","0","2","1"
"599","210859","13","0","0","2","1"
"600","59392","11","0","0","1","1"
"601","57242","11","0","0","1","1"
"602","56402","10","0","0","1","1"
"603","212186","10","0","0","2","1"
"604","67019","63","0","0","1","1"
"605","67017","63","0","0","1","1"
"606","67016","63","0","0","1","1"
"607","212969","10","0","0","2","1"
"608","61417","14","0","0","1","1"
"609","55807","10","0","0","1","1"
"610","61492","14","0","0","1","1"
"611","55182","10","0","0","1","1"
"612","55167","38","18757","0","1","1"
"613","55168","10","18756","0","1","1"
"614","55155","10","18755","0","1","1"
"615","54616","11","0","0","1","1"
"616","54614","11","0","0","1","1"
"617","54615","11","0","0","1","1"
"618","209586","14","0","0","2","1"
"619","61783","37","0","0","1","1"
"620","60694","14","0","0","1","1"
"621","60796","11","0","0","1","1"
"622","211967","10","0","0","2","1"
"623","211594","10","0","0","2","1"
"624","63090","13","0","0","1","1"
"625","63089","13","0","0","1","1"
"626","63088","13","0","0","1","1"
"627","63087","13","0","0","1","1"
"628","58244","14","0","0","1","1"
"629","58243","14","0","0","1","1"
"630","58220","14","0","0","1","1"
"631","63556","13","0","261","1","1"
"632","63447","13","0","261","1","1"
"633","0","13","0","261","0","1"
"634","58420","11","0","0","1","1"
"635","210363","13","0","0","2","1"
"636","54981","11","0","0","1","1"
"637","54982","11","0","0","1","1"
"638","209551","10","0","0","2","1"
"639","54914","11","0","0","1","1"
"640","62750","13","0","0","1","1"
"641","62751","13","0","261","1","1"
"642","60553","10","0","0","1","1"
"643","55235","11","0","1855","1","1"
"644","62876","13","0","0","1","1"
"645","56233","14","0","0","1","1"
"646","212642","13","0","0","2","1"
"647","212643","13","0","0","2","1"
"648","59137","11","0","0","1","1"
"649","62845","11","0","0","1","1"
"650","62667","11","0","0","1","1"
"651","62666","11","0","0","1","1"
"652","62764","13","0","0","1","1"
"653","212868","10","0","0","2","1"
"654","63125","11","0","0","1","1"
"655","62550","11","0","0","1","1"
"656","62850","11","0","0","1","1"
"657","62303","11","0","0","1","1"
"658","0","37","0","0","0","1"
"659","61566","14","0","0","1","1"
"660","61819","11","0","0","1","1"
"661","62747","14","0","0","1","1"
"662","212900","10","0","0","2","1"
"663","212924","10","0","0","2","1"
"664","212925","10","0","0","2","1"
"665","212926","10","0","0","2","1"
"666","63135","11","0","0","1","1"
"667","62978","11","0","0","1","1"
"675","84978","40","0","0","1","1"
"683","0","12","0","0","0","1"
"709","59899","11","0","0","1","1"
"710","59377","11","0","0","1","1"
"711","59620","11","0","0","1","1"
"712","61874","14","0","0","1","1"
"713","66165","40","0","0","1","1"
"714","66707","40","0","0","1","1"
"715","64202","40","0","0","1","1"
"716","58767","13","0","0","1","1"
"717","213306","13","0","0","2","1"
"718","213309","13","0","0","2","1"
"719","213305","13","0","0","2","1"
"720","213304","13","0","0","2","1"
"721","213311","13","0","0","2","1"
"722","213310","13","0","0","2","1"
"723","213308","13","0","0","2","1"
"724","213307","13","0","0","2","1"
"725","59653","11","0","0","1","1"
"726","213303","13","0","0","2","1"
"727","62682","10","0","0","1","9"
"728","62990","66","0","0","1","1"
"729","62988","66","0","0","1","1"
"730","62989","66","0","0","1","1"
"731","62162","14","0","0","1","1"
"732","62168","14","0","0","1","1"
"733","0","50","0","0","0","1"
"734","63908","11","0","0","1","1"
"735","0","42","0","0","0","1"
"736","67088","63","0","0","1","1"
"737","209582","56","0","0","2","1"
"738","56340","11","0","0","1","1"
"739","56477","11","0","0","1","1"
"740","56478","11","0","0","1","1"
"741","56336","11","0","0","1","1"
"742","213071","13","0","0","2","1"
"747","212248","13","0","0","2","1"
"748","212250","13","0","0","2","1"
"749","212251","13","0","0","2","1"
"750","212252","13","0","0","2","1"
"751","212253","13","0","0","2","1"
"752","212254","13","0","0","2","1"
"753","212256","13","0","0","2","1"
"754","212255","13","0","0","2","1"
"755","212273","13","0","0","2","1"
"756","212278","13","0","0","2","1"
"757","0","43","0","0","0","1"
"758","64207","11","0","0","1","1"
"759","62467","11","0","0","1","1"
"760","64165","43","0","0","1","1"
"761","63527","43","0","0","1","1"
"762","63526","43","0","0","1","1"
"763","64185","43","0","0","1","1"
"764","54647","14","0","0","1","1"
"765","64162","11","0","0","1","1"
"766","63951","10","0","0","1","1"
"767","63922","11","0","0","1","1"
"768","63897","10","0","0","1","1"
"769","64211","11","0","0","1","1"
"770","64017","11","0","0","1","1"
"771","63940","10","0","0","1","1"
"772","64217","11","0","0","1","1"
"773","63929","10","0","0","1","1"
"774","64908","11","0","0","1","1"
"775","64189","11","0","0","1","1"
"776","64089","11","0","0","1","1"
"777","64244","11","0","0","1","1"
"778","62024","53","0","0","1","1"
"779","211659","10","0","0","2","1"
"780","211661","10","0","0","2","1"
"781","213191","10","0","0","2","1"
"782","58718","11","0","0","1","1"
"783","210582","10","0","0","2","1"
"784","58712","11","15624","0","1","1"
"785","58918","14","0","0","1","1"
"786","59581","11","0","0","1","1"
"787","59583","11","0","0","1","1"
"788","59582","11","0","0","1","1"
"789","59585","11","0","0","1","1"
"790","59491","56","0","0","1","1"
"791","59580","40","0","0","1","1"
"792","6749","11","0","0","1","1"
"793","64327","11","0","0","1","1"
"794","64315","11","0","0","1","1"
"795","64312","11","0","0","1","1"
"796","64313","11","0","0","1","1"
"797","213767","10","0","0","2","1"
"798","0","15","0","0","0","1"
"799","64360","14","0","0","1","1"
"800","64362","14","0","0","1","1"
"801","64363","14","0","0","1","1"
"802","64364","14","0","0","1","1"
"808","64369","10","0","1973","1","1"
"809","64386","10","0","0","1","1"
"810","64385","10","0","0","1","1"
"811","64336","10","0","1973","1","1"
"812","58765","11","0","0","1","1"
"813","58788","10","0","0","1","1"
"814","58816","11","0","0","1","1"
"815","58665","10","0","0","1","1"
"816","59424","37","0","0","1","1"
"817","59430","37","0","0","1","1"
"818","59958","37","0","0","1","1"
"819","211530","13","0","0","2","1"
"820","211531","13","0","0","2","1"
"821","64475","11","0","0","1","1"
"822","63618","11","0","0","1","1"
"823","64470","11","0","0","1","1"
"824","211129","10","0","0","2","1"
"825","64491","14","0","0","1","1"
"826","64493","14","0","0","1","1"
"827","64494","14","0","0","1","1"
"828","63616","11","0","0","1","1"
"829","64471","11","0","0","1","1"
"830","64507","13","0","1979","1","1"
"831","63981","40","0","0","1","1"
"833","212524","10","0","0","2","1"
"834","56013","11","0","0","1","1"
"835","214101","13","0","0","2","1"
"836","214105","13","0","0","2","1"
"837","214106","13","0","0","2","1"
"838","214107","13","0","0","2","1"
"839","64528","11","0","0","1","1"
"840","214279","13","0","0","2","1"
"841","214278","13","0","0","2","1"
"842","214280","13","0","0","2","1"
"843","214277","13","0","0","2","1"
"844","64848","11","0","0","1","1"
"845","212293","10","0","0","2","1"
"846","212350","10","0","0","2","1"
"847","64853","11","0","0","1","1"
"848","58710","11","0","0","1","1"
"849","58717","11","0","0","1","1"
"850","58646","11","0","0","1","1"
"851","64597","11","0","0","1","1"
"852","57402","11","0","0","1","1"
"853","58706","11","0","0","1","1"
"854","58705","11","0","0","1","1"
"855","57298","11","0","0","1","1"
"856","64946","11","0","0","1","1"
"857","63028","0","18821","0","1","1"
"858","9980","11","0","0","1","1"
"860","10051","11","0","0","1","1"
