Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4_0,Unknown4_1,Unknown4_2,Unknown4_3,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12
"84","BanethilHollow","175","235","41","736","0","0","0","374","221","292","430","375","497","0","0"
"85","Darnassus","298","337","41","1657","0","0","0","149","181","247","228","424","383","0","0"
"87","GnarlpineHold","198","181","41","261","0","0","0","347","355","423","403","479","494","0","0"
"88","LakeAlameth","289","202","41","259","0","0","0","422","310","388","498","430","604","0","0"
"89","PoolsofArlithrien","140","210","41","478","0","0","0","345","243","358","400","405","439","0","0"
"91","Shadowglen","241","217","41","188","0","0","0","481","104","170","533","273","638","0","0"
"92","StarbreezeVillage","187","196","41","260","0","0","0","544","217","289","625","369","694","0","0"
"93","TheOracleGlade","194","244","41","264","0","0","0","276","90","147","367","213","435","0","0"
"94","WellspringLake","165","249","41","266","265","0","0","382","83","207","426","256","465","0","0"
"104","FrostmaneHold","437","249","27","135","0","0","0","50","227","320","271","374","361","0","0"
"107","GolBolarQuarry","198","251","27","134","0","0","0","663","288","344","733","421","800","0","0"
"108","HelmsBedLake","218","234","27","212","716","0","0","760","268","321","818","373","867","0","0"
"109","AmberstillRanch","249","183","27","803","0","0","0","595","225","288","679","330","752","0","0"
"113","Kharanos","184","188","27","131","189","0","0","449","220","314","498","364","576","0","0"
"114","TheGrizzledDen","211","160","27","136","131","0","0","374","287","335","460","372","509","0","0"
"117","ColdridgePass","225","276","27","800","0","0","0","360","340","396","401","468","478","0","0"
"122","Goldshire","276","231","30","87","0","0","0","247","294","402","383","463","461","0","0"
"124","FargodeepMine","269","248","30","57","63","64","5176","240","420","520","375","555","416","0","0"
"125","NorthshireValley","295","296","30","9","0","0","0","355","138","203","425","365","585","0","0"
"126","JerodsLanding","230","206","30","797","57","64","63","396","430","551","466","598","507","0","0"
"127","TowerofAzora","270","241","30","91","54","0","0","529","287","438","615","490","680","0","0"
"128","BrackwellPumpkinPatch","287","216","30","62","0","0","0","532","424","507","668","555","726","0","0"
"129","EastvaleLoggingCamp","294","243","30","88","0","0","0","703","292","421","783","475","891","0","0"
"130","RidgepointTower","285","194","30","798","0","0","0","708","442","507","809","556","890","0","0"
"131","CrystalLake","220","207","30","18","0","0","0","417","327","421","476","465","583","0","0"
"132","StonecairnLake","340","272","30","86","0","0","0","552","186","290","680","400","803","0","0"
"222","VenomwebVale","250","279","20","812","167","0","0","752","150","257","816","375","928","0","0"
"224","ScarletWatchPost","161","234","20","459","0","0","0","692","99","154","760","207","812","0","0"
"225","CrusaderOutpost","175","210","20","167","812","0","0","686","232","346","766","387","819","0","0"
"226","BalnirFarmstead","242","179","20","165","0","0","0","594","324","379","700","425","776","0","0"
"227","BrightwaterLake","210","292","20","162","163","0","0","573","122","243","645","359","725","0","0"
"229","GarrensHaunt","190","214","20","164","0","0","0","477","129","208","531","270","610","0","0"
"230","Brill","199","182","20","159","0","0","0","480","252","311","560","371","637","0","0"
"231","ColdHearthManor","212","177","20","166","0","0","0","418","317","364","509","421","570","0","0"
"232","NightmareVale","225","281","20","811","4921","0","0","347","325","410","410","465","494","0","0"
"234","AgamandMills","285","260","20","157","0","0","0","324","90","185","403","257","511","0","0"
"235","SollidenFarmstead","286","225","20","156","0","0","0","201","192","297","344","357","427","0","0"
"236","Deathknell","431","407","20","154","0","0","0","9","207","373","271","481","375","0","0"
"242","ValleyOfTrials","254","258","4","363","0","0","0","304","312","364","402","466","488","0","0"
"244","SenjinVillage","192","184","4","367","0","0","0","457","406","473","532","538","590","0","0"
"248","EchoIsles","330","255","4","368","6453","4865","4864","429","413","458","600","650","727","0","0"
"250","TiragardeKeep","210","200","4","372","0","0","0","462","298","369","542","437","619","0","0"
"252","RazorHill","224","227","4","362","0","0","0","431","157","262","507","318","565","0","0"
"254","RazormaneGrounds","248","158","4","816","0","0","0","302","264","318","392","360","504","0","0"
"256","ThunderRidge","220","218","4","369","0","0","0","295","48","144","360","187","447","0","0"
"258","DrygulchRavine","236","196","4","370","410","0","0","415","60","126","491","200","559","0","0"
"260","SkullRock","208","157","4","817","0","0","0","438","0","36","525","87","553","0","0"
"262","Orgrimmar","259","165","4","1637","0","0","0","309","0","22","396","91","515","0","0"
"281","TheJansenStead","202","179","39","916","0","0","0","474","0","78","542","134","615","0","0"
"282","FurlbrowsPumpkinFarm","197","213","39","109","0","0","0","394","0","114","482","174","541","0","0"
"284","SaldeansFarm","244","237","39","107","0","0","0","451","81","187","511","246","580","0","0"
"285","TheMolsenFarm","202","224","39","918","0","0","0","348","118","204","412","264","496","0","0"
"286","GoldCoastQuarry","235","306","39","113","111","0","0","199","79","269","279","324","345","0","0"
"287","TheDeadAcre","193","273","39","917","0","0","0","531","200","374","594","418","638","0","0"
"288","SentinelHill","229","265","39","108","0","0","0","404","226","281","515","379","604","0","0"
"289","Moonbrook","232","213","39","20","919","0","0","308","325","411","390","466","459","0","0"
"290","AlexstonFarmstead","346","222","39","219","0","0","0","167","263","295","325","405","440","0","0"
"291","DemontsPlace","201","195","39","921","219","0","0","203","376","473","318","511","362","0","0"
"292","WestfallLighthouse","211","167","39","115","921","219","0","221","477","549","264","612","338","0","0"
"293","TheDaggerHills","292","273","39","920","0","0","0","303","395","519","378","580","521","0","0"
"294","TheDustPlains","317","261","39","922","0","0","0","480","378","450","560","520","710","0","0"
"304","TheSkitteringDark","227","172","21","226","0","0","0","236","0","48","296","119","401","0","0"
"306","FenrisIsle","352","302","21","172","232","0","0","581","15","101","621","258","764","0","0"
"308","TheSepulcher","218","200","21","228","0","0","0","341","157","232","398","304","503","0","0"
"309","DeepElemMine","217","198","21","213","0","0","0","483","212","278","552","330","636","0","0"
"310","OlsensFarthing","251","167","21","229","0","0","0","312","249","306","425","377","498","0","0"
"311","Ambermill","283","243","21","233","231","0","0","509","250","373","554","461","673","0","0"
"312","ShadowfangKeep","179","165","21","236","0","0","0","337","337","378","377","469","468","0","0"
"314","TheGreymaneWall","409","162","21","230","5456","0","0","318","506","558","377","630","583","0","0"
"315","BerensPeril","318","263","21","231","233","0","0","505","405","469","570","518","631","0","0"
"317","MogroshStronghold","294","249","35","143","0","0","0","549","52","117","658","203","765","0","0"
"318","TheLoch","330","474","35","556","0","0","0","340","81","0","0","0","0","0","0"
"319","SilverStreamMine","225","252","35","149","0","0","0","221","0","108","304","182","394","0","0"
"320","NorthgatePass","319","289","35","838","925","0","0","16","0","0","0","0","0","0","0"
"321","TheFarstriderLodge","349","292","35","147","0","0","0","570","209","405","788","466","863","0","0"
"322","IronbandsExcavationSite","397","291","35","142","0","0","0","481","296","380","625","495","765","0","0"
"323","GrizzlepawRidge","273","230","35","936","0","0","0","245","324","371","340","442","420","0","0"
"324","Thelsamar","455","295","35","144","0","0","0","0","146","277","307","361","398","0","0"
"325","StonesplinterValley","273","294","35","923","0","0","0","177","345","448","282","600","368","0","0"
"326","ValleyofKings","310","345","35","924","806","0","0","0","311","471","145","579","261","0","0"
"341","RuinsofMathystra","200","263","42","443","0","0","0","517","28","105","602","190","679","0","0"
"346","AmethAran","326","145","42","447","0","0","0","294","330","388","419","422","457","0","0"
"349","TheMastersGlaive","303","185","42","449","0","0","0","277","483","548","381","605","428","0","0"
"361","ThreeCorners","323","406","36","1002","0","0","0","0","256","357","144","435","251","0","0"
"362","LakeridgeHighway","392","352","36","1001","0","0","0","148","316","428","273","487","493","0","0"
"363","LakeEverstill","464","250","36","68","0","0","0","81","214","304","340","400","498","0","0"
"364","Lakeshire","410","256","36","69","0","0","0","0","110","250","165","330","345","0","0"
"365","RedridgeCanyons","413","292","36","95","98","0","0","37","0","131","231","219","373","0","0"
"366","RendersCamp","357","246","36","996","998","0","0","214","0","51","298","123","406","0","0"
"367","AlthersMill","228","247","36","97","0","0","0","350","139","230","444","295","502","0","0"
"369","RendersValley","427","291","36","997","0","0","0","451","377","433","580","520","715","0","0"
"370","StonewatchFalls","316","182","36","71","0","0","0","525","302","0","0","0","0","0","0"
"371","GalardellValley","428","463","36","1000","96","0","0","574","0","0","0","0","0","0","0"
"381","MenethilHarbor","325","363","40","150","0","0","0","0","297","339","44","442","161","0","0"
"382","BlackChannelMarsh","301","232","40","1018","0","0","0","37","240","0","0","0","0","0","0"
"383","BluegillMarsh","321","248","40","1022","0","0","0","31","102","0","0","0","0","0","0"
"384","WhelgarsExcavationSite","298","447","40","118","0","0","0","185","195","285","319","370","399","0","0"
"385","SundownMarsh","276","243","40","1024","0","0","0","121","63","0","0","0","0","0","0"
"387","IronbeardsTomb","185","224","40","309","0","0","0","372","76","152","406","195","467","0","0"
"388","DunModr","257","185","40","205","0","0","0","356","7","89","426","133","514","0","0"
"389","AngerfangEncampment","236","256","40","1036","0","0","0","359","201","282","440","361","533","0","0"
"390","ThelganRock","258","207","40","1021","836","0","0","371","335","386","492","436","554","0","0"
"392","MosshideFen","369","235","40","1020","0","0","0","506","232","329","574","428","666","0","0"
"394","RaptorRidge","256","245","40","1017","0","0","0","599","123","201","649","266","712","0","0"
"421","TheHushedBank","189","307","34","1097","0","0","0","0","152","191","56","403","145","0","0"
"422","AddlesStead","299","296","34","536","0","0","0","32","348","433","177","502","251","0","0"
"424","RavenHillCemetary","323","309","34","492","243","0","0","91","132","216","141","337","252","0","0"
"425","VulGolOgreMound","268","282","34","93","0","0","0","228","355","449","296","524","423","0","0"
"427","TheYorgenFarmstead","233","248","34","245","0","0","0","401","396","461","466","529","555","0","0"
"428","BrightwoodGrove","279","399","34","242","0","0","0","497","112","185","598","321","698","0","0"
"429","TheRottingOrchard","291","263","34","241","0","0","0","539","368","441","595","521","683","0","0"
"431","Darkshire","329","314","34","42","576","0","0","640","128","279","706","340","788","0","0"
"432","ManorMistmantle","219","182","34","1098","42","0","0","661","122","224","752","258","795","0","0"
"433","TheDarkenedBank","931","235","34","799","0","0","0","71","26","85","125","200","970","0","0"
"461","BoulderLodeMine","278","209","11","381","5117","0","0","511","7","57","653","104","696","0","0"
"462","TheSludgeFen","257","249","11","382","0","0","0","403","6","99","518","150","600","0","0"
"464","DreadmistPeak","241","195","11","384","383","0","0","290","104","212","388","262","475","0","0"
"465","TheDryHills","283","270","11","383","0","0","0","116","57","182","213","244","301","0","0"
"466","TheForgottenPools","446","256","11","386","0","0","0","100","208","276","334","338","405","0","0"
"468","GroldomFarm","243","217","11","1704","0","0","0","448","127","258","528","292","571","0","0"
"469","FarWatchPost","207","332","11","379","0","0","0","555","129","251","626","313","709","0","0"
"470","ThornHill","239","231","11","1699","0","0","0","481","254","312","544","357","632","0","0"
"471","TheCrossroads","233","193","11","380","0","0","0","362","275","357","467","409","540","0","0"
"472","TheStagnantOasis","336","289","11","388","0","0","0","344","379","495","519","554","597","0","0"
"473","Ratchet","219","175","11","392","0","0","0","547","379","450","626","509","704","0","0"
"474","TheMerchantCoast","315","212","11","391","0","0","0","556","456","516","678","608","730","0","0"
"513","BaliaMahRuins","239","205","37","127","0","0","0","397","243","343","555","396","627","0","0"
"514","MizjahRuins","157","173","37","129","0","0","0","387","246","334","435","375","489","0","0"
"515","GromGolBaseCamp","167","179","37","117","0","0","0","298","228","287","343","361","414","0","0"
"516","MoshOggOgreMound","234","206","37","105","0","0","0","543","253","313","628","368","714","0","0"
"518","LakeNazferiti","240","228","37","37","1740","0","0","413","95","0","0","0","0","0","0"
"519","KalAiRuins","139","150","37","125","0","0","0","354","184","226","392","288","455","0","0"
"520","BalAlRuins","159","137","37","123","0","0","0","267","168","218","309","268","377","0","0"
"521","TheVileReef","236","224","37","104","0","0","0","140","208","0","0","0","0","0","0"
"523","RuinsOfZulKunda","228","265","37","102","0","0","0","158","0","88","218","183","312","0","0"
"524","NesingwarysExpedition","227","190","37","100","0","0","0","306","63","98","392","168","493","0","0"
"525","RebelCamp","302","166","37","99","0","0","0","306","0","36","422","92","514","0","0"
"526","KurzensCompound","244","238","37","101","0","0","0","499","0","91","546","175","661","0","0"
"527","ZulGurub","376","560","37","19","0","0","0","626","0","72","728","364","952","0","0"
"561","CircleofWestBinding","220","287","16","334","0","0","0","85","24","182","166","226","211","0","0"
"562","NorthfoldManor","227","268","16","313","0","0","0","132","105","142","227","222","313","0","0"
"563","Bouldergor","249","278","16","1858","0","0","0","171","123","273","242","320","310","0","0"
