Id,Unknown0_0,Unknown0_1,Unknown0_2,Unknown0_3,Unknown0_4,Unknown0_5,Unknown1_0,Unknown1_1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8
"2","4800","-10133.33","-1000000","16000","-2666.667","1000000","-2400","2400","1","530","0","0","0","0","0"
"3","-6933.333","-16000","-1000000","533.3333","-8000","1000000","10133.33","17600","1","530","0","1","0","0","0"
"4","-20000","-20000","-1000000","20000","20000","1000000","0","0","1","600","0","600","37","0","0"
"5","2113","-220","-1000000","2530","1336","1000000","0","0","1","603","0","603","70","0","0"
"6","-20000","-20000","-1000000","20000","20000","1000000","0","0","1","619","0","619","50","0","0"
"7","1940","1335","-1000000","2530","2718","1000000","0","0","1","603","0","603","72","0","0"
"8","1408","10","-1000000","1454","67","1000000","0","0","1","602","0","602","54","0","1"
"9","-20000","-20000","-1000000","20000","20000","1000000","0","0","1","616","0","616","61","0","0"
"10","-20000","-20000","-1000000","20000","20000","1000000","0","0","1","631","0","631","104","0","0"
"11","-20000","-20000","-1000000","20000","20000","1000000","0","0","1","36","0","36","167","0","0"
"12","-20000","-20000","-1000000","20000","20000","1000000","0","0","1","644","0","644","120","0","0"
"13","-20000","-20000","-1000000","20000","20000","1000000","0","0","1","531","0","531","192","0","0"
"14","-20000","-20000","-1000000","20000","20000","1000000","-1600","2800","1","732","0","0","0","0","0"
"15","1233","12","-1000000","1270","59","1000000","0","0","1","602","0","602","54","0","1"
"16","-20000","-20000","-1000000","20000","20000","1000000","0","0","1","754","0","754","271","0","0"
"17","-4800","-3800","-1000000","-4600","-3600","1000000","0","0","1","1","0","1","0","15","0"
"18","-20000","-20000","-1000000","20000","20000","1000000","0","0","1","657","0","657","122","0","0"
"19","-7400","-1400","-1000000","-7100","-800","1000000","0","0","1","0","0","0","0","51","0"
"20","-8100","-1400","-1000000","-7400","-800","1000000","0","0","1","0","0","0","0","46","0"
"24","302.1","343.8","-1000000","593.7","677","1000000","0","0","1","720","0","720","467","0","0"
"25","2918.75","231.25","-1000000","3293.75","793.75","1000000","0","0","1","938","0","938","495","0","0"
"26","3500","534.8983","-1000000","4077.08","1400.519","1000000","0","0","1","938","0","938","496","0","0"
"27","4229.165","1181.25","-1000000","4545.832","1656.25","1000000","0","0","1","938","0","938","497","0","0"
"28","2570.83","-290.1094","-1000000","3035.42","406.7754","1000000","0","0","1","938","0","938","498","0","0"
"29","3970.83","-646.359","-1000000","4272.92","-193.224","1000000","0","0","1","938","0","938","499","0","0"
"30","-12254.9","11427.07","-1000000","-11516","12535.43","1000000","0","0","1","967","0","967","514","0","0"
"33","836","558","-1000000","1022","667","1000000","0","0","1","1004","0","1004","648","0","1"
"35","5391","3518","-1000000","8148","7655","1000000","-844","549","0.623","1064","0","870","0","0","0"
"37","500","-6000","-50","1496","-3500","1000000","0","0","1","1136","0","1136","793","6738","0"
