Id,X,Y,Z,Unknown,Name,Map
"1","-9115","423","96","0","Stormwind","0"
"2","-9193.91","-2312.77","88.9044","51.5","Redridge Mountains","0"
"3","-10774.26","-1189.672","33.14943","220.378","Duskwood, Darkshire","0"
"4","-10527.5","1165.734","31.96764","230.1","Westfall, Sentinel Hill GY","0"
"5","-5687","-515","398","0","Dun Morogh","0"
"6","-5351.229","-2881.582","340.9424","273.825","Loch Modan, Thelsamar","0"
"7","-3289.124","-2435.991","18.59659","144.778","Wetlands, Crossroads GY","0"
"8","-6289.853","-3493.059","251.4887","160","Badlands, Graveyard NE ","0"
"10","-592.6014","-2523.492","91.78803","70.3032","The Barrens, The Crossroads","1"
"31","-448.3109","2512.646","93.07726","172","Desolace, Ethel Rethor GY","1"
"32","233.2639","-4793.625","10.18718","12.1862","Durotar, Razor Hill GY","1"
"33","1358.55","-4436.53","28.0969","0","Durotar, Orgrimmar GY","1"
"34","-2942.233","-152.5035","69.92908","108.225","Mulgore, Red Cloud Mesa GY","1"
"35","7158.045","-486.7355","31.38703","279.001","Darkshore, New Auberdine GY","1"
"36","-11110.38","-1833.241","71.8642","180.712","Deadwind Pass, Morgan's Plot","0"
"39","-4612.34","-1890.46","85.9637","272.025","Thousand Needles, The Great Lift GY (OLD)","1"
"49","-661.5284","-485.309","385.8879","0","Plains of Snow - Horde Start","37"
"70","-6432.256","-278.2921","3.794105","12.1501","Silithus, Valor's Rest","1"
"89","-2175.656","-341.5295","-5.569269","106.65","Mulgore, Bloodhoof Village GY","1"
"90","10054.3","2117.12","1329.63","138.322","Teldrassil, Darnassus GY","1"
"91","9701.255","945.6204","1291.355","155.7","Teldrassil, Dolanaar GY","1"
"92","2633.411","-629.7352","107.5813","105.202","Ashenvale, Astranaar GY","1"
"93","10384.81","811.5312","1317.538","63.9","Teldrassil, Aldrassil GY","1"
"94","1882.94","1629.11","94.4175","265.77","Tirisfal Glades, Deathknell","0"
"96","1822.61","214.674","60.1402","0","Tirisfal Glades, Undercity","0"
"97","516.1943","1589.807","127.5449","180.225","Silverpine Forest, The Sepulcher","0"
"98","-18.67768","-981.1714","55.83767","96.3","Hillsbrad Foothills, Tarren Mill","0"
"99","-1307.655","-3192.149","37.78532","129","Arathi Highlands, Eastern Road","0"
"100","-6164.226","336.3211","399.7934","117.9","Dun Morogh, Anvilmar","0"
"101","-5680.044","-518.9205","396.2743","146.025","Dun Morogh, Kharanos","0"
"102","-5049.45","-809.697","495.127","0","Dun Morogh, Ironforge","0"
"103","-6980.51","-2332.54","241.683","90","Badlands, Kargath","0"
"104","-9396.77","-2026","58.3642","58.4241","Redridge Mountains, Lakeshire","0"
"105","-8941.31","-185.178","79.9153","160.088","Elwynn Forest, Northshire","0"
"106","-9339.72","170.2","61.5622","257.625","Elwynn Forest, Goldshire","0"
"107","-9151.98","410.944","92.6966","0","Elwynn Forest, Stormwind","0"
"108","-10567.8","-3377.2","22.2532","179.1","Swamp of Sorrows, Stonard GY","0"
"109","-14283.44","293.4063","31.94366","75.3251","Stranglethorn Vale, Booty Bay GY","0"
"129","8289.981","962.8038","15.18421","190","Teldrassil, Rut'theran Village GY","1"
"149","-732.7994","-592.502","22.66305","12.15","Hillsbrad Foothills, Southshore","0"
"169","-157.4092","31.20627","77.0506","257","Alterac Valley, Snowfall Graveyard (Mid)","30"
"189","-3525.743","-4315.374","6.993044","172.35","Dustwallow Marsh, Theramore Isle GY","1"
"209","-7142.87","-3885.302","9.893117","90.377","Tanaris, Gadgetzan GY","1"
"229","-2517.648","-1970.997","91.78397","76.8281","The Barrens, Camp Taurajo GY","1"
"249","-1081.4","-3478.68","63.6066","5.27823","The Barrens, Ratchet","1"
"269","-448.1886","-1027.863","430.7243","0","Plains of Snow - Alliance Start","37"
"289","2348.67","492.027","33.3665","280.125","Tirisfal Glades, Brill","0"
"309","-4484.34","2142.23","7.55253","347.625","Feralas, New Feathermoon Stronghold GY (A)","1"
"310","-4445.19","370.837","51.4531","177.75","Feralas, Camp Mojache GY (H)","1"
"329","-5353.12","-3939.3","86.1111","0.575012","Thousand Needles, Splithoof Heights GY (MOVED)","1"
"349","323.5126","-2227.196","137.6175","148.32","The Hinterlands, Aerie Peak","0"
"369","4719.671","-5954.722","105.196","129.149","Azshara, Northern Azshara GY","1"
"370","-10846.6","-2949.34","13.2298","343.386","Blasted Lands, Dreadmaul Hold GY","0"
"389","-11542.51","-228.4635","27.84575","176.175","Stranglethorn Vale, Northern Stranglethorn GY","0"
"409","773.6632","383.8767","71.06256","10.3496","Stonetalon Mountains, Webwinder Path GY","1"
"429","2604.52","-543.39","88.9996","52.2001","Tirisfal Glades, Faol's Rest","0"
"449","3809.429","-1597.651","219.11","42.7865","Felwood, Morlos'Aran","1"
"450","-7078.07","-2404.27","-165.558","333","Un'Goro Crater, The Marshlands","1"
"469","5243.961","180.932","16.91179","332.326","Darkshore, Twilight Vale GY","1"
"489","-3347.72","-856.713","1.05955","282.478","Wetlands, Baradin Bay GY","0"
"509","908.3233","-1520.286","55.03718","285.525","Western Plaguelands, Chillwind Camp","0"
"510","2054.92","-5021.54","74.3608","207.05","Eastern Plaguelands, Pestilent Scar","0"
"511","6876.944","-4660.726","701.2874","2.0248","Winterspring, Everlook GY","1"
"512","2421.724","-2953.619","123.4735","2.60178","Ashenvale, Kargathia GY","1"
"529","16310.33","16268.94","69.44444","0","Programmer Isle","451"
"549","16223.82","16278.57","20.89128","0","Programmer Isle","451"
"569","1750.344","-669.7899","44.56984","193.725","Western Plaguelands, Bulwark","0"
"609","4028.3","-5441.566","115.7984","205.65","Azshara, (Overlooks) The Shattered Strand GY","1"
"610","-1437.67","-610.089","51.1619","51.4951","Alterac Valley, Horde Safe","30"
"611","873.0018","-491.2836","96.54193","225","Alterac Valley, Alliance Safe","30"
"629","908.3233","-1520.286","55.03718","0","TEST for GM Client Only - Do Not Bug","0"
"630","4793.112","-6845.922","90.17362","8.77488","Azshara, Bitter Reaches GY","1"
"631","-3127.587","-3046.747","33.84489","324.9","Dustwallow Marsh, Brackenwall Village GY","1"
"633","7425.867","-2808.891","463.973","218.062","Moonglade GY","1"
"634","1390.18","-3699.5","76.5121","357.878","Eastern Plaguelands, Darrowshire","0"
"635","5953.009","-1208.602","381.283","11.1764","Felwood, Irontree Woods","1"
"636","-6450.61","-1113.51","308.022","356.4","Searing Gorge, Thorium Point","0"
"649","-777.9827","-4984.778","18.96163","281.7","Durotar, Sen'jin Village GY","1"
"669","16614.8","16663","21.3422","0","Programmer Isle, Bucklers Cemetery 2","451"
"670","16623.3","16622.8","34.8991","0","Programmer Isle, Bucklers Cemetery 1","451"
"671","16631.7","16585.8","39.2206","0","Programmer Isle, Bucklers Cemetery 3","451"
"689","676","-374","30","115","Alterac Valley, Stormpike Graveyard (Hi)","30"
"690","-1090.477","-253.3087","57.67237","270","Alterac Valley, Frostwolf Graveyard (Lo)","30"
"709","-636.502","-4292.55","40.3022","245","Durotar, Valley of Trials GY","1"
"729","73.41776","-496.4331","48.73192","88","Alterac Valley, PvP Alliance Choke Graveyard (A-choke)","30"
"749","-531.2178","-405.2314","49.55138","135","Alterac Valley, PvP Horde Choke Graveyard (H-choke)","30"
"750","-1496.065","-333.3384","101.1348","15","Alterac Valley, Frostwolf Relief Hut (H-base)","30"
"751","643","44","69.7402","274.95","Alterac Valley, Stormpike Aid Station (A-base)","30"
"769","1523.812","1481.758","352.0076","180","Warsong Gulch - Alliance Enter Loc","489"
"770","933.3315","1433.724","345.5357","0","Warsong Gulch - Horde Enter Loc","489"
"771","1406.653","1564.74","328.3257","203.635","Warsong Gulch - Alliance Rez Loc","489"
"772","1061.6","1377.09","328.558","337","Warsong Gulch - Horde Rez Loc","489"
"789","-191.966","-4340.86","113.259","318.33","The Hinterlands, The Overlook Cliffs","0"
"809","1035.27","-2104.28","122.945","90","Warsong Gulch - Horde Exit Loc","1"
"810","1459.17","-1858.67","124.762","15","Warsong Gulch - Alliance Exit Loc","1"
"829","101.144","-184.934","127.344","274","Alterac Valley, Alliance Exit","0"
"830","536.495","-1085.72","106.27","192","Alterac Valley, Horde Exit","0"
"849","-4586.25","1633.19","94.086","0","Feralas, Dire Maul Stonemaul Hold GY","1"
"850","1177.688","-4464.068","21.35525","52.4774","Durotar, Northern Durotar GY","1"
"851","-981.783","-74.63715","20.09454","359.992","Mulgore, Thunder Bluff GY","1"
"852","-5165.52","-874.664","507.177","45.1267","Dun Morogh, Gates of Ironforge","0"
"853","1780.11","221.761","59.6169","0","Tirisfal Glades, Ruins of Lordaeron","0"
"854","-9552.46","-1374.05","51.2332","101.241","Elwynn Forest, Eastvale Logging Camp","0"
"869","1236.89","-2411.99","60.68","139.725","Western Plaguelands, Caer Darrow","0"
"889","684.014","681.22","-12.9159","46.1249","Arathi Basin - Horde Entrance","529"
"890","1313.9","1310.74","-9.01043","220.05","Arathi Basin - Alliance Entrance","529"
"891","-831.881","-3518.52","72.4831","166.85","Arathi Basin - Horde Exit","0"
"892","-1215.59","-2531.75","21.6734","178.65","Arathi Basin - Alliance Exit","0"
"893","834.7264","784.9787","-57.08194","97.65","Arathi Basin - Graveyard, H-Mid (Farm)","529"
"894","1016.588","955.1847","-42.82869","96.75","Arathi Basin - Graveyard, Mid (Blacksmith)","529"
"895","1201.87","1163.131","-56.28597","106.65","Arathi Basin - Graveyard, A-Mid (Stables)","529"
"896","1211.524","781.5569","-82.70951","145.35","Arathi Basin - Graveyard, ALT-N (Gold Mine)","529"
"897","772.7557","1213.114","15.79739","289.35","Arathi Basin - Graveyard, ALT-S (Lumber Mill)","529"
"898","1354.7","1270.27","-11.1291","157.05","Arathi Basin - Graveyard, A-Base (Trollbane Hall)","529"
"899","713.71","638.364","-10.5999","98.5502","Arathi Basin - Graveyard, H-Base (Defiler's Den)","529"
"909","2647.55","-4014.39","105.938","346.951","Eastern Plaguelands, Blackwood Lake","0"
"910","-6831.317","891.4373","33.86627","166","Silithus, Cenarion Hold","1"
"911","-10606.8","294.048","31.8007","0","Duskwood, Ravenhill","0"
"912","10458.55","-6364.614","39.79071","315","Eversong Woods, Sunstrider Isle","530"
"913","-7991.574","1557.804","4.974186","0","Silithus, Scarab Wall (AQ Only)","1"
"914","8936.564","-7439.903","82.08561","315","Eversong Woods, Farstrider Lodge GY","530"
"915","7694.177","-6730.11","48.29066","0","Ghostlands, Tranquillien","530"
"916","7015.226","-7299.999","45.42467","270","Ghostlands, Sanctum","530"
"917","6730.494","-7936.893","170.0989","90","Ghostlands, Amani Pass","530"
"918","-4123.139","-13660.07","74.6","315","Azuremyst Isle, Ammen Vale","530"
"919","158.0602","2562.73","75.78124","45","Hellfire Peninsula, Thrallmar","530"
"920","-803.0117","2702.592","106.7582","140","Hellfire Peninsula, Honor Hold","530"
"921","9407","-6847.67","16","327","Eversong Woods, Silvermoon City","530"
"922","8709.459","-6671.761","70.33598","180","Eversong Woods, Fairbreeze GY","530"
"923","-4312.775","-12441.04","17.19033","210","Azuremyst, Azure Watch GY","530"
"924","-3324.306","-12089.91","28.27484","270","Azuremyst, Stillpine GY","530"
"925","-2020.59","-11983.5","33.24797","280","Bloodmyst, Blood Watch GY","530"
"926","-1754.207","-11067.32","76.34234","135","Bloodmyst, Wilderness GY","530"
"927","1980.12","-3654.6","119.948","249.57","Eastern Plaguelands, Graveyard CG Tower","0"
"928","335.8859","7625.117","22.74857","10","Zangarmarsh, Zabra'jin GY","530"
"929","4027.602","2972.784","12.07232","300","Nagrand Arena, Team 1 Start","559"
"930","-2495.866","6802.258","21.37141","255","Nagrand, SE Graveyard","530"
"931","16423","16237","71","0","Programmer Isle","451"
"933","181.4751","4361.576","116.8849","175","Hellfire Peninsula, Temple","530"
"934","-695.8752","4118.209","64.48654","170","Hellfire Peninsula, Falcon Watch","530"
"935","742.6283","2887.709","8.900983","288.269","Hellfire Peninsula, Corpse Location 004","530"
"936","4085.45","2866.829","12.40048","120","Nagrand Arena, Team 2 Start","559"
"937","3080.115","-5551.698","18.77989","6.788086","Well of Eternity - Shores of the Well Port Location","939"
"939","6292.659","288.5795","4.95929","225","Blade's Edge Arena, Team 1","562"
"940","6184.982","236.0114","4.976874","45","Blade's Edge Arena, Team 2","562"
"941","540.3099","3932.88","188.9318","288.269","Hellfire Peninsula, Test Corpse Location","530"
"942","540.9799","3144.226","8.456751","288.269","Hellfire Peninsula, Corpse Location 001","530"
"943","582.864","2954.064","4.56392","288.269","Hellfire Peninsula, Corpse Location 002","530"
"944","742.6283","2887.709","8.900983","288.269","Hellfire Peninsula, Corpse Location 003","530"
"945","1148.442","1798.138","116.2955","288.269","Hellfire Peninsula, Corpse Location 005","530"
"946","851.6936","1688.062","89.75664","288.269","Hellfire Peninsula, Corpse Location 006","530"
"947","608.0968","1778.634","104.4356","288.269","Hellfire Peninsula, Corpse Location 007","530"
"948","354.618","1952.75","23.76544","288.269","Hellfire Peninsula, Corpse Location 008","530"
"949","107.7116","1841.231","21.8838","288.269","Hellfire Peninsula, Corpse Location 009","530"
"950","274.5988","1674.626","-5.776105","288.269","Hellfire Peninsula, Corpse Location 010","530"
"951","60.88097","1542.688","17.08331","288.269","Hellfire Peninsula, Corpse Location 011","530"
"952","-92.8317","1350.91","-12.20254","288.269","Hellfire Peninsula, Corpse Location 012","530"
"953","134.528","1230.394","2.397356","288.269","Hellfire Peninsula, Corpse Location 013","530"
"954","298.6661","1225.227","-1.179477","288.269","Hellfire Peninsula, Corpse Location 014","530"
"955","386.6821","1044.776","26.87337","288.269","Hellfire Peninsula, Corpse Location 015","530"
"956","337.8401","853.2183","13.88513","288.269","Hellfire Peninsula, Corpse Location 016","530"
"957","60.38444","725.155","14.58493","288.269","Hellfire Peninsula, Corpse Location 017","530"
"958","-213.5115","730.6844","-0.830688","288.269","Hellfire Peninsula, Corpse Location 018","530"
"959","-570.3268","675.7847","-0.703824","288.269","Hellfire Peninsula, Corpse Location 019","530"
"960","-958.5842","803.9071","2.534777","288.269","Hellfire Peninsula, Corpse Location 020","530"
"961","-827.569","1194.339","16.28465","288.269","Hellfire Peninsula, Corpse Location 021","530"
"962","-465.0748","1272.105","12.3895","288.269","Hellfire Peninsula, Corpse Location 022","530"
"963","-668.975","1516.192","17.99592","288.269","Hellfire Peninsula, Corpse Location 023","530"
"964","-1278.367","1381.712","9.104878","288.269","Hellfire Peninsula, Corpse Location 024","530"
"965","-1306.278","2478.398","56.80944","288.269","Hellfire Peninsula, Corpse Location 025","530"
"966","-1497.398","2657.169","-53.1746","288.269","Hellfire Peninsula, Corpse Location 026","530"
"967","-1445.698","3050.235","-16.82786","288.269","Hellfire Peninsula, Corpse Location 027","530"
"968","-1510.359","3281.807","-16.86444","288.269","Hellfire Peninsula, Corpse Location 028","530"
"969","248.3389","7084.928","36.49313","180","Zangarmarsh, PvP GY","530"
"970","211.3149","6200.033","22.29878","0","Zangarmarsh, Telredor GY","530"
"971","6236.968","262.6493","2.730546","0","Blades Edge - PvP - Arena Graveyard","562"
"972","1286.725","7883.123","10.2222","0","Zangarmarsh, Corpse Location 006","530"
"973","-212.4523","5579.672","22.17797","90","Zangarmarsh, Cenarion GY","530"
"974","1011.161","5039.573","-26.82502","0","Zangarmarsh, Corpse Location 001","530"
"975","781.7128","4987.825","-12.36556","0","Zangarmarsh, Corpse Location 002","530"
"976","1001.895","5714.57","-9.303263","0","Zangarmarsh, Corpse Location 003","530"
"977","1394.982","7756.503","12.28968","0","Zangarmarsh, Corpse Location 004","530"
"978","1412.409","8430.121","-4.679921","0","Zangarmarsh, Corpse Location 008","530"
"979","1398.578","7763.029","8.545544","0","Zangarmarsh, Corpse Location 005","530"
"980","1317.495","8135.392","-2.856916","0","Zangarmarsh, Corpse Location 007","530"
"981","1706.28","8407.813","-24.7731","0","Zangarmarsh, Corpse Location 009","530"
"982","1348.12","8677.566","6.86939","0","Zangarmarsh, Corpse Location 011","530"
"983","1838.928","8496.514","-19.02506","0","Zangarmarsh, Corpse Location 010","530"
"984","1347.021","8679.227","6.671585","0","Zangarmarsh, Corpse Location 012","530"
"985","1104.395","8781.982","-10.88894","0","Zangarmarsh, Corpse Location 013","530"
"986","747.4471","8702.898","6.109443","0","Zangarmarsh, Corpse Location 014","530"
"987","381.3096","9113.738","-4.272064","0","Zangarmarsh, Corpse Location 016","530"
"988","702.7578","8927.527","-2.820609","0","Zangarmarsh, Corpse Location 015","530"
"989","223.5499","9132.744","-11.74605","0","Zangarmarsh, Corpse Location 017","530"
"990","32.15701","9120.396","-17.25525","0","Zangarmarsh, Corpse Location 018","530"
"991","-160.4252","9053.544","5.142027","0","Zangarmarsh, Corpse Location 019","530"
"992","-1066.973","8066.544","-39.25933","180","Nagrand, Northwind Cleft","530"
"993","-1654.373","7938.994","-46.23501","190","Nagrand, Halaa GY","530"
"994","-1793.416","4931.607","-22.20948","15","Terokkar Forest, Shattrath GY","530"
"995","-2540.152","3866.648","10.07687","0","Terokkar Forest, Wilderness GY","530"
"996","1463.219","16470.08","66.48581","288.269","Test - Programmer","451"
"997","66.29688","60.125","6.443916","28.26901","Test - Programmer 001","451"
"998","4055.504","2919.661","13.61124","0","Nagrand - PvP - Arena Graveyard","559"
"999","-697.5726","8881.731","185.4503","0","Nagrand, Corpse Location 001","530"
"1000","-999.5063","9045.616","91.59063","0","Nagrand, Corpse Location 002","530"
"1001","-1933.72","9343.669","74.73061","0","Nagrand, Corpse Location 003","530"
"1002","-2153.297","9323.707","52.43459","0","Nagrand, Corpse Location 004","530"
"1003","-2619.463","8953.7","-11.54552","0","Nagrand, Corpse Location 005","530"
"1004","-2799.854","8785.746","-42.49432","0","Nagrand, Corpse Location 006","530"
"1005","-2984.119","8700.107","-53.15777","0","Nagrand, Corpse Location 007","530"
"1006","-2989.351","8445.129","-36.24343","0","Nagrand, Corpse Location 008","530"
"1007","-3122.556","8079.49","-49.13069","0","Nagrand, Corpse Location 009","530"
"1008","-3155.75","7316.315","-25.86043","0","Nagrand, Corpse Location 010","530"
"1009","-3244.696","7079.022","-49.57203","0","Nagrand, Corpse Location 011","530"
"1010","-2987.351","7045.469","-54.38367","0","Nagrand, Corpse Location 012","530"
"1011","-2962.328","6796.882","-51.26239","0","Nagrand, Corpse Location 013","530"
"1012","-3045.37","6508.568","99.65492","0","Nagrand, Corpse Location 014","530"
"1013","-3379.584","6206.483","-3.663728","0","Terokkar Forest, Corpse Location 001","530"
"1014","-3621.983","6225.183","-18.82109","0","Terokkar Forest, Corpse Location 002","530"
"1015","-3898.566","6147.648","-37.07994","0","Terokkar Forest, Corpse Location 003","530"
"1016","-3844.336","5931.411","-25.05046","0","Terokkar Forest, Corpse Location 004","530"
"1017","-3801.34","5618.751","-26.91661","0","Terokkar Forest, Corpse Location 005","530"
"1018","-3910.985","5404.071","-35.66995","0","Terokkar Forest, Corpse Location 006","530"
"1019","-3886.286","5149.574","-59.68908","0","Terokkar Forest, Corpse Location 007","530"
"1020","-3990.144","4869.476","-107.6338","0","Terokkar Forest, Corpse Location 008","530"
"1021","-3904.296","4591.396","-45.98207","0","Terokkar Forest, Corpse Location 009","530"
"1022","-4024.305","4421.721","-50.00179","0","Terokkar Forest, Corpse Location 010","530"
"1023","-3965.061","4128.619","0.276609","0","Terokkar Forest, Corpse Location 011","530"
"1024","-2415.764","1811.624","-1.16446","0","Shadowmoon, Corpse Location 001","530"
"1025","-2319.128","1749.945","-13.34456","0","Shadowmoon, Corpse Location 002","530"
"1026","-2447.421","1612.805","-27.2319","0","Shadowmoon, Corpse Location 003","530"
"1027","-2650.239","1666.659","10.09411","0","Shadowmoon, Corpse Location 004","530"
"1028","-4151.091","3425.816","293.0496","0","Terokkar Forest, Corpse Location 016","530"
"1029","-2648.267","3020.655","-13.21281","0","Terokkar Forest, Corpse Location 017","530"
"1030","-2375.42","2848.075","-69.87861","0","Terokkar Forest, Corpse Location 018","530"
"1031","-2205.609","2968.304","-69.0715","0","Terokkar Forest, Corpse Location 019","530"
"1032","-2098.932","3116.509","-51.31049","0","Terokkar Forest, Corpse Location 020","530"
"1033","-2047.739","3278.562","-61.8309","0","Terokkar Forest, Corpse Location 021","530"
"1034","-2058.995","3560.385","-74.50244","0","Terokkar Forest, Corpse Location 022","530"
"1035","-1876.504","3700.502","-19.74179","0","Terokkar Forest, Corpse Location 023","530"
"1036","0","0","0","0","Reuse","530"
"1037","-1289.794","9166.722","218.0805","30","Nagrand, Portal Plateau","530"
"1038","-856.2137","6600.061","173.7531","135","Nagrand, Elemental Plateau","530"
"1039","-2033.528","8479.527","-0.312287","45","Nagrand, SW Graveyard","530"
"1040","700.0906","2207.991","288.5178","120","Hellfire Peninsula, Throne of Kil'Jaedan","530"
"1041","-249.7649","1023.319","54.32544","270","Hellfire Peninsula, Dark Portal","530"
"1042","-3562.406","4666.442","-21.98638","85","Terokkar Forest, Bone Wastes GY","530"
"1043","874.9109","7284.72","23.0167","0","Zangarmarsh, Harborage GY","530"
"1044","337.1249","8616.865","24.15626","180","Zangarmarsh, Sporeggar GY","530"
"1045","4363.881","3093.743","132.97","45","Netherstorm, Stormspire GY","530"
"1046","3032.437","3594.28","145.8183","175","Netherstorm, Area 52 GY","530"
"1047","-2999.227","2439.06","62.31255","90","Shadowmoon Valley, Shadowmoon Village GY","530"
"1048","-4022.988","2048.58","96.89442","30","Shadowmoon Valley, Wildhammer GY","530"
"1049","1955.904","6768.811","164.0611","250","Blade's Edge, Sylvanaar GY","530"
"1050","2218.901","6017.354","135.9206","150","Blade's Edge, Thunderlord GY","530"
