Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10_0,Unknown10_1,Unknown10_2,Unknown11,Unknown12,Unknown13,Unknown14
"2","Interface\TargetingFrame\UI-PVP-Alliance","","Interface\WorldStateFrame\HordeFlag","Horde Flag has been picked up","%1581w/%1601w","Alliance Flag captures","489","3277","0","2339","0","0","0","1","0","0","0"
"3","Interface\TargetingFrame\UI-PVP-Horde","","Interface\WorldStateFrame\AllianceFlag","Alliance Flag has been picked up","%1582w/%1601w","Horde Flag captures","489","3277","0","2338","0","0","0","1","0","0","0"
"42","Interface\WorldStateFrame\ColumnIcon-FlagCapture","","","","Flag Captures","Number of times you have captured the enemy Flag","489","0","0","0","0","0","0","1","0","0","2"
"44","Interface\WorldStateFrame\ColumnIcon-FlagReturn","","","","Flag Returns","Number of times you have returned your Flag to your base from the field","489","0","0","0","0","0","0","2","0","0","2"
"61","Interface\WorldStateFrame\ColumnIcon-TowerCapture","","","","Towers Assaulted","Number of times enemy tower banners have been removed","30","0","0","0","0","0","0","3","0","0","2"
"63","Interface\WorldStateFrame\ColumnIcon-GraveyardCapture","","","","Graveyards Assaulted","Number of times enemy graveyard banners have been removed","30","0","0","0","0","0","0","1","0","0","2"
"64","Interface\WorldStateFrame\ColumnIcon-TowerDefend","","","","Towers Defended","Number of times a tower capture has been prevented","30","0","0","0","0","0","0","4","0","0","2"
"65","Interface\WorldStateFrame\ColumnIcon-GraveyardDefend","","","","Graveyards Defended","Number of times a graveyard capture has been prevented","30","0","0","0","0","0","0","2","0","0","2"
"82","","","","","Secondary Objectives","Number of secondary units activated","30","0","0","0","0","0","0","7","0","0","2"
"101","Interface\TargetingFrame\UI-PVP-Alliance","","","","Bases: %1779w  Resources: %1776w/1500","Alliance status","529","0","0","0","0","0","0","0","0","0","0"
"102","Interface\TargetingFrame\UI-PVP-Horde","","","","Bases: %1778w  Resources: %1777w/1500","Horde status","529","0","0","0","0","0","0","0","0","0","0"
"122","Interface\WorldStateFrame\ColumnIcon-TowerCapture","","","","Bases Assaulted","Number of times enemy base banners have been removed","529","0","0","0","0","0","0","0","0","0","2"
"123","Interface\WorldStateFrame\ColumnIcon-TowerDefend","","","","Bases Defended","Number of times a base capture has been prevented","529","0","0","0","0","0","0","1","0","0","2"
"126","Interface\TargetingFrame\UI-PVP-Alliance","","","","%12953w","Alliance Scarab Credits","1","1377","0","12951","0","0","0","0","0","0","0"
"127","Interface\TargetingFrame\UI-PVP-Horde","","","","%12952w","Horde Scarab Credits","1","1377","0","0","0","0","0","0","0","0","0"
