Id,Unknown0,Unknown1,Unknown2,Unknown3
"61","Valley of Heroes","60","2","2541"
"62","Orgrimmar Intro","60","1","3402"
"63","Darnassus Intro","60","1","17821"
"81","Angelic01","10","1","4517"
"101","Spooky01","10","1","5037"
"102","Warrior Terrace","10","1","5354"
"103","Druid Grove","10","1","4434"
"121","Swamp01","10","1","4514"
"122","Stormwind-Southseas","10","1","6837"
"123","Stormwind03","10","1","5054"
"141","Stormwind08","10","1","5294"
"161","Haunted02","10","1","5174"
"162","Jungle","10","1","2535"
"181","Stormwind02","10","1","5036"
"182","Stormwind01","10","1","5035"
"201","Magic","10","1","6669"
"221","Sacred01","10","1","4454"
"241","Orgrimmar Walking","10","1","5055"
"281","Undercity","60","1","6080"
"301","Battle03","10","1","6078"
"302","Gloomy01","10","1","6074"
"303","Gloomy02","10","1","6075"
"321","Battle02","10","1","6262"
"322","Battle01","10","1","6077"
"323","Battle04","10","1","6079"
"324","Battle05","10","1","6253"
"325","Battle06","10","1","6350"
"326","Sacred02","10","1","6076"
"341","Ironforge City Intro","60","1","7318"
"361","Stormwind07","10","1","6794"
"381","Thunderbluff Intro","60","1","7076"
"401","Ironforge King","60","1","7338"
"421","Orc Barren","10","1","7474"
"441","Desert","10","1","5194"
"461","Raid Battle03","3","1","6078"
"462","Raid Battle06","3","1","6350"
"463","Raid Battle02","3","1","6262"
"464","Raid Battle04","3","1","6079"
"465","Raid Desert","3","1","5194"
"466","Raid Battle01","3","1","6077"
"467","Raid Warrior Terrace","3","1","5354"
"468","Raid Battle05","3","1","6253"
"469","AhnQirajInteriorMainEntrance","120","1","8564"
"470","BloodmystNaga","30","1","9462"
"471","OL_Demon01","10","1","9774"
"472","HE_PathOfGlory01","10","1","9775"
"473","HE_Stairs01","10","1","9776"
"474","HE_Armoury01","10","1","9777"
"475","OL_Historic01","10","1","9778"
"477","HE_Citadel01","10","1","9779"
"478","HE_Wistful01","10","1","9780"
"479","HE_Wistful02","10","1","9781"
"480","OL_Arakkoa01","10","1","9782"
"481","OL_Arakkoa02","10","1","9783"
"482","OL_Shaman01","10","1","9784"
"483","SilvermoonIntro","120","1","9801"
"484","ScenicIntroNight","10","1","9802"
"485","Corrupt Intro","30","1","9872"
"486","Exodar","60","1","9971"
"487","OutlandBurningLegion01","60","1","10610"
"488","OutlandBurningLegion02","60","1","10611"
"489","OutlandScenic","60","1","10612"
"490","OutlandCrystal01","60","1","10613"
"491","OutlandCrystal02","60","1","10614"
"492","OutlandCrystal03","60","1","10615"
"493","OutlandCenarion01","60","1","10616"
"494","OutlandCenarion02","69","1","10617"
"495","OutlandCenarion03","60","1","10618"
"496","NetherstormPlant01","60","1","10619"
"497","NetherstormPlant02","60","1","10620"
"498","NetherstormPlant03","60","1","10621"
"499","NetherstormPlant04","60","1","10622"
"500","NagrandDiamond","60","1","10623"
"501","OL_FelOrc01","60","1","10701"
"502","OL_FelOrc02","60","1","10702"
"503","OL_Orc01","60","1","10703"
"504","OL_Orc02","60","1","10704"
"505","OL_Orc03","60","1","10705"
"506","OL_Orc04","60","1","10706"
"507","OL_IllidansArmy01","60","1","10707"
"508","OL_Ogre01","60","1","10708"
"509","OL_Orc02","60","1","10709"
"510","OL_Ogre02","60","1","10709"
"511","OL_Shaman02","60","1","10710"
"512","CavernsOfTimeBlackMorass","60","1","10732"
"513","Intro-CavernsofTimeEscapeDurn","300","1","10771"
"514","Intro-CavernsofTimeThrallEscape","60","1","10772"
"515","Intro-CavernsofTimeFlight","60","1","10773"
"516","Intro-NetherStormMushroom01","60","1","10851"
"517","Intro-NetherStormMushroom02","60","1","10852"
"518","Intro-NetherStormMushroom03","60","1","10853"
"519","OL_Broken","60","1","10855"
"520","DraeneiRestUni","60","1","10898"
"521","HyjalPastBase","60","1","11654"
"522","HyjalPastHordeCamp","60","1","11655"
"523","HyjalPastNordrassil","60","1","11656"
"524","BlackTempleKarabor","60","1","11704"
"525","BlackTempleIllidari","60","1","11705"
"526","BlackTempleSanctuary","60","1","11706"
"527","New Intro","0","0","0"
"528","BlackTempleDen","60","1","11707"
"529","BlackTempleAnguish","60","1","11708"
"530","BlackTempleVigil","60","1","11709"
"531","BlackTempleReliquary","60","1","11710"
"532","BlackTempleRefectory","60","1","11711"
"533","BladesEdgeOgrila","30","1","11770"
"534","OutlandMilitaryBattle","30","1","11771"
"535","TempesttKeep1","10","1","12130"
"536","TempestKeep2","10","1","12131"
"537","TempestKeep3","10","1","12132"
"538","Intro-KarazhanStableWalk","10","1","12158"
"539","Intro-KarazhanFoyer","10","1","12155"
"540","Intro-MagistersTerrace","60","1","12530"
"541","Intro-SunwellPlateau","60","1","12534"
"543","Intro-IcecrownGeneral","60","1","13803"
"544","Intro-ZulDrakGeneralWalk","60","1","13806"
"545","Intro-DragonblightGeneral","60","1","14892"
"546","Intro-DalaranCity","60","1","14907"
"550","Intro-StratholmePastOutdoors","60","1","14919"
"551","Intro-StratholmePastIndoors","10","1","14925"
"552","Intro-StratholmePastTownHall","60","1","14926"
"553","Intro-StratholmePastChronoLordEpoch","60","1","14927"
"554","Intro-StratholmePastAlleyIntro","10","1","14928"
"555","Intro-StratholmePastAlleyEnd","60","1","14929"
"556","Intro-StratholmePastMal'Ganis","60","1","14930"
"557","Intro-HallsofStone","60","1","14936"
"558","Intro-UlduarStoneTribunal","60","1","14940"
"559","Intro-UldarLightning","60","1","14941"
"560","Intro-UldarLightningWatchers","10","1","14943"
"561","Intro-UldarLightningAzeroth","60","1","14944"
"562","New Intro","60","1","15035"
"563","Intro-GrizzlyHillsGeneral","60","1","15035"
"564","Intro-GrizzlyHillsGeneralB","60","1","15040"
"565","Intro-NorthrenOrc","60","1","15043"
"566","Intro-NorthrenRiplash01","60","1","15046"
"567","Intro-NorthrenRiplash02","60","1","15047"
"568","Intro-ChamberAspects01Day","60","1","15075"
"569","Intro-ChamberAspects01Night","60","1","15076"
"570","Intro-StratholmePastPortal","10","1","15080"
"571","Intro-UlduarStoneRepose","60","1","15081"
"572","Intro-DragonBlightWyrmrest","60","1","15123"
"573","Intro-AzjolNerubD","60","1","15124"
"574","Intro-AzjolNerubE","60","1","15127"
"576","Intro-UlduarRaidGeneralIntro","60","1","15873"
"577","Intro-UlduarRaidDescent","60","1","15874"
"578","Intro-UlduarRaidConservatory","60","1","15875"
"579","Intro-UlduarRaidTram","60","1","15876"
"580","Intro-UlduarRaidExtBaseCamp","60","1","15849"
"581","Intro-UlduarRaidExtIronConcourse","60","1","15855"
"582","Intro-UlduarRaidExtFormationGrounds","60","1","15860"
"583","Intro-UlduarRaidExtColossalForge","60","1","15863"
"584","Intro-UlduarRaidExtRazorscalesAerie","60","1","15866"
"585","Intro-UlduarRaidExtScrapyard","60","1","15869"
"586","Gilneas","60","1","16455"
"587","Intro-IcecrownDungeon","60","1","17279"
"588","Intro-IcecrownSummit","60","1","17285"
"589","Intro-IcecrownRaidFloor1Entry","60","1","17306"
"590","Intro-IcecrownRaidFloor1Spire","60","1","17304"
"591","Intro-IcecrownRaidFloor1Deathwhisper","60","1","17302"
"592","Intro-PitofSaronCave","60","1","17312"
"593","Intro-PitofSaron","60","1","17309"
"594","Intro-IcecrownRaidFloor2Intro","60","1","17292"
"595","Intro-IcecrownRaidFloor2Spire","60","1","17295"
"596","Intro-IcecrownRaidFloor2Plague","60","1","17293"
"597","Intro-IcecrownRaidFloor2Frost","60","1","17297"
"598","Intro-IcecrownRaidFloor2Valithria","60","1","17299"
"600","Intro-PitofSaronEntry","60","1","17307"
"601","Intro-PitofSaronTyrannus","60","1","17313"
"602","00_test_Music","10","1","17821"
"615","Intro-TheBloodmire","25","1","22155"
"616","Intro-Drudgetown","25","1","22543"
"617","Intro-GallywixsVilla","25","1","22546"
"618","Intro-GallywixsYacht","25","1","22548"
"619","Intro-KajaroField","25","1","22551"
"620","Intro-SouthSeas","25","1","22553"
"621","Intro-TheSlick","25","1","22554"
"622","Intro-ThePipe","25","1","22556"
"623","Intro-Winterspring","25","1","22566"
"624","Intro-BeezilsWreck","25","1","22593"
"625","Intro-DenofFlame","25","1","22597"
"626","Intro-Wyrmbog","25","1","22598"
"627","Intro-DreamersRest","25","1","22602"
"628","Intro-LowerWilds","25","1","22605"
"629","Intro-RuinsofFeathermoon","25","1","22623"
"630","Intro-RuinsofIsildien","25","1","22624"
"631","Intro-RuinsofRavenwind","25","1","22625"
"632","Intro-DireforgeHill","25","1","22633"
"633","Intro-DragonmawGates","25","1","22634"
"634","Intro-GrimBatol","25","1","22636"
"635","Intro-IronbeardsTomb","25","1","22638"
"636","Intro-FireplumeTrench","25","1","22640"
"637","Intro-NightmareDepths","25","1","22642"
"638","Intro-BootyBay","25","1","22658"
"639","Intro-NekManiWellspring","25","1","22659"
"640","Intro-CathedralSquare","25","2","22660"
"641","Intro-EasternEarthshire","25","1","22661"
"642","Intro-Ambermill","25","1","22663"
"643","Intro-TheCauldron","25","1","22670"
"644","Intro-TheSlagPit","25","1","22672"
"645","Intro-BloodwashShrine","25","1","22681"
"646","Intro-NethergardeKeep","25","1","22685"
"647","Intro-NethergardeMines","25","1","22686"
"648","Intro-NethergardeSupplyCamps","25","1","22687"
"649","Intro-TheDarkPortal","25","1","22690"
"650","Intro-NewKargath","25","1","22692"
"651","Intro-DalaranCrater","25","1","22699"
"652","Intro-RagingChasm","25","1","22704"
"653","Intro-TheSundering","25","1","22657"
"654","Intro-ScarletPalisade","25","1","22652"
"655","Intro-Speedbarge","25","1","22728"
"656","Intro-SouthseasHoldfast","25","1","22731"
"657","Intro-WestreachSummit","25","1","22734"
"658","Intro-ShapersTerrace","25","1","22739"
"659","Intro-ColdridgePass","25","1","22741"
"660","Intro-CrushcogsArsenal","25","1","22742"
"661","Intro-FrostmaneFront","25","1","22744"
"662","Intro-GatesofIronforge","25","1","22747"
"663","Intro-IronforgeAirfield","25","1","22749"
"664","Intro-MistyPineRefuge","25","1","22751"
"665","Intro-NewTinkertown","35","1","22752"
"666","Intro-TheGrizzledDen","25","1","22754"
"667","Intro-RavenHill","25","1","22761"
"668","Intro-TwilightGrove","25","1","22763"
"669","Intro-RuinsOfTheScarletEnclave","25","1","22771"
"670","Intro-ElwynnForest","25","1","22776"
"671","Intro-BrackwellPumpkinPatch","25","1","22777"
"672","Intro-EastvaleLoggingCamp","25","1","22778"
"673","Intro-HeroesVigil","25","1","22779"
"674","Intro-NorthshireValley","25","1","22780"
"675","Intro-RidgepointTower","25","1","22782"
"676","Intro-MaclureVineyards","25","1","22783"
"677","Intro-StonefieldFarm","25","1","22784"
"678","Intro-AzureloadMine","25","1","22786"
"679","Intro-DurnholdeKeep","25","1","22787"
"680","Intro-TinkerTown","25","1","22792"
"681","Intro-IronbandsExcavationSite","25","1","22795"
"682","Intro-IronwingCavern","25","1","22796"
"683","Intro-FarstriderLodge","25","1","22798"
"684","Intro-ValleyOfKings","25","1","22800"
"685","Intro-RedRocks","25","1","22811"
"686","Intro-TheGreatGateN","25","1","22813"
"687","Intro-Ratchet","25","1","22817"
"688","Intro-FarWatchPost","25","1","22821"
"689","Intro-GroldomFarm","25","1","22822"
"690","Intro-Mor'shanBaseCamp","25","1","22823"
"691","Intro-TheDryHills","25","1","22826"
"692","Intro-TheMerchantCoast","25","1","22827"
"693","Intro-ValleyofStrength","25","1","22830"
"694","Intro-GrommashHold","25","1","22831"
"695","Intro-Battlescar","25","1","22834"
"696","Intro-DesolationHold","25","1","22836"
"697","Intro-FortTriumph","25","1","22838"
"698","Intro-HonorsStand","25","1","22842"
"699","Intro-NorthwatchHold","25","1","22843"
"700","Intro-OvergrownCamp","25","1","22845"
"701","Intro-TheGreatGateS","25","1","22847"
"702","Intro-BattlescarValley","25","1","22851"
"703","Intro-GreatwoodVale","25","1","22852"
"704","Intro-LakeEluneara","25","1","22861"
"705","Intro-Nighthaven","25","1","22862"
"706","Intro-ShrineOfRemulos","25","1","22863"
"707","Intro-Gadgetzan","25","1","22865"
"708","Intro-LandsEndBeach","25","1","22869"
"709","Intro-LostRiggerCove","25","1","22870"
"710","Intro-SouthbreakShore","25","1","22872"
"711","Intro-Aldrassil","25","1","22874"
"712","Intro-Dolanaar","25","1","22875"
"713","Intro-Gnarlpine","25","1","22876"
"714","Intro-LakeAlameth","25","1","22877"
"715","Intro-PoolsOfArlithrien","25","1","22878"
"716","Intro-StarbreezeVillage","25","1","22879"
"717","Intro-TheCleft","25","1","22880"
"718","Intro-TheOracleGlade","25","1","22881"
"719","Intro-WellspringLake","25","1","22882"
"720","Intro-WellspringHovel","25","1","22883"
"721","Intro-WellspringRiver","25","1","22884"
"722","Intro-BanethilHollow","25","1","22886"
"723","Intro-AshenLake","25","1","22909"
"724","Intro-BlackhornsPennance","25","1","22910"
"725","Intro-LeyarasSorrow","25","1","22917"
"726","Intro-ShrineofGoldrinn","25","1","22919"
"727","Intro-Nordrassil","25","1","22921"
"728","Intro-SanctuaryOfMalorne","25","1","22924"
"729","Intro-TheVerdantThicket","25","1","22926"
"730","Intro-Astraanar","25","1","22928"
"731","Intro-BlackfathomCamp","25","1","22931"
"732","Intro-FalfarrenRiver","25","1","22933"
"733","Intro-FallenSkyLake","25","1","22934"
"734","Intro-DemonFallRidge","25","1","22935"
"735","Intro-FelfireHill","25","1","22937"
"736","Intro-FireScarShrine","25","1","22938"
"737","Intro-HellscreamsWatch","25","1","22940"
"738","Intro-HouseOfEdune","25","1","22941"
"740","Intro-MystralLake","25","1","22945"
"741","Intro-NightsongWoods","25","1","22947"
"742","Intro-OrendilsRetreat","25","1","22948"
"743","Intro-RaynewoodRetreat","25","1","22949"
"744","Intro-RaynewoodTower","25","1","22950"
"745","Intro-SilverwindRefuge","25","1","22952"
"746","Intro-SilverwingGrove","25","1","22953"
"747","Intro-SplintertreePost","25","1","22954"
"748","Intro-StardustSpire","25","1","22955"
"749","Intro-Talondeepvale","25","1","22956"
"750","Intro-HowlingVale","25","1","22957"
"751","Intro-RuinsofStardust","25","1","22958"
"752","Intro-TheSkunkworks","25","1","22959"
"753","Intro-WarsongLaborCamp","25","1","22961"
"754","Intro-WarsongLumberCamp","25","1","22962"
"755","Intro-ZoramgarOutpost","25","1","22963"
"756","Intro-Azshara","25","1","22966"
"757","Intro-BearsHead","25","1","22968"
"758","Intro-BilgewaterHarbor","25","1","22969"
"759","Intro-BlackmawHold","25","1","22971"
"760","Intro-DarnassianBaseCamp","25","1","22972"
"761","Intro-GallywixPleasurePalace","25","1","22973"
"762","Intro-LegashEncampment","25","1","22976"
"763","Intro-MountainfootStripMine","25","1","22977"
"764","Intro-NorthernRocketwayExchange","25","1","22978"
"765","Intro-OrgrimmarRearGate","25","1","22979"
"766","Intro-OrgrimmarRocketwayExchange","25","1","22980"
"767","Intro-RuinsofEldarath","25","1","22982"
"768","Intro-SouthernRocketwayTerminus","25","1","22984"
"769","Intro-StormCliffs","25","1","22985"
"770","Intro-TalrendisPoint","25","1","22986"
"771","Intro-TempleOfZinMalor","25","1","22988"
"772","Intro-AuberdineRefugeeCamp","25","1","22997"
"773","Intro-GroveOfTheAncients","25","1","22998"
"774","Intro-LorDanel","25","1","23001"
"775","Intro-Nazjvel","25","1","23003"
"776","Intro-RuinsOfAuberdine","25","1","23005"
"777","Intro-RuinsOfLornestra","25","1","23006"
"778","Intro-Darnassus","25","1","23010"
"779","Intro-GelkisVillage","25","1","23016"
"780","Intro-MagramTerritory","25","1","23019"
"781","Intro-MannorocCoven","25","1","23020"
"782","Intro-Shokthokar","25","1","23025"
"783","Intro-SlitherbladeShore","25","1","23026"
"784","Intro-ThunksAbode","25","1","23029"
"785","Intro-ValleyOfBones","25","1","23030"
"786","Intro-ValleyOfSpears","25","1","23031"
"787","Intro-DarkspearIsle","25","1","23035"
"788","Intro-ZalazanesFall","25","1","23037"
"789","Intro-BloodtalonShore","25","1","23038"
"790","Intro-NorthwatchFoothold","25","1","23040"
"791","Intro-RazorHill","25","1","23041"
"792","Intro-SouthfuryWatershed","25","1","23042"
"793","Intro-SouthfuryRiverDurotar","25","1","23042"
"794","Intro-SpitescaleCove","25","1","23045"
"795","Intro-DranosharBlockade","25","1","23046"
"796","Intro-TiragardeKeep","25","1","23047"
"797","Intro-ValleyOfTrials","25","1","23049"
"798","Intro-DeathwingsFall","25","1","23059"
"799","Intro-FracturedBattlefront","25","1","23060"
"800","Intro-NeedlerockSlag","25","1","23061"
"801","Intro-StormsFuryWreckage","25","1","23062"
"802","Intro-TempleOfEarth","25","1","23064"
"803","Intro-Stonecore","25","1","23065"
"804","Intro-GatewayofEternity","25","1","23066"
"805","Intro-ObeliskOfTheStars","25","1","23067"
"806","Intro-StepsOfFate","25","1","23069"
"807","Intro-HallsOfOrigination","25","1","23070"
"808","Intro-HamatepsGate","25","1","23072"
"809","Intro-ObeliskOfTheSun","25","1","23074"
"810","Intro-ChamberOfTheSun","25","1","23076"
"811","Intro-GilneasCity","25","1","23077"
"812","Intro-GreymaneCourt","25","1","23079"
"813","Intro-StonewardPrison","25","1","23080"
"814","Intro-AdericsRepose","25","1","23083"
"815","Intro-CrowleyOrchard","25","1","23084"
"816","Intro-HaywardFishery","25","1","23088"
"817","Intro-KingsGate","25","1","23089"
