Id,Unknown0_0,Unknown0_1,Unknown1,Unknown2
"300","4215.875","3269.265","60","1"
"301","4271.286","4197.404","60","2"
"302","4363.638","4262.05","60","3"
"303","4585.283","4264.359","60","4"
"304","4562.195","4617.606","60","5"
"305","4522.945","4633.767","60","6"
"306","4520.636","4675.326","60","7"
"307","4562.195","4709.958","60","8"
"308","4566.813","4936.221","60","9"
"309","4622.224","4940.838","60","10"
"310","4631.458","5499.568","60","11"
"311","4728.428","5679.655","60","12"
"312","4728.428","5956.711","60","13"
"313","4682.252","6012.123","60","14"
"314","4673.017","6487.735","60","15"
"315","6081.386","8990.478","60","16"
"316","3043.003","9590.766","60","17"
"317","826.553","8247.044","60","18"
"318","133.912","5448.774","60","19"
"319","957.1393","3272.842","60","20"
"320","2381.532","3242.556","60","21"
"321","3117.281","3195.244","60","22"
"322","3292.065","3263.782","60","23"
"323","3610.391","3122.079","60","24"
"324","3746.033","3111.113","60","25"
"325","3812.387","3198.468","60","26"
"326","4098.686","3195.524","60","27"
"327","4834.633","-960.46","61","1"
"328","4848.486","-434.053","61","2"
"329","5019.337","-219.3347","61","3"
"330","5190.189","78.50095","61","4"
"331","5208.659","459.4532","61","5"
"332","5074.749","540.2612","61","6"
"333","5074.749","761.9063","61","7"
"334","5146.321","932.7575","61","8"
"335","5365.658","1080.521","61","9"
"336","5356.422","1165.947","61","10"
"337","5240.983","1239.828","61","11"
"338","5139.395","1477.635","61","12"
"339","5044.734","1500.723","61","13"
"340","4929.294","1634.634","61","14"
"341","4832.324","1650.795","61","15"
"342","4832.325","1789.323","61","16"
"343","4608.371","1796.25","61","17"
"344","4548.342","1731.603","61","18"
"345","4271.286","1731.603","61","19"
"346","4206.639","1791.632","61","20"
"347","4174.316","2036.365","61","21"
"348","4229.727","2045.6","61","22"
"349","4262.05","2156.423","61","23"
"350","4262.05","2299.568","61","24"
"351","4105.052","2451.949","61","25"
"352","4100.434","2590.478","61","26"
"353","4042.714","2606.639","61","27"
"354","4049.641","2897.548","61","28"
"355","4068.111","3089.179","61","29"
"356","4091.199","3200.001","61","30"
"357","3812.988","3198.847","61","31"
"358","3745.456","3108.226","61","32"
"359","3606.351","3119.193","61","33"
"360","3414.143","3210.968","61","34"
"361","3293.508","3261.184","61","35"
"362","3117.462","3195.961","61","36"
"363","2406.957","3244.361","61","37"
"364","940.5113","3269.13","61","38"
"365","476.2946","-986.3326","61","39"
"366","1716.365","-1584.86","61","40"
"367","2872.152","-1602.307","61","41"
"368","3225.715","-1619.985","61","42"
"369","3372.726","-1660.423","61","43"
"370","3923.205","-1606.828","61","44"
"371","4049.641","-1505.337","61","45"
"372","4192.786","-1505.337","61","46"
"373","4345.167","-1597.689","61","47"
"374","4421.753","-1574.929","61","48"
"375","4548.11","-1724.741","61","49"
"376","4678.064","-1847.436","61","50"
"377","4702.669","-1648.879","61","51"
"378","4771.141","-1614.87","61","52"
"379","4685.922","-1470.303","61","53"
"380","4656.946","-1371.274","61","54"
"381","4735.496","-1338.379","61","55"
"382","4861.451","-1446.197","61","56"
"383","5033.19","-1389.897","61","57"
"384","5037.808","-1098.988","61","58"
"385","5527.274","-4825.395","62","1"
"386","5531.892","-4636.073","62","2"
"387","5458.01","-4580.662","62","3"
"388","5236.365","-4571.427","62","4"
"389","5144.013","-4432.898","62","5"
"390","5139.955","-4276.228","62","6"
"391","5021.81","-4171.144","62","7"
"392","4992.424","-3826.736","62","8"
"393","4937.726","-3748.717","62","9"
"394","4839.771","-3736.313","62","10"
"395","4522.069","-3219.493","62","11"
"396","4460.031","-3191.555","62","12"
"397","4444.361","-2930.112","62","13"
"398","4435.918","-2718.302","62","14"
"399","4468.474","-2511.574","62","15"
"400","4543.012","-2484.445","62","16"
"401","4575.063","-2381.041","62","17"
"402","4664.93","-2372.859","62","18"
"403","4674.602","-1843.214","62","19"
"404","4551.375","-1732.624","62","20"
"405","4421.753","-1567.047","62","21"
"406","4345.167","-1597.689","62","22"
"407","4192.786","-1500.72","62","23"
"408","4045.023","-1505.337","62","24"
"409","3919.94","-1600.298","62","25"
"410","3367.548","-1663.688","62","26"
